DropId,Weight,Result,IsEnd
int32,int32,int32,bool
掉落组,分组权重,结果,是否结束
431,70,4311,false
431,600,4312,false
431,9330,4313,false
4311,25,43111,false
4311,75,43112,false
43111,1,15501,true
43111,1,14502,true
43111,1,14501,true
43111,1,13505,true
43111,1,13502,true
43111,1,12502,true
43111,1,11502,true
43111,1,11501,true
43112,1,15502,true
43112,1,12501,true
4312,25,43121,false
4312,75,43122,false
43121,1,1065,true
43121,1,1064,true
43121,1,1056,true
43121,1,1055,true
43121,1,1053,true
43121,1,1050,true
43121,1,1048,true
43121,1,1045,true
43121,1,1044,true
43121,1,1043,true
43121,1,1039,true
43121,1,1036,true
43121,1,1034,true
43121,1,1032,true
43121,1,1031,true
43121,1,1027,true
43121,1,1025,true
43121,1,1024,true
43121,1,1023,true
43121,1,1020,true
43121,1,1014,true
43121,1,15405,true
43121,1,15403,true
43121,1,15402,true
43121,1,14403,true
43121,1,14402,true
43121,1,14401,true
43121,1,13407,true
43121,1,12405,true
43121,1,12401,true
43121,1,11405,true
43121,1,11401,true
43121,1,12403,true
43121,1,11402,true
43122,1,11403,true
43122,1,12402,true
43122,1,13401,true
43122,1,14409,true
43122,1,15401,true
4313,1,15304,true
4313,1,15302,true
4313,1,15301,true
4313,1,14304,true
4313,1,14302,true
4313,1,14301,true
4313,1,13303,true
4313,1,12305,true
4313,1,12302,true
4313,1,12301,true
4313,1,11306,true
4313,1,11302,true
4313,1,11301,true
