AvatarId,GachaItemId,Name
int32,int32,string
角色id,卡池道具id,角色名称
10000002,1002,神里绫华
10000003,1003,琴
10000006,1006,丽莎
10000014,1014,芭芭拉
10000015,1015,凯亚
10000016,1016,迪卢克
10000020,1020,雷泽
10000021,1021,安柏
10000022,1022,温迪
10000023,1023,香菱
10000024,1024,北斗
10000025,1025,行秋
10000026,1026,魈
10000027,1027,凝光
10000029,1029,可莉
10000030,1030,钟离
10000031,1031,菲谢尔
10000032,1032,班尼特
10000033,1033,达达利亚
10000034,1034,诺艾尔
10000035,1035,七七
10000036,1036,重云
10000037,1037,甘雨
10000038,1038,阿贝多
10000039,1039,迪奥娜
10000041,1041,莫娜
10000042,1042,刻晴
10000043,1043,砂糖
10000044,1044,辛焱
10000045,1045,罗莎莉亚
10000046,1046,胡桃
10000047,1047,枫原万叶
10000048,1048,烟绯
10000049,1049,宵宫
10000050,1050,托马
10000051,1051,优菈
10000052,1052,雷电将军
10000053,1053,早柚
10000054,1054,珊瑚宫心海
10000055,1055,五郎
10000056,1056,九条裟罗
10000057,1057,荒泷一斗
10000058,1058,八重神子
10000062,1062,埃洛伊
10000063,1063,申鹤
10000064,1064,云堇
10000065,1065,久歧忍
10000066,1066,神里绫人
10000067,1067,柯莱
10000068,1068,多莉
10000069,1069,提纳里
