AvatarSkillId,AbilityName,CostStamina
int32,string,int32
ID,Ability名称,消耗体力
10024,Avatar_Ayaka_ExtraAttack,20
10031,Avatar_Qin_ExtraAttack,20
10033,Avatar_Qin_VortexSmash,20
10060,Avatar_Lisa_ExtraAttack,50
10070,Avatar_Barbara_ExtraAttack,50
10073,Avatar_Kaeya_ExtraAttack,20
10160,Avatar_Diluc_ExtraAttack,40
10201,Avatar_Razor_ExtraAttack,40
10231,Avatar_Xiangling_ExtraAttack,25
10241,Avatar_Beidou_ExtraAttack,40
10261,Avatar_Xiao_ExtraAttack,25
10271,Avatar_Ningguang_ExtraAttack,50
10281,Avatar_Prototype_ExtraAttack,999999
10291,Avatar_Klee_ExtraAttack,50
10301,Avatar_Zhongli_ExtraAttack,25
10321,Avatar_Bennett_ExtraAttack,20
10341,Avatar_Noel_ExtraAttack,40
10351,Avatar_Qiqi_ExtraAttack,20
11301,Avatar_Beidou_ExtraAttack,40
10381,Avatar_Xingqiu_ExtraAttack,20
10386,Avatar_Albedo_ExtraAttack,20
10401,Avatar_Beidou_ExtraAttack_Chongyun,40
10411,Avatar_Mona_ExtraAttack,50
10421,Avatar_Keqing_ExtraAttack,25
10431,Avatar_Sucrose_ExtraAttack,50
10441,Avatar_Xinyan_ExtraAttack,40
10451,Avatar_Rosaria_ExtraAttack,25
10461,Avatar_Hutao_ExtraAttack,25
10471,Avatar_Kazuha_ExtraAttack,20
10481,Avatar_Feiyan_ExtraAttack,50
10501,Avatar_Tohma_ExtraAttack,25
10511,Avatar_Eula_ExtraAttack,40
10521,Avatar_Shougun_ExtraAttack,25
10531,Avatar_Sayu_ExtraAttack,40
10541,Avatar_Kokomi_ExtraAttack,50
10571,Avatar_Itto_ExtraAttack,20
10581,Avatar_Yae_ExtraAttack,50
10591,Avatar_Heizo_ExtraAttack,25
10631,Avatar_Shenhe_ExtraAttack,25
10641,Avatar_Yunjin_ExtraAttack,25
10651,Avatar_Shinobu_ExtraAttack,20
10661,Avatar_Ayato_ExtraAttack,20
10681,Avatar_Dori_ExtraAttack,40
10701,Avatar_Nilou_ExtraAttack,20
10711,Avatar_Cyno_ExtraAttack,25
10721,Avatar_Candace_ExtraAttack,25
10731,Avatar_Nahida_ExtraAttack,50
10741,Avatar_Layla_ExtraAttack,20
10751,Avatar_Wanderer_ExtraAttack,50
10771,Avatar_Yaoyao_ExtraAttack,25
10781,Avatar_Alhatham_ExtraAttack,20
10791,Avatar_Dehya_ExtraAttack,40
10801,Avatar_Mika_ExtraAttack,25
10821,Avatar_Baizhuer_ExtraAttack,50
100540,Avatar_PlayerBoy_ExtraAttack_Common,20
100543,Avatar_PlayerBoy_ExtraAttack_Wind,20
100545,Avatar_PlayerBoy_ExtraAttack_Rock,20
100546,Avatar_PlayerBoy_ExtraAttack_Electric,20
100547,Avatar_PlayerBoy_ExtraAttack_Grass,20
100550,Avatar_PlayerGirl_ExtraAttack_Common,20
100553,Avatar_PlayerGirl_ExtraAttack_Wind,20
100555,Avatar_PlayerGirl_ExtraAttack_Rock,20
100556,Avatar_PlayerGirl_ExtraAttack_Electric,20
100557,Avatar_PlayerGirl_ExtraAttack_Grass,20
