ID	AbilityName	[参数信息]1参数名	[参数信息]1参数	[参数信息]2参数名	[参数信息]2参数	[参数信息]3参数名	[参数信息]3参数	[参数信息]4参数名	[参数信息]4参数	[参数信息]5参数名	[参数信息]5参数	参数名列表	参数值列表	是否刷新所有AbilitySpecials
200001	Activity_Rogue_Monster_HPUp_Stage1	HPUpRatio	0.25									HPUpRatio	0.25	
200002	Activity_Rogue_Monster_HPUp_Stage2	HPUpRatio	0.5									HPUpRatio	0.5	
200003	Activity_Rogue_Monster_HPUp_Stage3	HPUpRatio	1									HPUpRatio	1	
200004	Activity_Rogue_Monster_HPUp_Stage4	HPUpRatio	0.5									HPUpRatio	0.5	
200005	Activity_Rogue_Monster_HPUp_Stage5	HPUpRatio	1									HPUpRatio	1	
200006	Activity_Rogue_Monster_HPUp_Stage6	HPUpRatio	1									HPUpRatio	1	
200007	Activity_Rogue_Monster_HPUp_Stage7	HPUpRatio	1.5									HPUpRatio	1.5	
200008	Activity_Rogue_Monster_SelfHeal	Threshold	0.3	HealLatency	10	HealRatio	0.3					Threshold,HealLatency,HealRatio	0.3,10,0.3	
200009	MonsterAffix_Property_HpUp_01_ForMistTrial	HPUpRatio	0.5									HPUpRatio	0.5	
200010	MonsterAffix_Property_HpUp_02_ForMistTrial	HPUpRatio	1									HPUpRatio	1	
200011	Activity_Rogue_Monster_HPUp_Stage8	HPUpRatio	2	AtkUpRatio	0.25							HPUpRatio,AtkUpRatio	2,0.25	
200012	Activity_Rogue_Monster_HPUp_Stage9	HPUpRatio	3	AtkUpRatio	0.25							HPUpRatio,AtkUpRatio	3,0.25	
200013	LevelEntity_ChannellerSlabV2_Monster_HpUp_Lv1	HPUpRatio	0.5									HPUpRatio	0.5	
200014	LevelEntity_ChannellerSlabV2_Monster_HpUp_Lv2	HPUpRatio	2									HPUpRatio	2	
200015	LevelEntity_ChannellerSlabV2_Monster_HpUp_Lv3	HPUpRatio	4									HPUpRatio	4	
200016	LevelEntity_ChannellerSlabV2_Monster_AtkUp_Lv1	AtkUpRatio	0.5									AtkUpRatio	0.5	
200017	MonsterAffix_WeakTimeModify_ForChannellerSlabV2	ModifyRatio	-0.5									ModifyRatio	-0.5	
200018	GeneralSkill_SelfHeal_ForChannellerSlabV2	SelfHealThreshold	0.15	SelfHealLatency	6	SelfHealRatio	0.3	Times	1			SelfHealThreshold,SelfHealLatency,SelfHealRatio,Times	0.15,6,0.3,1	
200019	Activity_ChannellerSlab_DamageArea_Impulse	DamageRatio	6	DamageRatioEnhanced	12							DamageRatio,DamageRatioEnhanced	6,12	
200020	Sylph_Rock_Elite_Activated_DeathPosAction	DeathrattleDamage	3	DeathrattleChargeUp	50							DeathrattleDamage,DeathrattleChargeUp	3,50	
200021	MonsterAffix_Sylph_ChargeUp_01_ForChannellerSlab	ChargeUpTime	1	ChargeUpQuantity	4							ChargeUpTime,ChargeUpQuantity	1,4	
200022	Sylph_Water_Elite_Activated_DeathPosAction	DeathrattleChargeUp	50									DeathrattleChargeUp	50	
200023	Sylph_Wind_Elite_Activated_DeathPosAction	DeathrattleChargeUp	50									DeathrattleChargeUp	50	
200024	MonsterAffix_Hound_AttackEnhance_01_ForChannellerSlab	AttackEnhanceRatio	2									AttackEnhanceRatio	2	
200026	SceneObj_Monster_Sylph_AttackEnhance	SylphAttackEnhanceRatio	0.25									SylphAttackEnhanceRatio	0.25	
200027	MonsterAffix_Ningyo_HPDown_ForAbyss	HPUpRatio	-0.25									HPUpRatio	-0.25	
200028	GeneralSkill_SubHurtDelta_Periodicity	SubHurtDelta_Initialize	0.1	SubHurtDelta_SingleDown	-0.03	SubHurtDelta_FloorCount	10	Periodicity_Recover	20			SubHurtDelta_Initialize,SubHurtDelta_SingleDown,SubHurtDelta_FloorCount,Periodicity_Recover	0.1,-0.03,10,20	
200029	MonsterAffix_AdditionalHPAndAttack_ForSelfPickChallenge	Stage1HPRatio	0.25	Stage1AtkRatio	0	Stage2HPRatio	0.5	Stage2AtkRatio	0	Stage3HPRatio	1	Stage1HPRatio,Stage1AtkRatio,Stage2HPRatio,Stage2AtkRatio,Stage3HPRatio,Stage3AtkRatio,Stage4HPRatio,Stage4AtkRatio	0.25,0,0.5,0,1,0.05,1.75,0.1	
200030	MonsterAffix_Monster_AbyssalPalace_SpecialForce	AttackUp	0.15	SubHurt	0.2							AttackUp,SubHurt	0.15,0.2	
200031	MonsterAffix_Activity_Sumov2_Stage1	Stage1HPRatio	0.25	Stage1AtkRatio	-0.1							Stage1HPRatio,Stage1AtkRatio	0.25,-0.1	
200032	MonsterAffix_Activity_Sumov2_Stage2	Stage2HPRatio	0.5	Stage2AtkRatio	-0.3							Stage2HPRatio,Stage2AtkRatio	0.5,-0.3	
200033	MonsterAffix_Activity_Sumov2_Stage3	Stage3HPRatio	0.3	Stage3AtkRatio	-0.1							Stage3HPRatio,Stage3AtkRatio	0.3,-0.1	
200034	MonsterAffix_Activity_Sumov2_Stage4	Stage4HPRatio	0.25	Stage4AtkRatio	-0.1							Stage4HPRatio,Stage4AtkRatio	0.25,-0.1	
200035	MonsterAffix_Activity_Sumov2_Stage5	Stage5HPRatio	0	Stage5AtkRatio	-0.2							Stage5HPRatio,Stage5AtkRatio	0,-0.2	
200036	MonsterAffix_Activity_Sumov2_Stage6	Stage6HPRatio	0	Stage6AtkRatio	-0.2							Stage6HPRatio,Stage6AtkRatio	0,-0.2	
200037	GeneralSkill_ReduceMonster_ElecAddHurtDelta	ElecSubHurtDelta	-0.1	StackingCD	1.2	MaxStackingNum	4	StackDuring	10			ElecSubHurtDelta,StackingCD,MaxStackingNum,StackDuring	-0.1,1.2,4,10	
200038	MonsterAffix_Activity_TowerDefenseV3_FrozenRevive	HPHealRatio	0.06									HPHealRatio	0.06	
200039	LevelEntity_CrystalLink_MonsterEnhanced01	HPRatio	0.75	AttackRatio	0							HPRatio,AttackRatio	0.75,0	
200040	LevelEntity_CrystalLink_MonsterEnhanced02	HPRatio	0.75	AttackRatio	0							HPRatio,AttackRatio	0.75,0	
200041	LevelEntity_CrystalLink_MonsterEnhanced03	HPRatio	0.75	AttackRatio	-0.5							HPRatio,AttackRatio	0.75,-0.5	
200042	LevelEntity_CrystalLink_MonsterEnhanced04	HPRatio	0.35	AttackRatio	-0.5							HPRatio,AttackRatio	0.35,-0.5	
200043	LevelEntity_CrystalLink_MonsterEnhanced05	HPRatio	0.35	AttackRatio	0							HPRatio,AttackRatio	0.35,0	
200044	LevelEntity_CrystalLink_MonsterEnhanced06	HPRatio	0.75	AttackRatio	-0.5							HPRatio,AttackRatio	0.75,-0.5	
200045	MonsterAffix_Tower_SpecailHPRatio1	HPRatio	-0.5									HPRatio	-0.5	
200046	MonsterAffix_Tower_SpecailHPRatio2	HPRatio	-0.75									HPRatio	-0.75	
200047	MonsterAffix_ForlornVessel_HPDown_ForTwins2	ForlornVesselHPUpRatio	-0.3									ForlornVesselHPUpRatio	-0.3	
200048	MonsterAffix_Activity_TowerDefenseV3_FrozenReviveStrong	HPHealRatio	0.12									HPHealRatio	0.12	
200049	MonsterAffix_AdditionalHP_HardMode_ForRogueV2	HPRatio	0.5									HPRatio	0.5	
200050	MonsterAffix_AdditionalHP_Dynamic_ForRogueV2	layer_ratio	0.1									layer_ratio	0.1	
200051	MonsterAffix_BlackMudBuff_ForTheChasmChallenge	SubHurtDelta_AllType	0.05	AttackRatio	0.05	RecoverTime	10					SubHurtDelta_AllType,AttackRatio,RecoverTime	0.05,0.05,10	
200052	MonsterAffix_PropertyUp_Normal_ForActivityArena	HPRatio	1.25									HPRatio	1.25	
200053	MonsterAffix_PropertyUp_Hard_ForActivityArena	HPRatio	3.5	AttackRatio	0.2							HPRatio,AttackRatio	3.5,0.2	
200054	MonsterAffix_AdditionalHP_BonusStage01_ForRogueV2	HPRatio	48									HPRatio	48	
200055	MonsterAffix_AdditionalHP_BonusStage02_ForRogueV2	HPRatio	-0.99									HPRatio	-0.99	
200056	Monster_Apparatus_Enigma_Machinery	AttackRatio	-0.7	HPRatio	-0.7							AttackRatio,HPRatio	-0.7,-0.7	
200057	MonsterAffix_Apparatus_Perpetual_AttackDown_ForMachinery	AttackRatio	-0.7									AttackRatio	-0.7	
