属性名	最终下限	最终上限	LimitTag下限	LimitTag上限	继承owner
Actor_MaxHPRatio	-0.9	9	-0.9	9	
Actor_DefenceRatio	-0.9	5	-0.9	5	
Actor_AttackRatio	-0.9	9	-0.9	9	
Actor_CriticalDelta	-3	3	-3	3	1
Actor_CriticalExtraDelta	-3	3	-3	3	1
Actor_AntiCriticalDelta	-0.9	1	-0.9	1	1
Actor_AntiCriticalExtraDelta	-0.9	1	-0.9	1	1
Actor_CriticalHurtDelta	-0.5	5	-3	5	1
Actor_CriticalHurtExtraDelta	-0.5	5	-3	5	1
Actor_ChargeEfficiencyDelta	-0.9	3	-3	3	
Actor_ChargeEfficiencyExtraDelta	-0.9	3	-3	3	
Actor_AddHurtDelta	-0.9	3	-0.9	3	1
Actor_SubHurtDelta	-1.5	0.95	-1.5	0.95	1
Actor_HealAddDelta	-0.9	3	-0.9	3	
Actor_HealedAddDelta	-0.9	3	-0.9	3	
Actor_FireAddHurtDelta	-0.9	3	-0.9	3	
Actor_FireAddHurtExtraDelta	-0.9	3	-0.9	3	
Actor_ElecAddHurtDelta	-0.9	3	-0.9	3	
Actor_ElecAddHurtExtraDelta	-0.9	3	-0.9	3	
Actor_WaterAddHurtDelta	-0.9	3	-0.9	3	
Actor_WaterAddHurtExtraDelta	-0.9	3	-0.9	3	
Actor_GrassAddHurtDelta	-0.9	3	-0.9	3	
Actor_GrassAddHurtExtraDelta	-0.9	3	-0.9	3	
Actor_WindAddHurtDelta	-0.9	3	-0.9	3	
Actor_WindAddHurtExtraDelta	-0.9	3	-0.9	3	
Actor_IceAddHurtDelta	-0.9	3	-0.9	3	
Actor_IceAddHurtExtraDelta	-0.9	3	-0.9	3	
Actor_RockAddHurtDelta	-0.9	3	-0.9	3	
Actor_RockAddHurtExtraDelta	-0.9	3	-0.9	3	
Actor_PhysicalAddHurtDelta	-0.9	3	-0.9	3	
Actor_PhysicalAddHurtExtraDelta	-0.9	3	-0.9	3	
Actor_FireSubHurtDelta	-2	100	-2	100	
Actor_FireSubHurtExtraDelta	-2	3	-2	3	
Actor_ElecSubHurtDelta	-2	100	-2	100	
Actor_ElecSubHurtExtraDelta	-2	3	-2	3	
Actor_WaterSubHurtDelta	-2	100	-2	100	
Actor_WaterSubHurtExtraDelta	-2	3	-2	3	
Actor_GrassSubHurtDelta	-2	100	-2	100	
Actor_GrassSubHurtExtraDelta	-2	3	-2	3	
Actor_WindSubHurtDelta	-2	100	-2	100	
Actor_WindSubHurtExtraDelta	-2	3	-2	3	
Actor_IceSubHurtDelta	-2	100	-2	100	
Actor_IceSubHurtExtraDelta	-2	3	-2	3	
Actor_RockSubHurtDelta	-2	100	-2	100	
Actor_RockSubHurtExtraDelta	-2	3	-2	3	
Actor_PhysicalSubHurtDelta	-2	100	-2	100	
Actor_PhysicalSubHurtExtraDelta	-2	3	-2	3	
Actor_AddGravityScale	-2	99	-2	99	
Actor_SkillCDMinusRatio	-5	0.8	-2	0.67	
Actor_SkillCDMinusExtraRatio	-5	0.8	-2	0.67	
Actor_ShieldCostMinusRatio	-5	3	-2	3	
Actor_ShieldCostMinusExtraRatio	-5	3	-2	3	
Entity_ChargeSpeedRatioDelta	-0.8	10			
Entity_MassRatio	0	10000			
Entity_WeightRatio	0	10000			
Animator_MoveSpeedRatio	-0.4	0.4			
Animator_AttackSpeedRatio	-0.4	0.6			
Animator_OverallSpeedRatio	-0.4	0.4			
Animator_OverallSpeedRatioMultiplied	-1	1.4			
Actor_EndureDelta					1
Actor_HitHeadDmgRatio	-0.9	3			1
Actor_BulletMoveSpeedRatio	-1	10			
