ID	AbilityState1	AbilityState2	AbilityState3	AbilityState4	AbilityState5	AbilityState6	AbilityState7	AbilityState8	AbilityState9	AbilityState10	AbilityState11	AbilityState12	AbilityState13	AbilityState14	AbilityState15	AbilityState16	AbilityState17	AbilityState18	AbilityState19	AbilityState20
11001	65536	16	32	128	2048	16777216	32768	8388608	4194304	268435456	2147483648	4294967296	0	0	0	0	0	0	0	0
11002	65536	16	32	128	2048	4096	32768	1048576	2097152	268435456	4294967296	0	0	0	0	0	0	0	0	0
11003	65536	128	4096	1048576	134217728	32768	268435456	0	0	0	0	0	0	0	0	0	0	0	0	0
12001	65536	16	32	128	2048	268435456	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12002	16777216	32768	8388608	4194304	2147483648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12003	65536	16	32	2048	268435456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13001	65536	32768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13002	65536	4096	268435456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14001	4096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14002	65536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14004	2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14005	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14006	268435456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14007	34359738368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15001	16	32	128	2048	4096	8192	32768	2147483648	4294967296	0	0	0	0	0	0	0	0	0	0	0
15002	65536	4194304	8388608	16777216	268435456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
