活动ID	广告页类型	奖励预览ID	Json配置名	Prefab路径
5042	1	15174	ConfigEffigyWater	ART/UI/Menus/Widget/Activity/Activity_EffigyWater
5043	1	15175	ConfigRaijin	ART/UI/Menus/Widget/Activity/Activity_Raijin
5060	1	15176	ConfigHoundPlanelurker	ART/UI/Menus/Widget/Activity/Activity_Hound
5061	1	15177	ConfigDeepsea	ART/UI/Menus/Widget/Activity/Activity_Drake_Deepsea
5063			ConfigShenhe	ART/UI/Menus/Widget/Activity/Activity_Shenhe
5064			ConfigMichiae	ART/UI/Menus/Widget/Activity/Activity_Michiae
5071	1	15178	ConfigNithhoggr	ART/UI/Menus/Widget/Activity/Activity_Nithhoggr
5075			ConfigTheChasm	ART/UI/Menus/Widget/Activity/Activity_TheChasm
5077			ConfigAQTheChasm	ART/UI/Menus/Widget/Activity/Activity_AQ_TheChasm
5086	1	15179	ConfigMushroom	ART/UI/Menus/Widget/Activity/Activity_Mushroom
5089	1	15180	ConfigRegisvineElectric	ART/UI/Menus/Widget/Activity/Activity_Regisvine_Electric
5093			ConfigTheSumeru	ART/UI/Menus/Widget/Activity/Activity_Sumeru
5102			ConfigCWSM	ART/UI/Menus/Widget/Activity/Activity_CWSM
5103	1	15181	ConfigGargoyle	ART/UI/Menus/Widget/Activity/Activity_Monster_Gargoyle_Fafnir
5104	1	15182	ConfigMonolith	ART/UI/Menus/Widget/Activity/Activity_Monster_Monolith_Starchild
5105			ConfigAQTheSumeru1	ART/UI/Menus/Widget/Activity/Activity_AQ_Sumeru1
5106	1	15183	ConfigEffigyGrass	ART/UI/Menus/Widget/Activity/Activity_EffigyGrass
5109			ConfigAQTheSumeru2	ART/UI/Menus/Widget/Activity/Activity_AQ_Sumeru2
5110			ConfigGCG	ART/UI/Menus/Widget/Activity/Activity_AQ_Sumeru2
5115			ConfigAQTheWanderer	ART/UI/Menus/Widget/Activity/Activity_AQ_Wanderer
