ID,类型,索引ID,分组编号,影响特性,特性编号,随机权重,进度倍率
1101,1,101001,101#110,1,2,100,1
1102,1,101002,101#110,1,2,100,1
1103,1,101003,101#110,1,2,100,1
1104,1,100028,101#110,1,2,100,1
1105,1,101004,101#110,1,2,100,1
1106,1,101006,101#110,1,2,100,1
1108,1,101008,101#110,1,2,100,1
1109,1,101203,101#110,1,2,100,1
1110,1,100054,101#110,1,2,100,1
1111,1,100058,101#110,1,2,100,1
1201,1,100016,102#110,1,1,100,1
1202,1,100012,102#110,1,1,100,1
1203,1,100015,102#110,1,1,100,1
1204,1,100056,102#110,1,1,100,1
1205,1,100023,102#110,1,1,100,1
1206,1,100024,102#110,1,1,100,1
1207,1,100029,102#110,1,1,100,1
1208,1,100030,102#110,1,1,100,1
1209,1,100034,102#110,1,1,100,1
1210,1,100031,102#110,1,1,100,1
1211,1,101204,102#110,1,1,100,1
1212,1,101205,102#110,1,1,100,1
1213,1,101202,102#110,1,1,100,1
1214,1,100053,102#110,1,1,100,1
1215,1,100055,102#110,1,1,100,1
1216,1,100052,102#110,1,1,100,1
1301,1,100001,103#110,1,1,100,1
1302,1,100020,103#110,1,1,100,1
1303,1,100021,103#110,1,1,100,1
1304,1,100022,103#110,1,1,100,1
1305,1,100026,103#110,1,1,100,1
1306,1,100027,103#110,1,1,100,1
1307,1,101211,103#110,1,1,100,1
1308,1,101208,103#110,1,1,100,1
1309,1,100051,103#110,1,1,100,1
1310,1,100002,103#110,1,1,100,1
2101,2,1,201#210,2,3,100,1
2201,2,2,202#210,2,1,100,1
2301,2,4,203#210,2,2,100,1
3101,3,20010101,301#310,3,2,100,1
3102,3,20010201,301#310,3,2,100,1
3103,3,20010301,301#310,3,2,100,1
3104,3,20010401,301#310,3,2,100,1
3105,3,20010501,301#310,3,2,100,1
3106,3,20010601,301#310,3,2,100,1
3107,3,20010701,301#310,3,2,100,1
3108,3,20010801,301#310,3,2,100,1
3109,3,20010901,301#310,3,2,100,1
3110,3,20011001,301#310,3,2,100,1
3111,3,20011101,301#310,3,2,100,1
3112,3,20011201,301#310,3,2,100,1
3113,3,20011202,301#310,3,2,100,1
3114,3,20011301,301#310,3,2,100,1
3115,3,20011401,301#310,3,2,100,1
3116,3,20011501,301#310,3,2,100,1
3117,3,20010403,301#310,3,2,100,1
3118,3,20010604,301#310,3,2,100,1
3119,3,20010702,301#310,3,2,100,1
3120,3,20010904,301#310,3,2,100,1
3121,3,20011103,301#310,3,2,100,1
3122,3,20011304,301#310,3,2,100,1
3123,3,20011502,301#310,3,2,100,1
3201,3,20060101,302#310,3,3,100,2
3202,3,20060201,302#310,3,3,100,2
3203,3,20060301,302#310,3,3,100,2
3204,3,20060401,302#310,3,3,100,2
3205,3,20060501,302#310,3,3,100,2
3206,3,20060601,302#310,3,3,100,2
3301,3,20020101,310,3,1,100,4
3302,3,20040101,303#310,3,1,100,4
3303,3,20040201,303#310,3,1,100,4
3304,3,20040301,303#310,3,1,100,4
3305,3,20040401,303#310,3,1,100,4
3306,3,20040501,303#310,3,1,100,4
3307,3,20040601,303#310,3,1,100,4
3308,3,20050101,310,3,1,100,4
3310,3,20070101,310,3,1,100,4
