拍照地点ID,GroupLinkid,配图小,配图大,开启时间,奖励watcherid,Galleryid,红点ID,预设机位预览图荧,预设机位预览图空,拍照点SceneID
1,50680101,UI_ActivityPhotoGraph_Img_PicSmall01,UI_ActivityPhotoGraph_Img_PicSmall01,1,15068001,18001,9571,,,3
2,50680102,UI_ActivityPhotoGraph_Img_PicSmall02,UI_ActivityPhotoGraph_Img_PicSmall02,1,15068002,18002,9572,,,3
3,50680103,UI_ActivityPhotoGraph_Img_PicSmall03,UI_ActivityPhotoGraph_Img_PicSmall03,2,15068003,18003,9573,,,3
4,50680104,UI_ActivityPhotoGraph_Img_PicSmall04,UI_ActivityPhotoGraph_Img_PicSmall04,2,15068004,18004,9574,,,3
5,50680105,UI_ActivityPhotoGraph_Img_PicSmall05,UI_ActivityPhotoGraph_Img_PicSmall05,3,15068005,18005,9575,,,3
6,50680106,UI_ActivityPhotoGraph_Img_PicSmall06,UI_ActivityPhotoGraph_Img_PicSmall06,3,15068006,18006,9576,,,3
7,50680107,UI_ActivityPhotoGraph_Img_PicSmall07,UI_ActivityPhotoGraph_Img_PicSmall07,4,15068007,18007,9577,,,3
8,50680108,UI_ActivityPhotoGraph_Img_PicSmall08,UI_ActivityPhotoGraph_Img_PicSmall08,4,15068008,18008,9578,,,3
9,50680109,UI_ActivityPhotoGraph_Img_PicSmall09,UI_ActivityPhotoGraph_Img_PicSmall09,5,15068009,18009,9579,,,3
10,50680110,UI_ActivityPhotoGraph_Img_PicSmall10,UI_ActivityPhotoGraph_Img_PicSmall10,5,15068010,18010,9580,,,3
11,50680111,UI_ActivityPhotoGraph_Img_PicSmall11,UI_ActivityPhotoGraph_Img_PicSmall11,6,15068011,18011,9581,,,3
12,50680112,UI_ActivityPhotoGraph_Img_PicSmall12,UI_ActivityPhotoGraph_Img_PicSmall12,6,15068012,18012,9582,,,3
13,50680113,UI_ActivityPhotoGraph_Img_PicSmall13,UI_ActivityPhotoGraph_Img_PicSmall13,7,15068013,18013,9583,,,3
14,50680114,UI_ActivityPhotoGraph_Img_PicSmall14,UI_ActivityPhotoGraph_Img_PicSmall14,7,15068014,18014,9584,,,3
15,51080101,UI_ActivityPhotoGraphV2_Img_PicSmall01,UI_ActivityPhotoGraphV2_Img_PicSmall01,1,15108001,29001,321030,UI_ActivityPhotoGraphV2_Img_PicSmall01_G01#UI_ActivityPhotoGraphV2_Img_PicSmall01_G02#UI_ActivityPhotoGraphV2_Img_PicSmall01_G03#UI_ActivityPhotoGraphV2_Img_PicSmall01_G04,UI_ActivityPhotoGraphV2_Img_PicSmall01_B01#UI_ActivityPhotoGraphV2_Img_PicSmall01_B02#UI_ActivityPhotoGraphV2_Img_PicSmall01_B03#UI_ActivityPhotoGraphV2_Img_PicSmall01_B04,3
16,51080102,UI_ActivityPhotoGraphV2_Img_PicSmall02,UI_ActivityPhotoGraphV2_Img_PicSmall02,1,15108002,29002,321031,UI_ActivityPhotoGraphV2_Img_PicSmall02_G01#UI_ActivityPhotoGraphV2_Img_PicSmall02_G02#UI_ActivityPhotoGraphV2_Img_PicSmall02_G03#UI_ActivityPhotoGraphV2_Img_PicSmall02_G04,UI_ActivityPhotoGraphV2_Img_PicSmall02_B01#UI_ActivityPhotoGraphV2_Img_PicSmall02_B02#UI_ActivityPhotoGraphV2_Img_PicSmall02_B03#UI_ActivityPhotoGraphV2_Img_PicSmall02_B04,3
17,51080103,UI_ActivityPhotoGraphV2_Img_PicSmall03,UI_ActivityPhotoGraphV2_Img_PicSmall03,2,15108003,29003,321032,UI_ActivityPhotoGraphV2_Img_PicSmall03_G01#UI_ActivityPhotoGraphV2_Img_PicSmall03_G02#UI_ActivityPhotoGraphV2_Img_PicSmall03_G03#UI_ActivityPhotoGraphV2_Img_PicSmall03_G04,UI_ActivityPhotoGraphV2_Img_PicSmall03_B01#UI_ActivityPhotoGraphV2_Img_PicSmall03_B02#UI_ActivityPhotoGraphV2_Img_PicSmall03_B03#UI_ActivityPhotoGraphV2_Img_PicSmall03_B04,3
18,51080104,UI_ActivityPhotoGraphV2_Img_PicSmall04,UI_ActivityPhotoGraphV2_Img_PicSmall04,2,15108004,29004,321033,UI_ActivityPhotoGraphV2_Img_PicSmall04_G01#UI_ActivityPhotoGraphV2_Img_PicSmall04_G02#UI_ActivityPhotoGraphV2_Img_PicSmall04_G03#UI_ActivityPhotoGraphV2_Img_PicSmall04_G04,UI_ActivityPhotoGraphV2_Img_PicSmall04_B01#UI_ActivityPhotoGraphV2_Img_PicSmall04_B02#UI_ActivityPhotoGraphV2_Img_PicSmall04_B03#UI_ActivityPhotoGraphV2_Img_PicSmall04_B04,3
