商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	限购数量	[限购条件]1类型	[限购条件]1参数	[限购条件]1数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	前置条件屏蔽显示	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
1002001	1037	104112		1				109	12							3															1	1	99	1	1		
1002002	1037	104122		1				109	12							3															1	1	99	1	1		
1002003	1037	104142		1				109	12							3															1	1	99	1	1		
1002004	1037	104152		1				109	12							3															1	1	99	1	1		
1002005	1037	104162		1				109	12							3															1	1	99	1	1		
1002006	1037	104172		1				109	12							3															1	1	99	1	1		
1002007	1037	104002		1				109	1							150															1	1	99	1	1		
1002008	1037	104003		1				109	4							150															1	1	99	1	1		
1002009	1037	202		10000				109	4							250															1	1	99	1	1		
1002010	1037	202		500				109	1																	1	1002009	1002009			1	1	99	1	1		
1002011	1037	104302		1				110	4							12															1	1	99	1	2		
1002012	1037	104303		1				110	12							4															1	1	99	1	2		
1002013	1037	104305		1				110	4							12															1	1	99	1	2		
1002014	1037	104306		1				110	12							4															1	1	99	1	2		
1002015	1037	104308		1				110	4							12															1	1	99	1	2		
1002016	1037	104309		1				110	12							4															1	1	99	1	2		
1002017	1037	104311		1				110	4							12															1	1	99	1	2		
1002018	1037	104312		1				110	12							4															1	1	99	1	2		
1002019	1037	104314		1				110	4							12															1	1	99	1	2		
1002020	1037	104315		1				110	12							4															1	1	99	1	2		
1002021	1037	104317		1				110	4							12															1	1	99	1	2		
1002022	1037	104318		1				110	12							4															1	1	99	1	2		
1002023	1037	104319		1				110	110							1															1	1	99	1	2		
1002024	1037	104013		1				110	1							100															1	1	99	1	2		
1002025	1037	104012		3				110	2																	1	1002024	1002024			1	1	99	1	2		
1004101	1040	200103		1				111	600							1															1	1	99	1	3		
1004102	1040	114010		1				111	25							6															1	1	99	1	3		
1004103	1040	114002		1				111	25							6															1	1	99	1	3		
1004104	1040	114006		1				111	25							6															1	1	99	1	3		
1004105	1040	114014		1				111	25							6															1	1	99	1	3		
1004106	1040	114018		1				111	25							6															1	1	99	1	3		
1004107	1040	114022		1				111	25							6															1	1	99	1	3		
1004108	1040	104003		1				111	20							20															1	1	99	1	3		
1004109	1040	104013		1				111	10							60															1	1	99	1	3		
1004110	1040	202		10000				111	20							30															1	1	99	1	3		
1004201	1040	200103		1				112	600							1															1	1	99	1	4		
1004202	1040	104003		1				112	20							20															1	1	99	1	4		
1004203	1040	104002		1				112	5							20															1	1	99	1	4		
1004204	1040	104013		1				112	10							120															1	1	99	1	4		
1004205	1040	202		10000				112	20							30															1	1	99	1	4		
1004301	1040	200103		1				113	400							2															1	1	99	1	5		
1004302	1040	104319		1				113	600							1															1	1	99	1	5		
1004303	1040	104302		1				113	20							9															1	1	99	1	5		
1004304	1040	104305		1				113	20							9															1	1	99	1	5		
1004305	1040	104308		1				113	20							9															1	1	99	1	5		
1004306	1040	104311		1				113	20							9															1	1	99	1	5		
1004307	1040	104314		1				113	20							9															1	1	99	1	5		
1004308	1040	104317		1				113	20							9															1	1	99	1	5		
1004309	1040	104003		1				113	12							20															1	1	99	1	5		
1004310	1040	202		10000				113	12							30															1	1	99	1	5		
1003101	1041	201		60				145	40							4															1	1	99	1	6		
1003102	1041	104003		1				145	6							10															1	1	99	1	6		
1003103	1041	104013		1				145	3							20															1	1	99	1	6		
1003104	1041	202		10000				145	6							10															1	1	99	1	6		
1003105	1041	220014		1				145	200							1										17	6	6			1	1	99	1	6	1003001	
1003106	1041	220015		1				145	200							1										17	6	6			1	1	99	1	6	1003001	
1003107	1041	220016		1				145	200							1										17	6	6			1	1	99	1	6	1003001	
1003108	1041	220038		1				145	200							1										17	6	6			1	1	99	1	6	1003001	
1003109	1041	220062		1				145	200							1										17	6	6			1	1	99	1	6	1003001	
1005101	1043	104112		1				115	60							6															1	1	99	1	7		
1005102	1043	104122		1				115	60							6															1	1	99	1	7		
1005103	1043	104142		1				115	60							6															1	1	99	1	7		
1005104	1043	104152		1				115	60							6															1	1	99	1	7		
1005105	1043	104162		1				115	60							6															1	1	99	1	7		
1005106	1043	104172		1				115	60							6															1	1	99	1	7		
1005107	1043	104003		1				115	20							20															1	1	99	1	7		
1005108	1043	104201		10				115	10							20															1	1	99	1	7		
1005109	1043	202		10000				115	20							20															1	1	99	1	7		
1005201	1043	104319		1				115	1000							1															1	1	99	1	8		
1005202	1043	104003		1				115	20							60															1	1	99	1	8		
1005203	1043	104013		1				115	10							30															1	1	99	1	8		
1005204	1043	202		10000				115	20							40															1	1	99	1	8		
1005301	1043	210061		1				115	1000							1															1	1	99	1	9		
1005302	1043	104303		1				115	120							2															1	1	99	1	9		
1005303	1043	104302		1				115	40							6															1	1	99	1	9		
1005304	1043	104306		1				115	120							2															1	1	99	1	9		
1005305	1043	104305		1				115	40							6															1	1	99	1	9		
1005306	1043	104309		1				115	120							2															1	1	99	1	9		
1005307	1043	104308		1				115	40							6															1	1	99	1	9		
1005308	1043	104312		1				115	120							2															1	1	99	1	9		
1005309	1043	104311		1				115	40							6															1	1	99	1	9		
1005310	1043	104315		1				115	120							2															1	1	99	1	9		
1005311	1043	104314		1				115	40							6															1	1	99	1	9		
1005312	1043	104318		1				115	120							2															1	1	99	1	9		
1005313	1043	104317		1				115	40							6															1	1	99	1	9		
1044101	1044	104319		1				118	400							1															1	1	99	9	10		
1044102	1044	104302		1				118	20							6															1	1	99	1	10		
1044103	1044	104303		1				118	60							2															1	1	99	1	10		
1044104	1044	104305		1				118	20							6															1	1	99	1	10		
1044105	1044	104306		1				118	60							2															1	1	99	1	10		
1044106	1044	104308		1				118	20							6															1	1	99	1	10		
1044107	1044	104309		1				118	60							2															1	1	99	1	10		
1044108	1044	104311		1				118	20							6															1	1	99	1	10		
1044109	1044	104312		1				118	60							2															1	1	99	1	10		
1044110	1044	104314		1				118	20							6															1	1	99	1	10		
1044111	1044	104315		1				118	60							2															1	1	99	1	10		
1044112	1044	104317		1				118	20							6															1	1	99	1	10		
1044113	1044	104318		1				118	60							2															1	1	99	1	10		
1044114	1044	220024		1				118	280							1										7		1200311,1200314,1200317,1200320			1	1	99	8	10		
1044115	1044	220025		1				118	280							1										7		1200335,1200338,1200341,1200344			1	1	99	8	10		
