图鉴ID	类型	怪物ID	见到即解锁	序号	已废弃	解锁才显示	统计类型	描述$text_name_Desc
20011201	1	00112		1			1	逸散在自然之中的火元素沉积形成的小小魔物。\n具有非常基础的智能水平，但似乎具有很广泛的用途。对丘丘人而言。
20011301	1	00113		2			1	逸散在自然之中的火元素沉积形成的魔物。\n虽然智能水平并没有随着体型的成长而提高，但真的很热。在干燥的季节，可能会引发野火。愤怒的时候会喷吐炽热的火球，情绪低落的时候会变暗，是表达能力很强的史莱姆。
20011001	1	00110		3			1	逸散在自然之中的水元素沉积形成的小小魔物。\n传说中，有的人会将水史莱姆当作应急用水，在去往水源难寻的干旱地带、深邃的秘境之前储备好水史莱姆。但因为浓厚的水元素，直饮史莱姆其实对人体有害。
20011101	1	00111		4			1	逸散在自然之中的水元素沉积形成的魔物。\n力量更强大、体型更大的水史莱姆，可以产生水泡禁锢敌人。据说在某些力量充沛的地方，尺寸可以成长到非常夸张的程度。在奔狼领就曾有人目击过有一座小土丘那么大的水史莱姆。
20010301	1	00103		5			1	逸散在自然之中的风元素凝聚形成的小小魔物。\n因为风元素的力量，所以具有一定程度的飘浮能力。
20010401	1	00104		6			1	逸散在自然之中的风元素凝聚形成的魔物。\n相比风史莱姆，因为含有更浓厚的风元素，所以漂浮能力也更强。常年生活在荒野中的丘丘人似乎也会利用这种特性，制作特殊的、以大型风史莱姆为动力的载具，运输不知从何而来的物资。
20010501	1	00105		7			1	逸散在自然之中的雷元素凝聚形成的小小魔物，能够放出微弱的电力。\n根据分析，雷史莱姆蹦蹦跳跳的运动方式能反映地面上的电势差。在雷元素极其丰沛的地方，可以通过观察雷史莱姆的异常运动，避开危险。
20010601	1	00106		8			1	逸散在自然之中的雷元素凝聚形成的魔物。\n因为体内充沛的雷元素，会间歇性向周围放电。目前，已经有人开始尝试利用这种能量去进行有益的生产活动了，新的学科或许不日也将应运而生…？
20010701	1	00107		9			1	逸散在自然之中的雷元素凝聚形成的魔物。\n雷史莱姆异变产生的，明黄色的史莱姆。因为体内充沛的雷元素，会间歇性向周围放电，并能向附近的雷史莱姆放出电弧；但紫色的雷史莱姆之间并不会通电。由此看来，雷史莱姆似乎具有两极。\n以此为基点，或许能成为某种伟大学科的开端…
20010101	1	00101		10			1	因为充沛的草元素，而发生了生态上的质变的史莱姆。\n从生态而言，也获得了草元素的弱点。一旦遇上明火，就会剧烈地燃烧。
20010201	1	00102		11			1	因为充沛的草元素，而发生了生态上的质变的史莱姆。\n但也有人认为，从热衷于通过欺骗性的伪装来偷袭猎物，类似骗骗花的捕猎行为来看，或许是被特殊的植物寄生的史莱姆。从这个角度来看，草史莱姆在某些文化当中，或许被认为具有特别的药用价值…？
20010801	1	00108		12			1	逸散在自然之中的冰元素凝聚形成的小小魔物。\n过去曾经有竞争对手恶意谣传说，「晨曦酒庄」会利用冰史莱姆来调控酒窖的温度，以此保证酒品的质量。
20010901	1	00109		13			1	逸散在自然之中的冰元素凝聚形成的魔物。\n会利用体内凝聚的丰沛的冰元素，将大气中的水汽凝结成具有保护性的外壳；也会利用同样的原理，将周围的水面冻结。某种意义上是最自由的史莱姆，可以轻松自在地渡过汪洋大海。
20011401	1	00114		14			1	大地之中的岩元素凝聚形成的小小魔物。\n广义而言，地壳之中蕴含着丰富的岩元素。由此产生的岩史莱姆也让人有着脚踏实地的感觉。
20011501	1	00115		15			1	大地之中的岩元素凝聚形成的魔物。\n能将体内的力量凝结成岩壳，保护自己不受伤害。过去在盗宝团中一度流传着「大黄金岩史莱姆王」的说法，认为既然不少宝石与矿物中蕴含岩元素，那蕴含岩元素的史莱姆同样很可能是宝石与矿物。
20020101	1	00201		23			1	质量极高的风元素结核后产生的形态。\n狂风之核的形成意味着地方的元素地脉阻塞，其中出现了淤积。会肆无忌惮地挥霍狂风的力量，扫荡周围的人，或许也是因为它象征着此间天地的病痛吧。
20040601	1	00406		31			1	代号为「亚因」的高级火元素生命。\n根据学者的研究，无相元素与当地元素脉络的异常有着密切的关联。但究竟是无相元素的存在影响了元素脉络，还是异变的元素能量创生了无相元素，就不得而知了。
20040401	1	00404		32			1	代号为「希伊」的高级水元素生命。\n无相元素有强大的排异本能，会无情地驱逐试探它的人。\n排异习性的对象似乎甚至会延展到天然的元素上。
20040201	1	00402		33			1	代号为「贝特」的高级风元素生命。\n「无相」指的是抛弃了其他元素生物的形态与生态，达到的纯粹境地。\n针对无相元素的研究，主要由须弥教令院的学者主导进行。但由于其危险性，除了代号与命名以外，基本没有取得什么值得参考的研究成果…
20040101	1	00401		34			1	代号为「阿莱夫」的高级雷元素生命。\n无相元素是顶尖的元素构造体，会在元素能量喷涌的位置，或元素地脉阻塞的地点形成。\n不同的无相元素会基于其元素特性，进化出战斗的方式。
20040701	1	00407		35			1	代号为「扎因」的高级草元素生命。\n依据学者的推想，无相元素具有「学习」的智慧，进而产生了利用「拟态」进行攻击的能力。但能够摄入信息、产生变化，就可能遭受信息的污染。在学习、变化的过程中，原本诞生的目的——尽管如今在学界中仍是未解之谜——或许也会被歪曲、变得无关紧要吧。
20040501	1	00405		36			1	代号为「塔勒特」的高级冰元素生命。\n根据研究，无相元素与常规的元素生物在物质构成上有着细微的差别。而这些细微的成分差别，或许就是它们高度稳定的形态与机械般的行动方式的由来吧。
20040301	1	00403		37			1	代号为「基末尔」的高级岩元素生命。\n无相元素本身是超浓缩的构造体，拥有极高的质量。\n浓缩成硬质固体的元素超质壳是惰性的，只有内部的核会活跃发生元素反应。
20050101	1	00501		42			1	极纯的水元素凝结成的生命体，常与水体相伴。\n据说，水体越纯净，其中的水元素越丰沛，纯水精灵的力量就越强。又有传说认为，纯水精灵曾是来自异乡的水之亲眷。怀着已殁之神的碎片，流落到了世界各处，或许是为了让她们的神对世界的爱，循着水流广布大地…
20070101	1	00701		44			1	异常的雷元素生命。虽然外貌上与纯水精灵有相似之处，却不具备她的智慧与记忆。\n驱动雷音权现的是更为原始纯粹的愤怒。\n据说这种生物只会随着雷霆降生在遗留着强大忿恨的地方，譬如说支离破碎、雷云黝黝的天云峠。只要土地中的怨恨不消，那雷鸣也不会断绝吧。
20060601	1	00606		51			1	高浓度的火元素孕育而生的魔物，能够飘浮在空中。\n曾经有教令院的学生对它们的生态进行过研究。他认为晶蝶能飞、会在元素浓度高的区域诞生，和飘浮灵完全一样。所以飘浮灵是一种晶蝶。他现在也没毕业。
20060101	1	00601		52			1	高浓度的水元素孕育而生的魔物，能够飘浮在空中。\n在月夜里，飘荡在河边的水飘浮灵散发着幽光。鬼鬼祟祟的它们常被路过的旅人当作游魂，也因此成为了不少乡间民话的常客。
20060301	1	00603		53			1	高浓度的风元素孕育而生的魔物，能够飘浮在空中。\n从理论上来说，风元素凝固而成的魔物本身就具有一定的飘浮能力。由此看来，它们花瓣一样的翅叶首先应该是一种拟态器官。
20060501	1	00605		54			1	高浓度的雷元素孕育而生的魔物，能够飘浮在空中。\n曾经有学者对它们这个物种进行过研究。他认为无相元素有元素特征、会在元素浓度高的区域诞生，和飘浮灵完全一样。所以飘浮灵是一种无相。他后来被调查出了学术腐败。
20060701	1	00607		55			1	高浓度的草元素孕育而生的魔物，能够飘浮在空中。\n曾经有因论派的研究员对草飘浮灵的生态特征进行过研究，发现与传说中的「兰那罗」非常相似。他在一番考据后得出结论，所谓兰那罗其实就是草飘浮灵。后来这位研究员成为了籍籍无名的童话作家。
