ID,Schedule_ID,挑战关卡ID,挑战难度,是否是挑战关卡,WatcherID,怪物修正ID,GalleryID
1,5019001,1,1,,1501901,2000,5001
2,5019001,1,2,,1501902,2001,5001
3,5019001,1,3,,1501903,2002,5001
4,5019001,2,1,,1501904,2000,5001
5,5019001,2,2,,1501905,2001,5001
6,5019001,2,3,,1501906,2002,5001
7,5019001,3,1,,1501907,2000,5001
8,5019001,3,2,,1501908,2001,5001
9,5019001,3,3,,1501909,2002,5001
10,5019001,4,1,,1501910,2000,5001
11,5019001,4,2,,1501911,2001,5001
12,5019001,4,3,,1501912,2002,5001
13,5019001,5,1,,1501913,2000,5001
14,5019001,5,2,,1501914,2001,5001
15,5019001,5,3,,1501915,2002,5001
16,5019001,6,1,,1501916,2000,5001
17,5019001,6,2,,1501917,2001,5001
18,5019001,6,3,,1501918,2002,5001
19,5019001,7,1,,1501919,2000,5001
20,5019001,7,2,,1501920,2001,5001
21,5019001,7,3,,1501921,2002,5001
22,5034001,1,1,,1503401,2000,5006
23,5034001,1,2,,1503402,2001,5006
24,5034001,1,3,,1503403,2002,5006
25,5034001,1,4,1,1503404,,5013
26,5034001,2,1,,1503405,2000,5002
27,5034001,2,2,,1503406,2001,5002
28,5034001,2,3,,1503407,2002,5002
29,5034001,2,4,1,1503408,,5009
30,5034001,3,1,,1503409,2000,5005
31,5034001,3,2,,1503410,2001,5005
32,5034001,3,3,,1503411,2002,5005
33,5034001,3,4,1,1503412,,5012
34,5034001,4,1,,1503413,2000,5003
35,5034001,4,2,,1503414,2001,5003
36,5034001,4,3,,1503415,2002,5003
37,5034001,4,4,1,1503416,,5010
38,5034001,5,1,,1503417,2000,5008
39,5034001,5,2,,1503418,2001,5008
40,5034001,5,3,,1503419,2002,5008
41,5034001,5,4,1,1503420,,5015
42,5034001,6,1,,1503421,2000,5004
43,5034001,6,2,,1503422,2001,5004
44,5034001,6,3,,1503423,2002,5004
45,5034001,6,4,1,1503424,,5011
46,5034001,7,1,,1503425,2000,5007
47,5034001,7,2,,1503426,2001,5007
48,5034001,7,3,,1503427,2002,5007
49,5034001,7,4,1,1503428,,5014
50,5085001,1,1,,1508501,2000,21001
51,5085001,1,2,,1508502,2001,21002
52,5085001,1,3,,1508503,2002,21003
53,5085001,1,4,1,1508504,,21004
54,5085001,2,1,,1508505,2000,21005
55,5085001,2,2,,1508506,2001,21006
56,5085001,2,3,,1508507,2002,21007
57,5085001,2,4,1,1508508,,21008
54,5085001,3,1,,1508509,2000,21009
55,5085001,3,2,,1508510,2001,21010
56,5085001,3,3,,1508511,2002,21011
57,5085001,3,4,1,1508512,,21012
54,5085001,4,1,,1508513,2000,21013
55,5085001,4,2,,1508514,2001,21014
56,5085001,4,3,,1508515,2002,21015
57,5085001,4,4,1,1508516,,21016
54,5085001,5,1,,1508517,2000,21017
55,5085001,5,2,,1508518,2001,21018
56,5085001,5,3,,1508519,2002,21019
57,5085001,5,4,1,1508520,,21020
54,5085001,6,1,,1508521,2000,21021
55,5085001,6,2,,1508522,2001,21022
56,5085001,6,3,,1508523,2002,21023
57,5085001,6,4,1,1508524,,21024
54,5085001,7,1,,1508525,2000,21025
55,5085001,7,2,,1508526,2001,21026
56,5085001,7,3,,1508527,2002,21027
57,5085001,7,4,1,1508528,,21028
