排序id,排序,角色ID,开放时间,未获得不展示
1,23,10000033,2020-11-11 04:00:00,
2,22,10000039,2020-11-11 04:00:00,
3,21,10000029,2020-09-15 04:00:00,
4,20,10000022,2020-09-15 04:00:00,
5,19,10000042,2020-09-15 04:00:00,
6,18,10000041,2020-09-15 04:00:00,
7,17,10000035,2020-09-15 04:00:00,
8,16,10000016,2020-09-15 04:00:00,
9,15,10000003,2020-09-15 04:00:00,
10,14,10000043,2020-09-15 04:00:00,
11,13,10000036,2020-09-15 04:00:00,
12,12,10000034,2020-09-15 04:00:00,
13,11,10000032,2020-09-15 04:00:00,
14,10,10000031,2020-09-15 04:00:00,
15,9,10000027,2020-09-15 04:00:00,
16,8,10000025,2020-09-15 04:00:00,
17,7,10000024,2020-09-15 04:00:00,
18,6,10000023,2020-09-15 04:00:00,
19,5,10000020,2020-09-15 04:00:00,
20,4,10000014,2020-09-15 04:00:00,
21,3,10000006,2020-09-15 04:00:00,
22,2,10000015,2020-09-15 04:00:00,
23,1,10000021,2020-09-15 04:00:00,
24,25,10000030,2020-12-02 04:00:00,
25,24,10000044,2020-12-02 04:00:00,
26,27,10000037,2021-01-12 18:00:00,
27,26,10000038,2020-12-22 00:00:00,
28,28,10000026,2021-02-02 00:00:00,
29,29,10000046,2021-03-02 18:00:00,
30,30,10000045,2021-04-06 18:00:00,
31,31,10000048,2021-04-27 00:00:00,
32,32,10000051,2021-05-18 18:00:00,
33,33,10000047,2021-06-29 18:00:00,
34,34,10000002,2021-07-21 00:00:00,
35,35,10000053,2021-08-10 18:00:00,
36,36,10000049,2021-08-10 18:00:00,
37,37,10000062,2021-09-01 00:00:00,1
38,38,10000056,2021-09-01 00:00:00,
39,39,10000052,2021-09-01 00:00:00,
40,40,10000054,2021-09-21 18:00:00,
41,41,10000050,2021-11-02 18:00:00,
42,42,10000055,2021-12-14 18:00:00,
43,43,10000057,2021-12-14 18:00:00,
44,44,10000064,2022-01-05 00:00:00,
45,45,10000063,2022-01-05 00:00:00,
46,46,10000058,2022-02-16 00:00:00,
47,47,10000066,2022-03-30 00:00:00,
48,48,10000060,2022-05-31 00:00:00,
49,49,10000065,2022-06-21 18:00:00,
50,50,10000059,2022-07-13 00:00:00,
51,51,10000067,2022-08-24 00:00:00,
52,52,10000069,2022-08-24 00:00:00,
53,53,10000068,2022-09-09 18:00:00,
54,54,10000072,2022-09-27 00:00:00,
55,55,10000071,2022-09-27 00:00:00,
56,56,10000070,2022-10-14 18:00:00,
57,57,10000073,2022-11-01 00:00:00,
58,58,10000074,2022-11-18 18:00:00,
