角色ID	[重复]1次数	[重复]1转化物品	[重复]2次数	[重复]2转化物品	[重复]3次数	[重复]3转化物品
10000002	1,1	1102:1;221:10	2,6	1102:1;221:10	7	221:25
10000003	1,1	1103:1;221:10	2,6	1103:1;221:10	7	221:25
10000005	1,1	1105:1;221:10	2,6	1105:1;221:10	7	221:25
10000006	1,1	1106:1;221:2	2,6	1106:1;221:2	7	221:5
10000007	1,1	1107:1;221:10	2,6	1107:1;221:10	7	221:25
10000014	1,1	1114:1;221:2	2,6	1114:1;221:2	7	221:5
10000015	1,1	1115:1;221:2	2,6	1115:1;221:2	7	221:5
10000016	1,1	1116:1;221:10	2,6	1116:1;221:10	7	221:25
10000020	1,1	1120:1;221:2	2,6	1120:1;221:2	7	221:5
10000021	1,1	1121:1;221:2	2,6	1121:1;221:2	7	221:5
10000022	1,1	1122:1;221:10	2,6	1122:1;221:10	7	221:25
10000023	1,1	1123:1;221:2	2,6	1123:1;221:2	7	221:5
10000024	1,1	1124:1;221:2	2,6	1124:1;221:2	7	221:5
10000025	1,1	1125:1;221:2	2,6	1125:1;221:2	7	221:5
10000026	1,1	1126:1;221:10	2,6	1126:1;221:10	7	221:25
10000027	1,1	1127:1;221:2	2,6	1127:1;221:2	7	221:5
10000029	1,1	1129:1;221:10	2,6	1129:1;221:10	7	221:25
10000030	1,1	1130:1;221:10	2,6	1130:1;221:10	7	221:25
10000031	1,1	1131:1;221:2	2,6	1131:1;221:2	7	221:5
10000032	1,1	1132:1;221:2	2,6	1132:1;221:2	7	221:5
10000033	1,1	1133:1;221:10	2,6	1133:1;221:10	7	221:25
10000034	1,1	1134:1;221:2	2,6	1134:1;221:2	7	221:5
10000035	1,1	1135:1;221:10	2,6	1135:1;221:10	7	221:25
10000036	1,1	1136:1;221:2	2,6	1136:1;221:2	7	221:5
10000037	1,1	1137:1;221:10	2,6	1137:1;221:10	7	221:25
10000038	1,1	1138:1;221:10	2,6	1138:1;221:10	7	221:25
10000039	1,1	1139:1;221:2	2,6	1139:1;221:2	7	221:5
10000041	1,1	1141:1;221:10	2,6	1141:1;221:10	7	221:25
10000042	1,1	1142:1;221:10	2,6	1142:1;221:10	7	221:25
10000043	1,1	1143:1;221:2	2,6	1143:1;221:2	7	221:5
10000044	1,1	1144:1;221:2	2,6	1144:1;221:2	7	221:5
10000045	1,1	1145:1;221:2	2,6	1145:1;221:2	7	221:5
10000046	1,1	1146:1;221:10	2,6	1146:1;221:10	7	221:25
10000047	1,1	1147:1;221:10	2,6	1147:1;221:10	7	221:25
10000048	1,1	1148:1;221:2	2,6	1148:1;221:2	7	221:5
10000049	1,1	1149:1;221:10	2,6	1149:1;221:10	7	221:25
10000050	1,1	1150:1;221:2	2,6	1150:1;221:2	7	221:5
10000051	1,1	1151:1;221:10	2,6	1151:1;221:10	7	221:25
10000052	1,1	1152:1;221:10	2,6	1152:1;221:10	7	221:25
10000053	1,1	1153:1;221:2	2,6	1153:1;221:2	7	221:5
10000054	1,1	1154:1;221:10	2,6	1154:1;221:10	7	221:25
10000055	1,1	1155:1;221:2	2,6	1155:1;221:2	7	221:5
10000056	1,1	1156:1;221:2	2,6	1156:1;221:2	7	221:5
10000057	1,1	1157:1;221:10	2,6	1157:1;221:10	7	221:25
10000058	1,1	1158:1;221:10	2,6	1158:1;221:10	7	221:25
10000059	1,1	1159:1;221:2	2,6	1159:1;221:2	7	221:5
10000060	1,1	1160:1;221:10	2,6	1160:1;221:10	7	221:25
10000062	1,1	1162:1;221:10	2,6	1162:1;221:10	7	221:25
10000063	1,1	1163:1;221:10	2,6	1163:1;221:10	7	221:25
10000064	1,1	1164:1;221:2	2,6	1164:1;221:2	7	221:5
10000065	1,1	1165:1;221:2	2,6	1165:1;221:2	7	221:5
10000066	1,1	1166:1;221:10	2,6	1166:1;221:10	7	221:25
10000067	1,1	1167:1;221:2	2,6	1167:1;221:2	7	221:5
10000068	1,1	1168:1;221:2	2,6	1168:1;221:2	7	221:5
10000069	1,1	1169:1;221:10	2,6	1169:1;221:10	7	221:25
10000070	1,1	1170:1;221:10	2,6	1170:1;221:10	7	221:25
10000071	1,1	1171:1;221:10	2,6	1171:1;221:10	7	221:25
10000072	1,1	1172:1;221:2	2,6	1172:1;221:2	7	221:5
10000073	1,1	1173:1;221:10	2,6	1173:1;221:10	7	221:25
10000074	1,1	1174:1;221:2	2,6	1174:1;221:2	7	221:5
10000082	1,1	1182:1;221:10	2,6	1182:1;221:10	7	221:25
