时装ID,序号,道具ID,角色ID,Prefab路径,Prefab_Remote路径,Controller路径,Controller_Remote路径,默认时装,默认获得,品级,国内抽到角色时默认穿戴衣装
200301,02,340001,10000003,ART/Char/Avatar/Avatar_Lady_Sword_QinCostumeSea/Avatar_Lady_Sword_QinCostumeSea,ART/Char/Avatar/Avatar_Lady_Sword_QinCostumeSea/Avatar_Lady_Sword_QinCostumeSea_Remote,,,,,4,
201401,01,340000,10000014,ART/Char/Avatar/Avatar_Girl_Catalyst_BarbaraCostumeSummertime/Avatar_Girl_Catalyst_BarbaraCostumeSummertime,ART/Char/Avatar/Avatar_Girl_Catalyst_BarbaraCostumeSummertime/Avatar_Girl_Catalyst_BarbaraCostumeSummertime_Remote,,,,,4,
202701,01,340002,10000027,ART/Char/Avatar/Avatar_Lady_Catalyst_NingguangCostumeFloral/Avatar_Lady_Catalyst_NingguangCostumeFloral,ART/Char/Avatar/Avatar_Lady_Catalyst_NingguangCostumeFloral/Avatar_Lady_Catalyst_NingguangCostumeFloral_Remote,,,,,4,
204201,01,340003,10000042,ART/Char/Avatar/Avatar_Girl_Sword_KeqingCostumeFeather/Avatar_Girl_Sword_KeqingCostumeFeather,ART/Char/Avatar/Avatar_Girl_Sword_KeqingCostumeFeather/Avatar_Girl_Sword_KeqingCostumeFeather_Remote,,,,,4,
200302,01,340006,10000003,ART/Char/Avatar/Avatar_Lady_Sword_QinCostumeWic/Avatar_Lady_Sword_QinCostumeWic,ART/Char/Avatar/Avatar_Lady_Sword_QinCostumeWic/Avatar_Lady_Sword_QinCostumeWic_Remote,,,,1,4,1
202101,01,340007,10000021,ART/Char/Avatar/Avatar_Girl_Bow_AmborCostumeWic/Avatar_Girl_Bow_AmborCostumeWic,ART/Char/Avatar/Avatar_Girl_Bow_AmborCostumeWic/Avatar_Girl_Bow_AmborCostumeWic_Remote,,,,1,4,1
204101,01,340008,10000041,ART/Char/Avatar/Avatar_Girl_Catalyst_MonaCostumeWic/Avatar_Girl_Catalyst_MonaCostumeWic,ART/Char/Avatar/Avatar_Girl_Catalyst_MonaCostumeWic/Avatar_Girl_Catalyst_MonaCostumeWic_Remote,,,,1,4,1
204501,01,340009,10000045,ART/Char/Avatar/Avatar_Lady_Pole_RosariaCostumeWic/Avatar_Lady_Pole_RosariaCostumeWic,ART/Char/Avatar/Avatar_Lady_Pole_RosariaCostumeWic/Avatar_Lady_Pole_RosariaCostumeWic_Remote,,,,1,4,1
201601,01,340004,10000016,ART/Char/Avatar/Avatar_Male_Claymore_DilucCostumeFlamme/Avatar_Male_Claymore_DilucCostumeFlamme,ART/Char/Avatar/Avatar_Male_Claymore_DilucCostumeFlamme/Avatar_Male_Claymore_DilucCostumeFlamme_Remote,ART/Char/Avatar/Avatar_Male_Claymore_DilucCostumeFlamme/Avatar_Male_Claymore_DilucCostumeFlamme,ART/Char/Avatar/Avatar_Male_Claymore_DilucCostumeFlamme/Avatar_Male_Claymore_DilucCostumeFlamme_Remote,,,5,
203101,01,340005,10000031,ART/Char/Avatar/Avatar_Girl_Bow_FischlCostumeHighness/Avatar_Girl_Bow_FischlCostumeHighness,ART/Char/Avatar/Avatar_Girl_Bow_FischlCostumeHighness/Avatar_Girl_Bow_FischlCostumeHighness_Remote,ART/Char/Avatar/Avatar_Girl_Bow_FischlCostumeHighness/Avatar_Girl_Bow_FischlCostumeHighness,ART/Char/Avatar/Avatar_Girl_Bow_FischlCostumeHighness/Avatar_Girl_Bow_FischlCostumeHighness_Remote,,,4,
200200,0,,10000002,,,,,1,,,
200300,0,,10000003,,,,,1,,,
200500,0,,10000005,,,,,1,,,
200600,0,,10000006,,,,,1,,,
200700,0,,10000007,,,,,1,,,
201400,0,,10000014,,,,,1,,,
201500,0,,10000015,,,,,1,,,
201600,0,,10000016,,,,,1,,,
202000,0,,10000020,,,,,1,,,
202100,0,,10000021,,,,,1,,,
202200,0,,10000022,,,,,1,,,
202300,0,,10000023,,,,,1,,,
202400,0,,10000024,,,,,1,,,
202500,0,,10000025,,,,,1,,,
202600,0,,10000026,,,,,1,,,
202700,0,,10000027,,,,,1,,,
202900,0,,10000029,,,,,1,,,
203000,0,,10000030,,,,,1,,,
203100,0,,10000031,,,,,1,,,
203200,0,,10000032,,,,,1,,,
203300,0,,10000033,,,,,1,,,
203400,0,,10000034,,,,,1,,,
203500,0,,10000035,,,,,1,,,
203600,0,,10000036,,,,,1,,,
203700,0,,10000037,,,,,1,,,
203800,0,,10000038,,,,,1,,,
203900,0,,10000039,,,,,1,,,
204100,0,,10000041,,,,,1,,,
204200,0,,10000042,,,,,1,,,
204300,0,,10000043,,,,,1,,,
204400,0,,10000044,,,,,1,,,
204500,0,,10000045,,,,,1,,,
204600,0,,10000046,,,,,1,,,
204700,0,,10000047,,,,,1,,,
204800,0,,10000048,,,,,1,,,
204900,0,,10000049,,,,,1,,,
205000,0,,10000050,,,,,1,,,
205100,0,,10000051,,,,,1,,,
205200,0,,10000052,,,,,1,,,
205300,0,,10000053,,,,,1,,,
205400,0,,10000054,,,,,1,,,
205500,0,,10000055,,,,,1,,,
205600,0,,10000056,,,,,1,,,
205700,0,,10000057,,,,,1,,,
205800,0,,10000058,,,,,1,,,
205900,0,,10000059,,,,,1,,,
206000,0,,10000060,,,,,1,,,
206200,0,,10000062,,,,,1,,,
206300,0,,10000063,,,,,1,,,
206400,0,,10000064,,,,,1,,,
206500,0,,10000065,,,,,1,,,
206600,0,,10000066,,,,,1,,,
206700,0,,10000067,,,,,1,,,
206800,0,,10000068,,,,,1,,,
206900,0,,10000069,,,,,1,,,
207000,0,,10000070,,,,,1,,,
207100,0,,10000071,,,,,1,,,
207200,0,,10000072,,,,,1,,,
207300,0,,10000073,,,,,1,,,
207400,0,,10000074,,,,,1,,,
