ID,名称$text_name_Name,Prefab路径,Prefab_Remote路径,Controller路径,Controller_Remote路径,默认阵营,基础生命值,基础攻击力,基础防御力,暴击率,暴击抗性,暴击伤害,火元素抗性,草元素抗性,水元素抗性,电元素抗性,风元素抗性,冰元素抗性,岩元素抗性,火元素伤害加成,草元素伤害加成,水元素伤害加成,电元素伤害加成,风元素伤害加成,冰元素伤害加成,岩元素伤害加成,[属性成长]1类型,[属性成长]1曲线,[属性成长]2类型,[属性成长]2曲线,[属性成长]3类型,[属性成长]3曲线,元素精通,物理抗性,物理伤害加成,是否使用,反应暴击率,反应暴击伤害,角色品质,充能效率,治疗效果,受治疗效果,战斗config,是否远程射击角色,初始武器,武器种类,技能库ID,体力恢复速度,候选技能库ID,角色类型,角色突破ID,角色突破奖励获取等阶,角色突破奖励,特性组ID,描述$text_name_Desc
10000001,凯特,ART/Char/Avatar/Avatar_Girl_Sword_Kate/Avatar_Girl_Sword_Kate,ART/Char/Avatar/Avatar_Girl_Sword_Kate/Avatar_Girl_Sword_Kate_Remote,ART/Char/Avatar/Avatar_Girl_Sword_Kate/Avatar_Girl_Sword_Kate,ART/Char/Avatar/Avatar_Girl_Sword_Kate/Avatar_Girl_Sword_Kate_Remote,,166,5,8,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,32,7,22,0,0,0,0,0,1,4,1,0,0,ConfigAvatar_Kate,0,11101,1,101,25,,1,2,1#3#5,900011#900013#900015,10000001,
10000002,神里绫华,ART/Char/Avatar/Avatar_Girl_Sword_Ayaka/Avatar_Girl_Sword_Ayaka,ART/Char/Avatar/Avatar_Girl_Sword_Ayaka/Avatar_Girl_Sword_Ayaka_Remote,ART/Char/Avatar/Avatar_Girl_Sword_Ayaka/Avatar_Girl_Sword_Ayaka,ART/Char/Avatar/Avatar_Girl_Sword_Ayaka/Avatar_Girl_Sword_Ayaka_Remote,,1000.986,26.6266,61.0266,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,4,31,7,21,0,0,0,2,0,1,5,1,0,0,ConfigAvatar_Ayaka,0,11101,1,201,25,,1,2,1#3#5,900021#900023#900025,10000002,稻妻「社奉行」神里家的大小姐。端庄而文雅，聪慧又坚韧。
10000003,琴,ART/Char/Avatar/Avatar_Lady_Sword_Qin/Avatar_Lady_Sword_Qin,ART/Char/Avatar/Avatar_Lady_Sword_Qin/Avatar_Lady_Sword_Qin_Remote,ART/Char/Avatar/Avatar_Lady_Sword_Qin/Avatar_Lady_Sword_Qin,ART/Char/Avatar/Avatar_Lady_Sword_Qin/Avatar_Lady_Sword_Qin_Remote,,1143.984,18.62,59.83,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,4,31,7,21,0,0,0,2,0,1,5,1,0,0,ConfigAvatar_Qin,0,11101,1,301,25,,1,3,1#3#5,900031#900033#900035,10000003,正直严谨的蒲公英骑士，蒙德西风骑士团的代理团长。
10000005,旅行者,ART/Char/Avatar/Avatar_Boy_Sword_PlayerBoy/Avatar_Boy_Sword_PlayerBoy,ART/Char/Avatar/Avatar_Boy_Sword_PlayerBoy/Avatar_Boy_Sword_PlayerBoy_Remote,ART/Char/Avatar/Avatar_Boy_Sword_PlayerBoy/Avatar_Boy_Sword_PlayerBoy,ART/Char/Avatar/Avatar_Boy_Sword_PlayerBoy/Avatar_Boy_Sword_PlayerBoy_Remote,,911.791,17.808,57.225,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,32,7,22,0,0,0,2,0,1,5,1,0,0,ConfigAvatar_PlayerBoy,0,11101,1,501,25,501#502#503#504#505#506#507#508,0,12,1#3#5,900041#900043#900045,10000005,从世界之外漂流而来的旅行者，被神带走血亲，自此踏上寻找七神之路。
10000006,丽莎,ART/Char/Avatar/Avatar_Lady_Catalyst_Lisa/Avatar_Lady_Catalyst_Lisa,ART/Char/Avatar/Avatar_Lady_Catalyst_Lisa/Avatar_Lady_Catalyst_Lisa_Remote,ART/Char/Avatar/Avatar_Lady_Catalyst_Lisa/Avatar_Lady_Catalyst_Lisa,ART/Char/Avatar/Avatar_Lady_Catalyst_Lisa/Avatar_Lady_Catalyst_Lisa_Remote,,802.37608,19.41072,48.069,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,32,7,22,0,0,0,2,0,1,4,1,0,0,ConfigAvatar_Lisa,0,14101,10,601,25,,1,4,1#3#5,900051#900053#900055,10000006,慵懒而博学的图书管理员，须弥教令院「两百年一见」的天才毕业生。
10000007,旅行者,ART/Char/Avatar/Avatar_Girl_Sword_PlayerGirl/Avatar_Girl_Sword_PlayerGirl,ART/Char/Avatar/Avatar_Girl_Sword_PlayerGirl/Avatar_Girl_Sword_PlayerGirl_Remote,ART/Char/Avatar/Avatar_Girl_Sword_PlayerGirl/Avatar_Girl_Sword_PlayerGirl,ART/Char/Avatar/Avatar_Girl_Sword_PlayerGirl/Avatar_Girl_Sword_PlayerGirl_Remote,,911.791,17.808,57.225,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,32,7,22,0,0,0,2,0,1,5,1,0,0,ConfigAvatar_PlayerGirl,0,11101,1,701,25,701#702#703#704#705#706#707#708,0,12,1#3#5,900041#900043#900045,10000007,从世界之外漂流而来的旅行者，被神带走血亲，自此踏上寻找七神之路。
10000014,芭芭拉,ART/Char/Avatar/Avatar_Girl_Catalyst_Barbara/Avatar_Girl_Catalyst_Barbara,ART/Char/Avatar/Avatar_Girl_Catalyst_Barbara/Avatar_Girl_Catalyst_Barbara_Remote,ART/Char/Avatar/Avatar_Girl_Catalyst_Barbara/Avatar_Girl_Catalyst_Barbara,ART/Char/Avatar/Avatar_Girl_Catalyst_Barbara/Avatar_Girl_Catalyst_Barbara_Remote,,820.6119,13.356,56.0805,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,32,7,22,0,0,0,2,0,1,4,1,0,0,ConfigAvatar_Barbara,0,14101,10,1401,25,,1,14,1#3#5,900061#900063#900065,10000014,蒙德城的大家都喜欢芭芭拉。「偶像」这个词是她从一本杂志里看到的。
10000015,凯亚,ART/Char/Avatar/Avatar_Male_Sword_Kaeya/Avatar_Male_Sword_Kaeya,ART/Char/Avatar/Avatar_Male_Sword_Kaeya/Avatar_Male_Sword_Kaeya_Remote,ART/Char/Avatar/Avatar_Male_Sword_Kaeya/Avatar_Male_Sword_Kaeya,ART/Char/Avatar/Avatar_Male_Sword_Kaeya/Avatar_Male_Sword_Kaeya_Remote,,975.61637,18.6984,66.381,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,32,7,22,0,0,0,2,0,1,4,1,0,0,ConfigAvatar_Kaeya,0,11101,1,1501,25,,1,15,1#3#5,900071#900073#900075,10000015,异国面容的剑斗士，西风骑士团的头脑派人物。
10000016,迪卢克,ART/Char/Avatar/Avatar_Male_Claymore_Diluc/Avatar_Male_Claymore_Diluc,ART/Char/Avatar/Avatar_Male_Claymore_Diluc/Avatar_Male_Claymore_Diluc_Remote,ART/Char/Avatar/Avatar_Male_Claymore_Diluc/Avatar_Male_Claymore_Diluc,ART/Char/Avatar/Avatar_Male_Claymore_Diluc/Avatar_Male_Claymore_Diluc_Remote,,1010.5192,26.068,61.0266,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,4,31,7,21,0,0,0,2,0,1,5,1,0,0,ConfigAvatar_Diluc,0,12101,11,1601,25,,1,16,1#3#5,900081#900083#900085,10000016,坐拥蒙德大半酒业的贵公子，财力、人望、能力都令人无法小觑。
10000020,雷泽,ART/Char/Avatar/Avatar_Boy_Claymore_Razor/Avatar_Boy_Claymore_Razor,ART/Char/Avatar/Avatar_Boy_Claymore_Razor/Avatar_Boy_Claymore_Razor_Remote,ART/Char/Avatar/Avatar_Boy_Claymore_Razor/Avatar_Boy_Claymore_Razor,ART/Char/Avatar/Avatar_Boy_Claymore_Razor/Avatar_Boy_Claymore_Razor_Remote,,1002.9701,19.5888,62.9475,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,32,7,22,0,0,0,2,0,1,4,1,0,0,ConfigAvatar_Razor,0,12101,11,2001,25,,1,20,1#3#5,900091#900093#900095,10000020,住在蒙德地区奔狼领，远离城市与人群，和狼一同生活的少年。直觉锐利，身姿迅捷。
