类型	星级	等级	对应分数
1	4	1	1924
1	4	2	2083
1	4	3	2242
1	4	4	2400
1	4	5	2559
1	4	6	2718
1	4	7	2877
1	4	8	3036
1	4	9	3195
1	4	10	3354
1	4	11	3512
1	4	12	3671
1	4	13	3830
1	4	14	3989
1	4	15	4148
1	4	16	4307
1	4	17	4466
1	4	18	4624
1	4	19	4783
1	4	20	4942
1	4	21	5130
1	4	22	5320
1	4	23	5512
1	4	24	5705
1	4	25	5901
1	4	26	6098
1	4	27	6297
1	4	28	6498
1	4	29	6701
1	4	30	6905
1	4	31	7111
1	4	32	7320
1	4	33	7530
1	4	34	7741
1	4	35	7955
1	4	36	8170
1	4	37	8388
1	4	38	8607
1	4	39	8828
1	4	40	9050
1	4	41	9275
1	4	42	9501
1	4	43	9729
1	4	44	9959
1	4	45	10191
1	4	46	10425
1	4	47	10660
1	4	48	10898
1	4	49	11137
1	4	50	11378
1	4	51	11620
1	4	52	11865
1	4	53	12111
1	4	54	12360
1	4	55	12610
1	4	56	12862
1	4	57	13115
1	4	58	13371
1	4	59	13628
1	4	60	13887
1	4	61	14148
1	4	62	14411
1	4	63	14676
1	4	64	14942
1	4	65	15210
1	4	66	15481
1	4	67	15752
1	4	68	16026
1	4	69	16302
1	4	70	16579
1	4	71	16858
1	4	72	17139
1	4	73	17422
1	4	74	17707
1	4	75	17993
1	4	76	18282
1	4	77	18572
1	4	78	18864
1	4	79	19158
1	4	80	19453
1	4	81	19751
1	4	82	20050
1	4	83	20351
1	4	84	20654
1	4	85	20958
1	4	86	21265
1	4	87	21573
1	4	88	21883
1	4	89	22195
1	4	90	22509
1	4	91	22825
1	4	92	23142
1	4	93	23462
1	4	94	23783
1	4	95	24106
1	4	96	24430
1	4	97	24757
1	4	98	25085
1	4	99	25416
1	4	100	25748
1	5	1	2011
1	5	2	2179
1	5	3	2346
1	5	4	2514
1	5	5	2681
1	5	6	2850
1	5	7	3018
1	5	8	3186
1	5	9	3354
1	5	10	3523
1	5	11	3692
1	5	12	3861
1	5	13	4030
1	5	14	4199
1	5	15	4369
1	5	16	4538
1	5	17	4708
1	5	18	4878
1	5	19	5048
1	5	20	5219
1	5	21	5420
1	5	22	5624
1	5	23	5830
1	5	24	6037
1	5	25	6248
1	5	26	6460
1	5	27	6674
1	5	28	6890
1	5	29	7109
1	5	30	7330
1	5	31	7553
1	5	32	7778
1	5	33	8005
1	5	34	8235
1	5	35	8466
1	5	36	8700
1	5	37	8936
1	5	38	9174
1	5	39	9414
1	5	40	9657
1	5	41	9901
1	5	42	10148
1	5	43	10397
1	5	44	10649
1	5	45	10902
1	5	46	11158
1	5	47	11416
1	5	48	11676
1	5	49	11938
1	5	50	12202
1	5	51	12469
1	5	52	12738
1	5	53	13010
1	5	54	13283
1	5	55	13559
1	5	56	13837
1	5	57	14117
1	5	58	14399
1	5	59	14684
1	5	60	14971
1	5	61	15260
1	5	62	15551
1	5	63	15845
1	5	64	16140
1	5	65	16439
1	5	66	16739
1	5	67	17042
1	5	68	17347
1	5	69	17654
1	5	70	17964
1	5	71	18275
1	5	72	18589
1	5	73	18906
1	5	74	19224
1	5	75	19545
1	5	76	19869
1	5	77	20194
1	5	78	20522
1	5	79	20852
1	5	80	21184
1	5	81	21519
1	5	82	21856
1	5	83	22196
1	5	84	22537
1	5	85	22881
1	5	86	23228
1	5	87	23576
1	5	88	23927
1	5	89	24281
1	5	90	24637
1	5	91	24994
1	5	92	25355
1	5	93	25718
1	5	94	26083
1	5	95	26450
1	5	96	26820
1	5	97	27192
1	5	98	27566
1	5	99	27943
1	5	100	28322
