ID	Ability名称	是远程	技能CD	无视冷却缩减属性	消耗体力	消耗能量类型	消耗能量值	可累积次数	TriggerID	索敌范围	索敌公式权重1	索敌公式权重2	索敌公式权重3	索敌公式权重4	是默认镜头	支持按钮拖动	是否显示箭头	是否监控状态	默认锁定	图标名称	升级技能组ID	技能能量键值	消耗能量最小值	CanDoSkill为false强制可用	处理冷却所属技能槽	是否存档	shareCDID
10001			0		1			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10002			0		1			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10003			0		1			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10004			0		1			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10006			1		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10011			0		0			1	1	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10101			10		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10102			10		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10111			0		10			1	11	CircleLockEnemy	1	1	0.3	0	1						0						
10012			2		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10013			0		1			1	3	CircleLockEnemyR5H6HC	1	1	0.3	0		1	1				233			1			
10014			8		0	4	30	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10015			8		0			1	4	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10016			0		0			1	4	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10017			12		0	1	40	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2139						
10018			10		0			1	2	CircleLockEnemyR5H6HC	1	1	0.3	0	1						232						
10019			20		0	5	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						239						
10020			4		0			1	7	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10021			15		0	5	60	1	6	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10022	Test_CreateSharkTorpedo		5		0			2	0	CircleLockEnemyR10H6HC	1	1	0.3	0	1						0						
10023	Test_CreateSteamBang		10		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10024	Avatar_Ayaka_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						231						
10031	Avatar_Qin_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						331						
10032			15		0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1	2	1				2132						
10033	Avatar_Qin_VortexSmash		6		0			1	2	CircleLockEnemyR5H6HC	1	1	0.3	0	1		1				332						
10034	Avatar_Qin_DandelionWind		20		0	7	80	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						339						
10035			15	1	0			1	11	CircleLockEnemyR10	1	1	0.3	0	1	2	1				0						
10036	Avatar_Qin_EnterSkill		30					1	0	CircleLockEnemyR10	1	1	0.3	0							0						
10037	Avatar_Player_FlyingBomber		2	1	0			1	0	CircleLockEnemyAmborFly	1	1	0.3	0	1	2	1				0						
10038			1	1	0			1	11	CircleLockEnemyR10	1	1	0.3	0	1	2	1				0						
10041	Avatar_Ambor_PressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2131						
10042	Avatar_Ambor_AimPressShoot	1	0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10043		1	0		0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10044	Avatar_GateOfAmbor_TriggerBullet		30		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10051		1	0		0			1	21	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10052			0		0			1	21	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10053	Avatar_Ayaka_EndLiquidStrike		0		0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0						
10054	Avatar_PlayerBoy_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10055	Avatar_PlayerGirl_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
10056	Avatar_Player_ExtraAttack		0		0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0						
