ID	充能技能	天赋技能	技能1	技能2	技能3	技能4	次级技能	瞄准模式	队长天赋	额外Ability1	额外Ability2	额外Ability3	天赋1	天赋2	天赋3	天赋4	天赋5	天赋6	天赋星盘名称	核心得意技组ID	核心得意技组激活所需角色突破等级	固有得意技组1ID	固有得意技组1激活所需角色突破等级	固有得意技组2ID	固有得意技组2激活所需角色突破等级	固有得意技组3ID	固有得意技组3激活所需角色突破等级	固有得意技组4ID	固有得意技组4激活所需角色突破等级	固有得意技组5ID	固有得意技组5激活所需角色突破等级	AbilityGroup
101	10014		10011	10012			10300,10101,10102,10001						0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	
201	10019		10024	10018	10013		10020,10021,10052,10053,10111,10001,5002010		211				21	22	23	24	25	26	Talent_Ayaka		0	221	1	222	4	223	0	0	0	0	0	
301	10034		10031	10033			10101,10001,10102,5003010		1300				31	32	33	34	35	36	Talent_Qin		0	321	1	322	4	323	0	0	0	0	0	
501			100540				10035,10101,10001,10102,5005010						0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	Avatar_Player_AbilityGroup_Boy_Common
502			100541				10101,10001,10102,10054,5005010						0	0	0	0	0	0	Talent_PlayerBoy_Fire		0	0	0	0	0	0	0	0	0	0	0	
503			100542				10101,10001,10102,10054,5005010						0	0	0	0	0	0	Talent_PlayerBoy_Water		0	0	0	0	0	0	0	0	0	0	0	
504	10068		100543	10067			10101,10001,10102,10006,5005010		1481				71	72	73	74	75	76	Talent_PlayerBoy_Wind		0	721	1	722	4	0	0	0	0	0	0	Avatar_Player_AbilityGroup_Boy_Wind
505			100544				10101,10001,10102,10054,5005010						0	0	0	0	0	0	Talent_PlayerBoy_Ice		0	0	0	0	0	0	0	0	0	0	0	
506	10078		100545	10077			10101,10001,10102,5005010		1641				91	92	93	94	95	96	Talent_PlayerBoy_Rock		0	921	1	922	4	0	0	0	0	0	0	Avatar_Player_AbilityGroup_Boy_Rock
507	10605		100546	10602			10001,10054,5005010						101	102	103	104	105	106	Talent_PlayerBoy_Electric		0	1021	1	1022	4	0	0	0	0	0	0	Avatar_Player_AbilityGroup_Boy_Electric
508	10118		100547	10117			10001,10054,5005010						111	112	113	114	115	116	Talent_PlayerBoy_Grass		0	1121	1	1122	4	0	0	0	0			Avatar_Player_AbilityGroup_Boy_Grass
601	10062		10060	10061			10101,10102,10003,5006010		1100				41	42	43	44	45	46	Talent_Lisa		0	421	1	422	4	423	0	0	0	0	0	
701			100550				10035,10101,10001,10102,5007010						0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	Avatar_Player_AbilityGroup_Girl_Common
702			100551				10101,10001,10102,10055,5007010						0	0	0	0	0	0	Talent_PlayerGirl_Fire		0	0	0	0	0	0	0	0	0	0	0	
703			100552				10101,10001,10102,10055,5007010						0	0	0	0	0	0	Talent_PlayerGirl_Water		0	0	0	0	0	0	0	0	0	0	0	
704	10068		100553	10067			10101,10001,10102,10006,5007010		1481				71	72	73	74	75	76	Talent_PlayerGirl_Wind		0	721	1	722	4	0	0	0	0	0	0	Avatar_Player_AbilityGroup_Girl_Wind
705			100554				10101,10001,10102,10055,5007010						0	0	0	0	0	0	Talent_PlayerGirl_Ice		0	0	0	0	0	0	0	0	0	0	0	
706	10078		100555	10077			10101,10001,10102,5007010		1641				91	92	93	94	95	96	Talent_PlayerGirl_Rock		0	921	1	922	4	0	0	0	0	0	0	Avatar_Player_AbilityGroup_Girl_Rock
707	10605		100556	10602			10001,10055,5007010						101	102	103	104	105	106	Talent_PlayerGirl_Electric		0	1021	1	1022	4	0	0	0	0	0	0	Avatar_Player_AbilityGroup_Girl_Electric
708	10118		100557	10117			10001,10055,5007010						111	112	113	114	115	116	Talent_PlayerGirl_Grass		0	1121	1	1122	4	0	0	0	0			Avatar_Player_AbilityGroup_Girl_Grass
1401	10072		10070	10071			10076,10079,10080,10101,10102,10003,5014010		1560				141	142	143	144	145	146	Talent_Barbara		0	1421	1	1422	4	1423	0	0	0	0	0	
1501	10075		10073	10074			10081,10101,10001,10102,5015010		1050				151	152	153	154	155	156	Talent_Kaeya		0	1521	1	1522	4	1523	0	0	0	0	0	
1601	10165		10160	10161			10162,10163,10101,10102,5016010		1400				161	162	163	164	165	166	Talent_Diluc		0	1621	1	1622	4	1623	0	0	0	0	0	
2001	10203		10201	10202			10204,10101,10102,5020010		2011				201	202	203	204	205	206	Talent_Razor		0	2021	1	2022	4	2023	0	0	0	0	0	
2101	10017		10041	10032			10042,10043,10211,10101,10102,5021010	20000	1000				211	212	213	214	215	216	Talent_Ambor		0	2121	1	2122	4	2123	0	0	0	0	0	
2201	10225		10221	10224			10222,10223,10101,10102,5022010	20000	2211				221	222	223	224	225	226	Talent_Venti		0	2221	1	2222	4	2223	0	0	0	0	0	
2301	10235		10231	10232			10101,10002,10102,5023010		2311				231	232	233	234	235	236	Talent_Xiangling		0	2321	1	2322	4	2323	0	0	0	0	0	
2401	10245		10241	10242			10101,10102,5024010						241	242	243	244	245	246	Talent_Beidou		0	2421	1	2422	4	2423	0	0	0	0	0	
2501	10385		10381	10382			10101,10102,10001,5025010						251	252	253	254	255	256	Talent_Xingqiu		0	2521	1	2522	4	2523	0	0	0	0	0	
2601	10265		10261	10262			10101,10102,10002,10263,10264						261	262	263	264	265	266	Talent_Xiao		0	2621	1	2622	4	2623	0	0	0	0	0	
2701	10274		10271	10272			10101,10102,10003,10273,10275,5027010						271	272	273	274	275	276	Talent_Ningguang		0	2721	1	2722	4	2723	0	0	0	0	0	
2901	10295		10291	10292			10300,10101,10102,10003,5029010						291	292	293	294	295	296	Talent_Klee			2921	1	2922	4	2923	0	0	0			
3001	10303		10301	10302			10101,10102,10002,5030010						301	302	303	304	305	306	Talent_Zhongli		0	3021	1	3022	4	3023	0	0	0	0	0	
3101	10313		10311	10312			10314,10315,10316,10101,10102,5031010	20000					311	312	313	314	315	316	Talent_Fischl			3121	1	3122	4	3123	0	0	0			
3201	10323		10321	10322			10101,10102,10001,5032010						321	322	323	324	325	326	Talent_Bennett			3221	1	3222	4	3223	0	0	0			
3301	10333		10331	10332			10334,10335,10336,10337,10101,10102,10001,5033010	20000					331	332	333	334	335	336	Talent_Tartaglia			3321	1	3322	4	3323	0	0	0			
3401	10343		10341	10342			10344,10101,10102,5034010						341	342	343	344	345	346	Talent_Noel			3421	1	3422	4	3423	0	0	0			
3501	10353		10351	10352			10101,10102,10355,10001,5035010						351	352	353	354	355	356	Talent_Qiqi			3521	1	3522	4	3523	0	0	0			
3601	10403		10401	10402			10101,10102,5036010						361	362	363	364	365	366	Talent_Chongyun			3621	1	3622	4	3623	0	0	0	0	0	
3701	10373		10371	10372			10374,10101,10102,5037010	20000					371	372	373	374	375	376	Talent_Ganyu			3721	1	3722	4	3723	0	0	0			
3801	10388		10386	10387			10101,10102,5038010,10001						381	382	383	384	385	386	Talent_Albedo			3821	1	3822	4	3823	0					
3901	10395		10391	10392			10101,10102,10393,10394,5039010	20000					391	392	393	394	395	396	Talent_Diona			3921	1	3922	4	3923	0					
4101	10415		10411	10412	10413		10101,10102,10003,5041010						411	412	413	414	415	416	Talent_Mona			4121	1	4122	4	4123	0	0	0			
4201	10425		10421	10422			10001,10101,10102,10423,5042010						421	422	423	424	425	426	Talent_Keqing			4221	1	4222	4	4223	0	0	0			
4301	10435		10431	10432			10101,10102,10003,10433,5043010						431	432	433	434	435	436	Talent_Sucrose		0	4321	1	4322	4	4323	0	0	0	0	0	
