讲价ID	触发对话ID	期望价区间	讲价空间	完全成功对话ID1	完全成功对话ID2	完全成功对话ID3	完全失败对话ID	心情上限	随机心情区间	心情警戒值	心情底线	单次失败心情扣减	单次失败对话ID1	单次失败对话ID2	成功是否扣除道具	物品ID
1	10130307;10139501;10139401	15000;20000	6000	101399	101397	101397	101304	100	85;95	30	1	30	101395	101394	1	100496
2	10130705;10138801;10138701	18000;25000	5500	101392	101390	101390	101308	100	70;80	25	1	25	101388	101387	1	100496
3	10131106;10138101;10138001	12000;15000	4500	101385	101383	101383	101312	100	60;70	20	1	20	101381	101380	1	100496
4	110110118;110111501;110111401	12000;15000	5000	1101112	1101113	1101113	1101116	100	85;95	30	1	30	1101115	1101114	1	100555
5	110110320;110112001;110111901	10000;12000	4000	1101117	1101118	1101118	1101121	100	75;85	30	1	30	1101120	1101119	1	100555
6	722801010;722801017;722801018	180000;180000	30000	7228022	7228022	7228023	7228026	100	80;85	30	1	30	7228025	7228024	0	101754
7	705180203;705182101;705182201	13500;14000	1000	7051823	7051824	7051824	7051825	100	85;95	30	1	30	7051821	7051822	1	120049
8	705220212;705222101;705222201	13000;15000	1000	7052223	7052224	7052224	7052225	100	80;85	30	1	30	7052221	7052222	1	120050
9	705230207;705232101;705232201	23500;24000	2500	7052323	7052324	7052324	7052325	100	75;80	30	1	30	7052321	7052322	1	120051
10	730000728;730000733;730000734	450000;500000	50000	7300008	7300008	7300009	7300012	100	80;85	30	1	30	7300011	7300010	0	120006
