挂接类型枚举,对应材料或配方ID,挂接特效
0,,Eff_Activity_Bartender_Origin_Cup
1,,Eff_Activity_Bartender_Origin_Cup_OnHand
2,,Eff_Activity_Bartender_Mix_Bar
3,410001,Eff_Activity_Bartender_Ingredient_Cup_Coffee
3,410002,Eff_Activity_Bartender_Ingredient_Cup_Blacktea
3,410003,Eff_Activity_Bartender_Ingredient_Cup_Sunsettia_Juice
3,410004,Eff_Activity_Bartender_Ingredient_Cup_Milk
3,410005,Eff_Activity_Bartender_Ingredient_Cup_Caramel
3,410006,Eff_Activity_Bartender_Ingredient_Cup_Lemon
3,410007,Eff_Activity_Bartender_Ingredient_Cup_Mint
3,410008,Eff_Activity_Bartender_Ingredient_Cup_Sparkling_Water
3,410009,Eff_Activity_Bartender_Ingredient_Cup_Cacao_Paste
5,1001,Eff_Activity_Bartender_Finished_Cup_Coffee_Onhand
5,1002,Eff_Activity_Bartender_Finished_Cup_Coffee_Onhand
5,1003,Eff_Activity_Bartender_Finished_Cup_Coffee_Onhand
5,1004,Eff_Activity_Bartender_Finished_Cup_Coffee_Onhand
5,1005,Eff_Activity_Bartender_Finished_Cup_Coffee_Onhand
5,1006,Eff_Activity_Bartender_Finished_Cup_Coffee_Onhand
5,1007,Eff_Activity_Bartender_Finished_Cup_Coffee_Onhand
5,1008,Eff_Activity_Bartender_Finished_Cup_Tea_Onhand
5,1009,Eff_Activity_Bartender_Finished_Cup_Tea_Onhand
5,1010,Eff_Activity_Bartender_Finished_Cup_Tea_Onhand
5,1011,Eff_Activity_Bartender_Finished_Cup_Tea_Onhand
5,1012,Eff_Activity_Bartender_Finished_Cup_Tea_Onhand
5,1013,Eff_Activity_Bartender_Finished_Cup_Tea_Onhand
5,1014,Eff_Activity_Bartender_Finished_Cup_Tea_Onhand
5,1015,Eff_Activity_Bartender_Finished_Cup_Tea_Onhand
5,1016,Eff_Activity_Bartender_Finished_Cup_Juice_Onhand
5,1017,Eff_Activity_Bartender_Finished_Cup_Juice_Onhand
5,1018,Eff_Activity_Bartender_Finished_Cup_Juice_Onhand
5,1019,Eff_Activity_Bartender_Finished_Cup_Juice_Onhand
5,1020,Eff_Activity_Bartender_Finished_Cup_Juice_Onhand
5,1021,Eff_Activity_Bartender_Finished_Cup_Juice_Onhand
5,1022,Eff_Activity_Bartender_Finished_Cup_Coffee_Onhand
6,1001,Eff_Activity_Bartender_Finished_Cup_Coffee
6,1002,Eff_Activity_Bartender_Finished_Cup_Coffee
6,1003,Eff_Activity_Bartender_Finished_Cup_Coffee
6,1004,Eff_Activity_Bartender_Finished_Cup_Coffee
6,1005,Eff_Activity_Bartender_Finished_Cup_Coffee
6,1006,Eff_Activity_Bartender_Finished_Cup_Coffee
6,1007,Eff_Activity_Bartender_Finished_Cup_Coffee
6,1008,Eff_Activity_Bartender_Finished_Cup_Tea
6,1009,Eff_Activity_Bartender_Finished_Cup_Tea
6,1010,Eff_Activity_Bartender_Finished_Cup_Tea
6,1011,Eff_Activity_Bartender_Finished_Cup_Tea
6,1012,Eff_Activity_Bartender_Finished_Cup_Tea
6,1013,Eff_Activity_Bartender_Finished_Cup_Tea
6,1014,Eff_Activity_Bartender_Finished_Cup_Tea
6,1015,Eff_Activity_Bartender_Finished_Cup_Tea
6,1016,Eff_Activity_Bartender_Finished_Cup_Juice
6,1017,Eff_Activity_Bartender_Finished_Cup_Juice
6,1018,Eff_Activity_Bartender_Finished_Cup_Juice
6,1019,Eff_Activity_Bartender_Finished_Cup_Juice
6,1020,Eff_Activity_Bartender_Finished_Cup_Juice
6,1021,Eff_Activity_Bartender_Finished_Cup_Juice
6,1022,Eff_Activity_Bartender_Finished_Cup_Coffee
7,1001,Eff_Activity_Bartender_Finished_Cup_Coffee
7,1002,Eff_Activity_Bartender_Finished_Cup_Coffee
7,1003,Eff_Activity_Bartender_Finished_Cup_Coffee
7,1004,Eff_Activity_Bartender_Finished_Cup_Coffee
7,1005,Eff_Activity_Bartender_Finished_Cup_Coffee
7,1006,Eff_Activity_Bartender_Finished_Cup_Coffee
7,1007,Eff_Activity_Bartender_Finished_Cup_Coffee
7,1008,Eff_Activity_Bartender_Finished_Cup_Tea
7,1009,Eff_Activity_Bartender_Finished_Cup_Tea
7,1010,Eff_Activity_Bartender_Finished_Cup_Tea
7,1011,Eff_Activity_Bartender_Finished_Cup_Tea
7,1012,Eff_Activity_Bartender_Finished_Cup_Tea
7,1013,Eff_Activity_Bartender_Finished_Cup_Tea
7,1014,Eff_Activity_Bartender_Finished_Cup_Tea
7,1015,Eff_Activity_Bartender_Finished_Cup_Tea
7,1016,Eff_Activity_Bartender_Finished_Cup_Juice
7,1017,Eff_Activity_Bartender_Finished_Cup_Juice
7,1018,Eff_Activity_Bartender_Finished_Cup_Juice
