订单ID	配方ID	词缀ID1	词缀ID2	杯型	订单持续时间	订单积分
10001	1001		0			
10101	1008	0	0	2		
10102	1009	0	0	2		
10103	1010	0	0	2		
10104	1011	0	0	2		
10105	1012	0	0	2		
10106	1013	0	0	2		
10107	1014	0	0	2		
10108	1007	0	0	2		
10109	1015	0	0	2		
10110	1008	0	0	1		
10111	1009	0	0	1		
10112	1010	0	0	1		
10113	1011	0	0	1		
10114	1012	0	0	1		
10115	1013	0	0	1		
10116	1014	0	0	1		
10117	1007	0	0	1		
10118	1015	0	0	1		
10201	1005	0	0	3		
10301	1016	0	0			
10401	1012	102	0	2		
10501	1001	0	0	2		
10502	1002	0	0	2		
10503	1003	0	0	2		
10504	1004	0	0	2		
10505	1005	0	0	2		
10506	1006	0	0	2		
10601	1008	108	0			
10701	1006	0	0	1		
10702	1006	105	0	1		
10801	1019	103	0	1		
10901	1015	0	0	3		
11001	1017	0	0			
20101	1001	107	0	1	80	100
20102	1001	0	0	2	80	100
20103	1001	107	0	3	80	100
20104	1008	0	0	1	80	100
20105	1008	108	0	2	80	100
20106	1008	108	0	3	80	100
20107	1016	109	0	1	80	100
20108	1016	109	0	2	80	100
20109	1016	0	0	3	80	100
20110	1015	0	0	1	80	100
20111	1015	0	0	2	80	100
20112	1015	0	0	3	80	100
20113	1006	0	0	1	80	100
20114	1006	0	0	2	80	100
20115	1006	105	0	3	80	100
20116	1017	101	0	1	80	100
20117	1017	0	0	2	80	100
20118	1017	101	0	3	80	100
20201	1019	0	0	2	80	100
20202	1019	0	0	3	80	100
20203	1019	103	0	2	80	100
20204	1019	103	0	3	80	100
20205	1005	0	0	1	80	100
20206	1005	106	0	2	80	100
20207	1005	101	0	2	80	100
20208	1005	106	101	3	80	100
20209	1012	0	0	1	80	100
20210	1012	102	0	2	80	100
20211	1012	101	0	2	80	100
20212	1012	102	101	3	80	100
20213	1002	0	0	1	80	100
20214	1002	101	0	2	80	100
20215	1010	0	0	2	80	100
20216	1010	101	0	3	80	100
20217	1020	0	0	2	80	100
20218	1020	105	0	3	80	100
20219	1004	101	0	1	80	100
20220	1004	102	0	2	80	100
20221	1004	101	102	3	80	100
20301	1016	0	0	1	80	100
20302	1016	0	0	3	80	100
20303	1016	109	0	3	80	100
20304	1006	0	0	2	80	100
20305	1006	0	0	3	80	100
20306	1006	105	0	3	80	100
20307	1012	0	0	1	80	100
20308	1012	102	0	2	80	100
20309	1012	101	0	1	80	100
20310	1012	102	101	2	80	100
20311	1003	0	0	1	80	100
20312	1003	101	0	2	80	100
20313	1003	101	0	3	80	100
20314	1018	0	0	1	80	100
20315	1018	101	0	2	80	100
20316	1018	101	0	3	80	100
20317	1007	0	0	3	80	100
20318	1007	0	0	2	80	100
20319	1007	101	0	2	80	100
20320	1011	101	0	1	80	100
20321	1011	104	0	2	80	100
20322	1011	101	104	3	80	100
20401	1001	0	0	1	80	100
20402	1001	107	0	1	80	100
20403	1001	107	0	2	80	100
20404	1019	0	0	2	80	100
20405	1019	103	0	2	80	100
20406	1019	103	0	3	80	100
20407	1017	0	0	1	80	100
20408	1017	0	0	2	80	100
20409	1017	101	0	3	80	100
20410	1009	0	0	1	80	100
20411	1009	101	0	2	80	100
20412	1009	101	0	3	80	100
20413	1014	0	0	2	80	100
20414	1014	103	0	2	80	100
20415	1014	103	0	3	80	100
20416	1021	0	0	1	80	100
20417	1021	105	0	2	80	100
20418	1021	104	0	2	80	100
20419	1021	105	104	3	80	100
20420	1013	101	0	1	80	100
20421	1013	106	0	2	80	100
20422	1013	101	106	3	80	100
