ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	刷新类型	是否强制刷新	完成增加点数	排期ID
72001	501					1		0		120	
72002	301					4		0		150	
72003	212	101001;101002;101003;101004;100058;100054;100028;101006;101008				10		0		150	
72004	502	106				150		0		225	
73003	109	20040101;20040201;20040301;26020201;26020101;20050101;29020102;26050101;26050201;26050301;26050401;20040501;25090101;20040601;24021101;20040401;20070101;22060101;26050701;24010401;26110101;26020301;24050101;24030301;20040701	可联机			10		3		450	
73006	502	106				1200		3		675	
73007	502	202				500000		3		450	
73008	307					15		3		450	
73009	310	1;2;3;4;20;21;26;27				20		3		450	
73010	401	1				20		3		360	
73011	402					20		3		360	
73012	931					3		3		450	
73013	932					3		3		450	
73020	329	133002259:954				3		3		1350	
73017	1005					1000		3		675	
73018	1003					10		3		450	
73019	1007					2		3		450	
76601	214					50		2		1500	3000
76602	318					12		2		2250	3000
76603	1172	5				1		2		1500	3000
76604	212	143				2000		2		1500	3000
76605	212	144				2000		2		1500	3000
76606	1176	4	2000			1		2		1500	3000
76607	1181	6	30			1		2		1500	3000
76608	1186	5091	5091001	6		1		2		1500	3000
76701	214					50		2		1500	3100
76702	318					12		2		2250	3100
76703	1206	1000000				1		2		1500	3100
76704	1198	14				1		2		1500	3100
76705	1199	15				1		2		1500	3100
76706	1195					1		2		1500	3100
76707	224	11701113	1			1		2		1500	3100
76708	645					6000		2		1500	3100
76709	1200	6				1		2		1500	3100
76801	214					50		2		1500	3200
76802	318					12		2		2250	3200
76803	3200	8106	1000			1		2		1200	3200
76804	1210	8				1		2		1500	3200
76805	1211	10	0			1		2		1500	3200
76806	3200	8105	1000			1		2		2250	3200
76807	1213	4				1		2		1500	3200
76808	1212	29030	0			1		2		1500	3200
76809	1135	28				1		2		1500	3200
76810	503					5		2		1200	3200
76501	214					50		2		1500	2800
76502	318					12		2		2250	2800
76503	223	11401101				1		2		1200	2800
76504	439	199003025	2018	2018	9860	1		2		1500	2800
76505	212	141				2000		2		2250	2800
76506	1165	6	350			1		2		1500	2800
76507	1162					1		2		1500	2800
76509	945	5085001	1508526			1		2		1500	2800
73050	214					50	1	2		1500	2701
73051	318					12	1	2		2250	2701
76401	214					50		2		1500	2700
76402	318					12		2		2250	2700
76403	1151	1	1			1		2		1200	2700
76404	1151	2	1			1		2		1200	2700
76410	1151	3	1			1		2		1200	2700
76411	1151	4	1			1		2		1500	2700
76412	941	20;21	2100;2949			1		2		1500	2700
76413	1142					3		2		1500	2700
76414	1140	2000				1		2		1500	2700
76415	503					5		2		1200	2700
76301	214					50		2		1500	2600
76302	318					12		2		2250	2600
76303	1133	4	0	1500		1		2		1500	2600
76304	1132	4	1	1		1		2		1500	2600
76305	1131	4				1		2		1500	2600
76306	1134	3				1		2		1200	2600
76307	1139					6000		2		2250	2600
76308	1126	7				3		2		1500	2600
76309	1135	14				1		2		1500	2600
76201	214					50		2		1500	2500
76202	318					12		2		2250	2500
76203	223	11101105				1		2		1500	2500
76204	223	11101101				3		2		1500	2500
76205	934	4	12			1		2		1500	2500
76206	645					6000		2		2250	2500
76207	1121	4	400			1		2		1500	2500
76208	956	2123				1		2		1500	2500
76101	214					50		2		1500	2400
76102	318					12		2		2250	2400
76103	212	137				2500		2		1500	2400
76104	212	138				2000		2		1500	2400
76105	212	139				1500		2		1500	2400
76106	1115	3				4		2		2250	2400
76107	227	5023				3000		2		1500	2400
76108	700	7267811				1		2		1500	2400
76001	214					50		2		1500	2300
76002	318					12		2		2250	2300
76003	212	135				2000		2		1200	2300
76004	212	136				2000		2		1500	2300
76005	952	6				1		2		1500	2300
76006	307	7109				1		2		2250	2300
76007	327	5053	5053001			8000		2		1500	2300
76008	307	7310				1		2		2250	2300
76009	503					5		2		1200	2300
75901	214					50		2		1500	2200
75902	318					12		2		2250	2200
75903	654	1				10		2		1500	2200
75904	649	1				1		2		1500	2200
75905	652	6	3			1		2		1500	2200
75906	941	18	3200			1		2		2250	2200
75907	1022	7022,7023,7024,7025,7026,7027,7028,7029,7030				30		2		1500	2200
75908	223	10601001				1		2		1500	2200
75801	214					50		2		1500	2100
75802	318					12		2		2250	2100
75803	324					16		2		1500	2100
75804	645					6000		2		2250	2100
75805	230	379019				5		2		1500	2100
75806	949	1				100		2		1500	2100
75807	949	2				100		2		1500	2100
75808	949	3				100		2		1500	2100
75701	214					50		2		1500	2000
75702	318					12		2		2250	2000
75703	636	6				1		2		1200	2000
75704	639	5	12			1		2		2250	2000
75705	439	133220053	111167	101	110	1		2		1500	2000
75706	212	127				1680		2		1200	2000
75707	212	128				2220		2		1500	2000
75708	945	5034001	1503402,1503406,1503410,1503414,1503418,1503422,1503426			1		2		2250	2000
75709	434	5035	5035001	14		1		2		1200	2000
75601	214					50		2		1500	1600
75602	318					12		2		2250	1600
75603	947	1				5		2		1500	1600
75604	322					15000		2		2250	1600
75605	331	7014	1800			1		2		2250	1600
75606	212	124				1000		2		1500	1600
75607	328	144001108				30000		2		1500	1600
75608	118	25090101				3		2		1500	1600
75501	214					50		2		1500	1500
75502	318					12		2		2250	1500
75503	325	2004	2004001			1		2		1200	1500
75504	326	2004	2004001			1		2		1200	1500
75505	327	2004	2004001			15000		2		2250	1500
75508	227	5023				3000		2		1500	1500
75506	307	7103				1		2		1500	1500
75507	436					7		2		1500	1500
73014	323	1				5	1	1		360	1100
73001	212	100021;100022;100023;100024;100025;100055;100057;100056				100	1	1		450	1100
73002	212	100027;100028;100029;100030;100031;100033;100034;100058				100	1	1		450	1100
