ID,类型ID,收集类型,索引ID,[相片UP]1ID,[相片UP]1概率,[相片UP]2ID,[相片UP]2概率,扫描时间,重复扫描次数
1,1001,2,70540003,,,,,,1
2,1001,2,70540022,,,,,,1
3,1001,2,70540019,,,,,,1
4,1001,2,70540008,,,,,,1
5,1001,2,70540015,,,,,,1
6,1001,2,70510006,,,,,,1
7,1001,2,70520008,,,,,,1
8,1001,2,70540021,,,,,,1
9,1001,2,70520006,,,,,,1
10,1001,2,70590013,,,,,,1
11,1001,2,70520014,,,,,,1
12,1002,1,20011201,,,,,,1
13,1002,1,20011202,,,,,,1
14,1002,1,20011301,,,,,,1
15,1002,1,20010201,,,,,,1
16,1002,1,26020201,,,,,,1
17,1002,1,22010101,,,,,,1
18,1002,1,26010201,,,,,,1
19,1002,1,23020101,,,,,,1
20,1002,1,23010601,,,,,,1
21,1002,1,21010501,,,,,,1
22,1002,1,21010601,,,,,,1
23,1002,1,21010701,,,,,,1
24,1002,1,28030203,,,,,,1
25,1002,1,28020102,,,,,,1
26,1002,1,28020201,,,,,,1
27,1002,1,28010202,,,,,,1
28,1002,1,28020602,,,,,,1
29,1002,1,26050201,,,,,,1
30,1002,1,28010102,,,,,,1
31,1003,2,70520009,,,,,,1
32,1003,2,70520018,,,,,,1
33,1003,2,70540012,,,,,,1
34,1003,2,70510004,,,,,,1
35,1003,2,70540028,,,,,,1
36,1003,2,70510009,,,,,,1
37,1003,2,70510007,,,,,,1
38,1003,2,70520003,,,,,,1
39,1003,2,70520019,,,,,,1
40,1003,2,70590027,,,,,,1
41,1003,2,70560004,,,,,,1
42,1003,2,70540030,,,,,,1
43,1003,2,70590028,,,,,,1
44,1003,2,70540017,,,,,,1
45,1003,2,70520024,,,,,,1
46,1004,1,20011001,,,,,,1
47,1004,1,20011101,,,,,,1
48,1004,1,20010801,,,,,,1
49,1004,1,20010901,,,,,,1
50,1004,1,22010201,,,,,,1
51,1004,1,22010301,,,,,,1
52,1004,1,20040201,,,,,,1
53,1004,1,26020101,,,,,,1
54,1004,1,26010101,,,,,,1
55,1004,1,20050101,,,,,,1
56,1004,1,20050201,,,,,,1
57,1004,1,20050301,,,,,,1
58,1004,1,20050401,,,,,,1
59,1004,1,20050501,,,,,,1
60,1004,1,20050601,,,,,,1
61,1004,1,20050701,,,,,,1
62,1004,1,20050801,,,,,,1
63,1004,1,20050901,,,,,,1
64,1004,1,23010101,,,,,,1
65,1004,1,23010201,,,,,,1
66,1004,1,21010901,,,,,,1
67,1004,1,26060301,,,,,,1
68,1004,1,26060201,,,,,,1
69,1004,1,23040101,,,,,,1
70,1004,1,21030501,,,,,,1
71,1004,1,21030101,,,,,,1
72,1004,1,21020401,,,,,,1
73,1004,1,21011501,,,,,,1
74,1004,1,21011301,,,,,,1
75,1004,1,29020101,,,,,,1
76,1004,1,29020102,,,,,,1
77,1004,1,28030204,,,,,,1
78,1004,1,28030404,,,,,,1
79,1004,1,28010201,,,,,,1
80,1004,1,28050103,,,,,,1
81,1004,1,26050101,,,,,,1
82,1004,1,26050301,,,,,,1
83,1004,1,28010103,,,,,,1
84,1004,1,28050101,,,,,,1
85,1004,1,28010303,,,,,,1
86,1005,2,70520004,,,,,,1
87,1005,2,70520005,,,,,,1
88,1005,2,70520008,,,,,,1
89,1005,2,70540001,,,,,,1
90,1005,2,70510012,,,,,,1
91,1005,2,70540021,,,,,,1
92,1006,1,20040301,,,,,,1
93,1006,1,21020501,,,,,,1
94,1006,1,26030101,,,,,,1
95,1006,1,24010201,,,,,,1
96,1006,1,21020301,,,,,,1
97,1006,1,24010101,,,,,,1
98,1006,1,21020101,,,,,,1
99,1006,1,21020201,,,,,,1
100,1006,1,20011401,,,,,,1
101,1006,1,20011501,,,,,,1
102,1006,1,21010101,,,,,,1
103,1006,1,21010201,,,,,,1
104,1006,1,21010301,,,,,,1
105,1006,1,21010401,,,,,,1
106,1006,1,21011401,,,,,,1
107,1006,1,21011201,,,,,,1
108,1006,1,21020601,,,,,,1
109,1006,1,21030401,,,,,,1
110,1006,1,23010401,,,,,,1
111,1006,1,24010301,,,,,,1
112,1006,1,26040101,,,,,,1
113,1006,1,26040102,,,,,,1
114,1006,1,26040103,,,,,,1
115,1006,1,26040104,,,,,,1
116,1006,1,26050101,,,,,,1
117,1006,1,26050201,,,,,,1
118,1006,1,26050301,,,,,,1
119,1006,1,26050401,,,,,,1
120,1006,1,28030201,,,,,,1
121,1006,1,28030202,,,,,,1
122,1006,1,28030303,,,,,,1
123,1006,1,28020301,,,,,,1
124,1006,1,28020404,,,,,,1
125,1006,1,28020603,,,,,,1
126,1006,1,28020302,,,,,,1
127,1006,1,28020303,,,,,,1
128,1006,1,28020304,,,,,,1
129,1006,1,28020305,,,,,,1
130,1006,1,28020102,,,,,,1
131,1006,1,28020201,,,,,,1
132,1007,1,20010501,,,,,,1
133,1007,1,20010601,,,,,,1
134,1007,1,20040101,,,,,,1
135,1007,1,23030101,,,,,,1
136,1007,1,23010301,,,,,,1
137,1007,1,21011001,,,,,,1
138,1007,1,26060101,,,,,,1
139,1007,1,26050401,,,,,,1
