ID,城市ID,区域ID,刷新类型,刷新group,装饰group,下游点,是否保底,是否初始刷新,完成进度,解锁冒险等级,延迟卸载秒数
101001001,1,1001,1#3,133001374,133001382,101001002,1,1,7,12,
101001002,1,1001,1#3,133001376,133001393,101001003,1,0,8,12,
101001003,1,1001,1#3,133001375,133001394,101001004,1,0,7,12,
101001004,1,1001,1#3,133001373,133001381,101001005,1,0,7,12,
101001005,1,1001,1#3,133001397,133001398,101002002,1,0,7,12,
101002001,1,1002,1#3,133003569,133003559,101002002,1,0,10,8,
101002002,1,1002,1#3,133002387,133002388,101002003,1,0,7,8,
101002003,1,1002,1#3,133002369,133002371,101002004,1,1,7,8,
101002004,1,1002,1#3,133002370,133002372,101007001,1,0,7,8,
101002005,1,1002,1#3,133002377,133002378,101007002,1,0,8,8,
101003001,1,1003,1#3,133003535,133003536,101003002,1,1,9,8,
101003002,1,1003,1#3,133003516,133003519,101003003,1,0,8,8,
101003003,1,1003,1#3,133003537,133003538,101003004,1,0,9,8,
101003004,1,1003,1#3,133003517,133003520,101005001,1,0,10,8,
101003005,1,1003,1#3,133003544,133003572,101006001,1,1,7,8,
101004001,1,1004,1#3,133007235,133007237,101004002,1,1,9,21,
101004002,1,1004,1#3,133007241,133007242,101004003,1,0,1,21,
101004003,1,1004,1#3,133007243,133007244,101004004,1,0,1,21,
101004004,1,1004,1#3,133007234,133007236,101005001#101003005#101001001,1,0,5,21,
101005001,1,1005,1#3,133003581,133003582,101005002,1,0,8,15,
101005002,1,1005,1#3,133003565,133003563,101005003,1,1,7,15,
101005003,1,1005,1#3,133003570,133003560,101005004,1,0,7,15,
101005004,1,1005,1#3,133003571,133003561,101005005,1,0,6,15,
101005005,1,1005,1#3,133003564,133003562,101004001#101001001,1,0,7,15,
101006001,1,1006,1#3,133003566,133003573,101006002,1,0,8,8,
101006002,1,1006,1#3,133003567,133003558,101002001,1,0,8,8,
101007001,1,1007,1#3,133002375,133002376,101007002#101002005,1,0,9,16,
101007002,1,1007,1#3,133004352,133004353,101007003,1,0,1,16,
101007003,1,1007,1#3,133004331,133004336,101007004,1,1,7,16,
101007004,1,1007,1#3,133004332,133004337,101007005,1,0,1,16,
101007005,1,1007,1#3,133004333,133004338,101007006,1,0,9,16,
101007006,1,1007,1#3,133004334,133004339,101004001#101003001#101005001,1,0,8,16,
202001001,2,2001,1#3,133102733,133102737,202001002,1,1,6,18,
202001002,2,2001,1#3,133102742,133102748,202001003,1,0,7,18,
202001003,2,2001,1#3,133102743,133102750,202001004,1,0,7,18,
202001004,2,2001,1#3,133102744,133102749,202001005,1,0,5,18,
202001005,2,2001,1#3,133102745,133102751,202007001,1,0,1,18,
202002001,2,2002,1#3,133102754,133102755,202002002,1,1,8,18,
202002002,2,2002,1#3,133102752,133102753,202002003,1,0,8,18,
202002003,2,2002,1#3,133102759,,202002004,1,0,7,18,
202002004,2,2002,1#3,133102756,133102757,202008001,1,0,4,18,
202003001,2,2003,1#3,133102776,133102782,202003002,1,0,10,18,
202003002,2,2003,1#3,133105277,133105278,202003003,1,1,7,24,
202003003,2,2003,1#3,133104595,,202003004,1,0,1,24,
202003004,2,2003,1#3,133104614,133104616,202003005,1,0,8,24,
202003005,2,2003,1#3,133104596,133104603,202010003,1,0,6,24,
202003006,2,2003,1#3,133104641,133104642,202003005,1,0,1,24,
202004001,2,2004,1#3,133101193,133101198,202004002,1,1,8,24,
202004002,2,2004,1#3,133101194,133101199,202004003,1,0,1,24,
202004003,2,2004,1#3,133101195,133101200,202004004,1,0,8,24,
202004004,2,2004,1#3,133101196,133101201,202001004#202004005,1,0,12,24,
202004005,2,2004,1#3,133104645,133104646,202004007,1,0,3,24,
202004006,2,2004,1#3,133103470,133103480,202004007,1,1,8,24,
202004007,2,2004,1#3,133104598,133104605,202010001,1,0,7,24,
202005001,2,2005,1#3,133103491,133103492,202005002,1,1,11,26,
202005002,2,2005,1#3,133103474,133103481,202005003#202005005,1,0,1,26,
202005003,2,2005,1#3,133103489,133103490,202005004,1,0,1,26,
202005004,2,2005,1#3,133103487,133103488,202013001,1,0,7,26,
202005005,2,2005,1#3,133103532,133103533,202004006,1,0,9,26,
202006001,2,2006,1#3,133107084,133107090,202006002,1,1,1,30,
202006002,2,2006,1#3,133107085,133107091,202006003,1,0,6,30,
202006003,2,2006,1#3,133106263,133106264,202006004#202006007,1,0,6,30,
202006004,2,2006,1#3,133106259,133106260,202013001#202004001#202009001#202011002,1,0,6,30,
202006005,2,2006,1#3,133106288,133106292,202006006,1,1,7,30,
