ID	城市ID	循环营地刷新类型	循环营地刷新数量	循环营地刷新时间	开启OpenState	开启冒险等级	关闭冒险等级	[刷新条件]1类型	[刷新条件]1参数	[刷新条件]2类型	[刷新条件]2参数	[刷新条件]3类型	[刷新条件]3参数	[刷新条件]4类型	[刷新条件]4参数	[刷新条件]5类型	[刷新条件]5参数	修正等级	产出来源类型	宝箱索引ID	营地点更新次数	可游玩次数	[奖励]1DropID	[奖励]1RewardPreview	[奖励]2DropID	[奖励]2RewardPreview	[奖励]3DropID	[奖励]3RewardPreview	[奖励]4DropID	[奖励]4RewardPreview	[奖励]5DropID	[奖励]5RewardPreview	[奖励]6DropID	[奖励]6RewardPreview	[奖励]7DropID	[奖励]7RewardPreview	[奖励]8DropID	[奖励]8RewardPreview	[奖励]9DropID	[奖励]9RewardPreview	客户端显示类型	是否隐藏背景	奖励方式
1	1	1	1	04:00:00				1	12									3		1	1	0	207000400	4101	207000800	4103	207000900	4104	207001000	4105	207001100	4106	207001200	4107	207001300	4108	207001400	4109	207001500	4110	1		
2	1	3	1	04:00:00				1	8									3		2	1	0	206000400	4001	206000800	4003	206000900	4004	206001000	4005	206001100	4006	206001200	4007	206001300	4008	206001400	4009	206001500	4010	1		
3	2	1	1	04:00:00				1	18									3		1	1	0	207000400	4101	207000800	4103	207000900	4104	207001000	4105	207001100	4106	207001200	4107	207001300	4108	207001400	4109	207001500	4110	1		
4	2	3	1	04:00:00				1	18									3		2	1	0	206000400	4001	206000800	4003	206000900	4004	206001000	4005	206001100	4006	206001200	4007	206001300	4008	206001400	4009	206001500	4010	1		
5	1	4	3	06:00:00				1	2	2	30	3	1404					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
6	1	4	3	06:00:00				1	2	2	30	3	1404					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
7	2	4	5	06:00:00				1	2	2	30	3	1405					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
8	2	4	5	06:00:00				1	2	2	30	3	1405					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
9	1	5	3	06:00:00				1	30			3	1404					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
10	1	5	3	06:00:00				1	30			3	1404					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
11	2	5	5	06:00:00				1	30			3	1405					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
12	2	5	5	06:00:00				1	30			3	1405					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
13	11	6	1	04:00:00				5	3001,3001201									6	87	3	1	0	211000101	30311	211000102	30312	211000103	30313	211000104	30314	211000105	30315	211000106	30316	211000107	30317	211000108	30318	211000109	30319	3		
14	11	7	1	04:00:00				5	3001,3001202									7	87	4	1	0	211000201	30321	211000202	30322	211000203	30323	211000204	30324	211000205	30325	211000206	30326	211000207	30327	211000208	30328	211000209	30329	3		
15	100	8	1	04:00:00				5	2005,2005011	6	108							13	1601		1	0	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	1		1
16	100	9	1	04:00:00				5	2005,2005011	6	109							14	1601		1	0	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	21400001	31701	1		1
17	100	10	1	04:00:00				5	2005,2005041									15	1601		1	0	21400002	31702	21400002	31702	21400002	31702	21400002	31702	21400002	31702	21400002	31702	21400002	31702	21400002	31702	21400002	31702	1		1
18	12	11	1	04:00:00				1	30	5	2006,2006108							16		5	1	0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		3	1	
19	12	12	1	04:00:00				1	30	5	2006,2006109							16		6	1	0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		3	1	
20	3	1	1	04:00:00				1	30									3		1	1	0	207000400	4101	207000800	4103	207000900	4104	207001000	4105	207001100	4106	207001200	4107	207001300	4108	207001400	4109	207001500	4110	1		
21	3	3	1	04:00:00				1	30									3		2	1	0	206000400	4001	206000800	4003	206000900	4004	206001000	4005	206001100	4006	206001200	4007	206001300	4008	206001400	4009	206001500	4010	1		
22	3	4	4	06:00:00				1	2	2	30	3	1409					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
23	3	4	4	06:00:00				1	2	2	30	3	1409					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
24	3	5	4	06:00:00				1	30	3	1409							3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
25	3	5	4	06:00:00				1	30	3	1409							3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
26	4	1	1	04:00:00				1	30									3		1	1	0	207000400	4101	207000800	4103	207000900	4104	207001000	4105	207001100	4106	207001200	4107	207001300	4108	207001400	4109	207001500	4110	1		
27	4	3	1	04:00:00				1	30									3		2	1	0	206000400	4001	206000800	4003	206000900	4004	206001000	4005	206001100	4006	206001200	4007	206001300	4008	206001400	4009	206001500	4010	1		
28	4	4	4	06:00:00				1	2	2	30	3	3002					3				0	7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		7000000		2		
