图鉴ID	物品ID	序号	已废弃
50029001	100223	1010	
50029002	100361	1011	
50029003	101558	1012	
50006001	100208	2010	
50016001	100507	2011	
50016002	100508	2012	
50016003	100509	2013	
50002001	100182	3001	
50002002	100183	3002	
50004001	100196	3003	
50004002	100197	3004	
50007005	100389	3005	
50007001	100226	3006	
50007007	100391	3007	
50007002	100227	3008	
50007003	100228	3009	
50007004	100388	3010	
50007006	100390	3011	
50007008	100441	3012	
50007009	100706	3013	
50007010	101541	3067	
50007011	101601	3069	
50008005	100229	3014	
50008001	100230	3015	
50008002	100239	3016	
50008003	100240	3017	
50008004	100241	3018	
50008006	101540	3068	
50009001	100399	3019	
50009002	100400	3020	
50009003	100637	3021	
50009004	100638	3022	
50009005	100730	3023	
50009006	100731	3024	
50010001	100406	3025	
50010002	100407	3026	
50010003	100615	3027	
50010004	100408	3028	
50011001	100411	3029	
50011002	100412	3030	
50015001	100480	3031	
50015002	100481	3032	
50015003	100482	3033	
50015004	100483	3034	
50017001	100565	3035	
50017002	100566	3036	
50017003	100567	3037	
50019001	100573	3038	
50019002	100574	3039	
50019003	100575	3040	
50019004	100576	3041	
50020001	100577	3042	
50020002	100578	3043	
50020003	100579	3044	
50020004	100580	3045	
50023001	100586	3046	
50023002	100587	3047	
50023003	100588	3048	
50023004	100589	3049	
50025001	100403	3050	
50025002	100624	3051	
50025003	100640	3052	
50027001	100402	3054	
50027004	100733	3056	
50028001	100201	3057	
50028002	100213	3058	
50026001	100642	3059	
50026004	100643	3060	
50026005	100644	3061	
50026006	100786	3062	
50026007	100787	3063	
50033001	101529	3064	
50033002	101530	3065	
50033003	101531	3066	
50036001	101599	3070	
50001001	100178	4001	
50001002	100179	4002	
50001003	100180	4003	
50001004	100611	4004	
50001005	100198	4005	
50001006	100612	4006	
50001007	100613	4007	
50001008	100614	4008	
50001009	100199	4009	
50001010	100200	4010	
50003001	100188	4011	
50003002	100189	4012	
50003003	100190	4013	
50003004	100607	4014	
50003005	100191	4015	
50003006	100192	4016	
50003007	100193	4017	
50003008	100608	4018	
50003009	100609	4019	
50003010	100194	4020	
50003011	100195	4021	
50005001	100202	4022	
50005002	100203	4023	
50005003	100204	4024	
50005004	100205	4025	
50005005	100206	4026	
50005006	100610	4027	
50005007	100207	4028	
50012001	100432	4029	
50012002	100433	4030	
50012003	100434	4031	
50012004	100435	4032	
50012005	100436	4033	
50012006	100364	4034	
50013001	100437	4035	
50013002	100438	4036	
50013003	100439	4037	
50013004	100440	4038	
50018001	100568	4039	
50018002	100569	4040	
50018003	100570	4041	
50018004	100571	4042	
50018005	100572	4043	
50018006	100734	4044	
50018007	100735	4045	
50018008	100736	4046	
50018009	100783	4047	
50018012	100784	4048	
50018013	100785	4049	
50022001	100215	4050	
50022002	100216	4051	
50022003	100217	4052	
50022004	100218	4053	
50022005	100219	4054	
50022006	100220	4055	
50022007	100221	4056	
50024001	100590	4057	
50024002	100591	4058	
50024003	100592	4059	
50024004	100593	4060	
50030001	101507	4071	
50030002	101508	4072	
50030003	101509	4073	
50030004	101510	4074	
50030005	101511	4075	
50030006	101512	4076	
50031001	101523	4080	
50031002	101524	4081	
50031003	101525	4082	
50031004	101526	4083	
50031005	101527	4084	
50031006	101588	4085	
50032001	101532	4086	
50032002	101533	4087	
50032003	101534	4088	
50032004	101535	4089	
50032005	101536	4090	
50032006	101766	4091	
50034001	101548	4092	
50034002	101549	4093	
50034003	101550	4094	
50034004	101551	4095	
50034005	101552	4096	
50034006	101553	4097	
50035001	101554	4098	
50037001	101680	4099	
50037002	101681	4100	
50037003	101682	4101	
50037004	101683	4102	
50037005	101684	4103	
50038001	120019	4104	
50038002	120020	4105	
50039001	120022	4106	
50039002	120023	4107	
50039003	120024	4108	
50040001	120025	4109	
50040002	120026	4110	
50040003	120027	4111	
50041001	120074	4112	
50041002	120075	4113	
50041003	120076	4114	
50041004	120077	4115	
50041005	120078	4116	
50041006	120079	4117	
50014001	100442	4061	1
50014002	100443	4062	1
50014003	100444	4063	1
50014004	100445	4064	1
50021001	100366	4065	1
50021002	100367	4066	1
50021003	100368	4067	1
50021004	100369	4068	1
50026002	100643	4069	1
50026003	100644	4070	1
50027002	100732	3055	1
50027003	100733	3056	1
50025004	100641	3053	1
50018010	100784	4048	1
50018011	100785	4049	1
50030007	101555	4077	1
50030008	101556	4078	1
50030009	101557	4079	1
