玩家等级,[怪物配置]1几率,[怪物配置]1ID,[怪物配置]2几率,[怪物配置]2ID,[怪物配置]3几率,[怪物配置]3ID
1,100,101,,,,
2,100,102,,,,
3,100,103,,,,
4,100,104,,,,
5,100,105,,,,
6,100,106,,,,
7,100,107,,,,
8,100,108,,,,
9,100,109,,,,
10,100,110,,,,
11,100,111,,,,
12,100,112,,,,
13,100,113,,,,
14,100,114,,,,
15,100,115,,,,
16,100,116,,,,
17,100,117,,,,
18,100,118,,,,
19,100,119,,,,
20,100,120,100,220,100,320
21,100,121,,,,
22,100,122,,,,
23,100,123,,,,
24,100,124,,,,
25,100,125,100,225,100,325
26,100,126,,,,
27,100,127,,,,
28,100,128,,,,
29,100,129,,,,
30,100,130,,,,
31,100,131,,,,
32,100,132,,,,
33,100,133,,,,
34,100,134,,,,
35,100,135,,,,
36,100,136,,,,
37,100,137,,,,
38,100,138,,,,
39,100,139,,,,
40,100,140,,,,
