ID,怪物编号,等级,掉落索引,词缀列表,是否是精英怪
101,21020101,4,丘丘暴徒,,1
102,21020101,5,丘丘暴徒,,1
103,22010301,6,深渊法师,,1
104,21020101,7,丘丘暴徒,,1
105,21020101,8,丘丘暴徒,,1
106,21020201,9,丘丘暴徒,,1
107,22010301,10,深渊法师,,1
108,22010201,11,深渊法师,,1
109,22010101,12,深渊法师,,1
110,20020101,13,元素之核,,1
111,23030101,14,召唤师,,1
112,23020101,15,债务处理人,,1
113,22010301,16,深渊法师,,1
114,22010301,17,深渊法师,,1
115,20020101,18,元素之核,,1
116,20020101,19,元素之核,,1
117,22010101,20,深渊法师,,1
118,22010101,21,深渊法师,,1
119,23030101,22,召唤师,,1
120,23030101,23,召唤师,,1
220,23020101,23,债务处理人,,1
320,20020101,23,元素之核,,1
121,21020201,24,丘丘暴徒,,1
122,21020201,25,丘丘暴徒,,1
123,21020201,26,丘丘暴徒,,1
124,20020101,27,元素之核,,1
125,20020101,28,元素之核,,1
225,23020101,28,债务处理人,,1
325,23030101,28,召唤师,,1
126,21020101,29,丘丘暴徒,,1
127,21020101,30,丘丘暴徒,,1
128,23030101,31,召唤师,,1
129,23030101,32,召唤师,,1
130,22010301,33,深渊法师,,1
131,22010301,34,深渊法师,,1
132,22010201,35,深渊法师,,1
133,22010201,36,深渊法师,,1
134,21020201,37,丘丘暴徒,,1
135,21020201,38,丘丘暴徒,,1
136,23020101,39,债务处理人,,1
137,23020101,40,债务处理人,,1
138,22010101,41,深渊法师,,1
139,22010101,42,深渊法师,,1
140,20020101,43,元素之核,,1
