MonsterID	[CaptureTag]1类型	[CaptureTag]1DropID	[CaptureTag]1表现ItemID	[CaptureTag]2类型	[CaptureTag]2DropID	[CaptureTag]2表现ItemID	[CaptureTag]3类型	[CaptureTag]3DropID	[CaptureTag]3表现ItemID	[CaptureTag]4类型	[CaptureTag]4DropID	[CaptureTag]4表现ItemID	[CaptureTag]5类型	[CaptureTag]5DropID	[CaptureTag]5表现ItemID
28030301	1001	21330001		1002	0		1003		2800						
28030302	1001	21330002		1002	0		1003		2800						
28030303	1001	21330003		1002	0		1003		2800						
28030304	1001	21330004		1002	0		1003		2800						
28030305	1001	21330005		1002	0		1003		2800						
28030401	1001	21330006		1002	0		1003		2800						
28030402	1001	21330007		1002	0		1003		2800						
28030403	1001	21330008		1002	0		1003		2800						
28030404	1001	21330009		1002	0		1003		2800						
28030102	1001	21330010		1002	0		1003		2800						
28030306	1001	21330011		1002	0		1003		2800						
28020101	1001	21330012		1002	0		1003		2800						
28020102	1001	21330013		1002	0		1003		2800						
28020701	1001	21330014		1002	0		1003		2800						
28020201	1001	21330015		1002	0		1003		2800						
28020303	1001	21330016		1002	0		1003		2800						
28020305	1001	21330016		1002	0		1003		2800						
28020501	1001	21330017		1002	0		1003		2800						
28020503	1001	21330018		1002	0		1003		2800						
28020601	1001	21330019		1002	0		1003		2800						
28020602	1001	21330020		1002	0		1003		2800						
28020603	1001	21330021		1002	0		1003		2800						
28050101	1001	21330022		1002	0		1003		2800						
28050104	1001	21330023		1002	0		1003		2800						
28050103	1001	21330024		1002	0		1003		2800						
28050102	1001	21330025		1002	0		1003		2800						
28010204	1001	21330026		1002	0		1003		2800						
28010205	1001	21330027		1002	0		1003		2800						
28010206	1001	21330028		1002	0		1003		2800						
28010301	1001	21330029		1002	0		1003		2800						
28010302	1001	21330030		1002	0		1003		2800						
28010303	1001	21330031		1002	0		1003		2800						
28010101	1001	21330032		1002	0		1003		2800						
28010102	1001	21330033		1002	0		1003		2800						
28010103	1001	21330034		1002	0		1003		2800						
28010104	1001	21330035		1002	0		1003		2800						
28010105	1001	21330036		1002	0		1003		2800						
28010201	1001	21330037		1002	0		1003		2800						
28010202	1001	21330038		1002	0		1003		2800						
28010203	1001	21330039		1002	0		1003		2800						
28010207	1001	21330040		1002	0		1003		2800						
28010401	1001	21330041		1002	0		1003		2800						
28010402	1001	21330043		1002	0		1003		2800						
28010403	1001	21330042		1002	0		1003		2800						
28050105	1001	21330044		1002	0		1003		2800						
28050301	1001	21330045		1002	0		1003		2800						
28020605	1001	21330046		1002	0		1003		2800						
28050106	1001	21330049		1002	0		1003		2800						
28010304	1001	21330050		1002	0		1003		2800						
28010208	1001	21330051		1002	0		1003		2800						
28020313	1001	21330047		1002	0		1003		2800						
28020314	1001	21330048		1002	0		1003		2800						
28030313	1001	21330052		1002	0		1003		2800						
28050401	1001	21330055		1002	0		1003		2800						
28010404	1001	21330056		1002	0		1003		2800						
28020604	1001	21330054		1002	0		1003		2800						
28030104	1001	21330053		1002	0		1003		2800						
28020108	1001	21330057		1002	0		1003		2800						
