章节ID	开始子任务	结束子任务	需要冒险等阶	需要开启时间	是否隐藏章节icon	关联活动ID	活动中需要冒险等阶
1001	36301	31101					
1002	37004	38406	10				
1003	39705	39604	18				
1101	100002	101801	23				
1102	101003	101609	25				
1103	102001	102510	28				
1104	800002	800311	28				
1105	1800002	1800027	28				
1201	200003	200212	30				
1202	201102	200711	30				
1203	200805	200908	30				
1204	201003	202102	30				
1205	1100905	1101505	28				
1206	800402	800710	30				
1207	101903	103106	28				
1301	300002	300612	35				
1302	300714	301210	35				
1303	301617	301811	35				
1304	301906	302110	35				
1305	302401	302617	35				
1306			35				
2001	46102	46308	5				
2002	46402	46618					
2003	48005	48508					
2004	1010003	1010115	15				
2005	45201	45406	21				
2006	49201	49010	34				
2007	1100004	1100519					
2008	1200004	1200309	26				
2009	1020003	1020204	32			2005	21
2010	1050003	1050211	38			2014	32
2011	1110009	1110311	40			2002	23
2012	1101002	1101215	40				
2013	1011002	1011306	36				
2014	1102003	1102402	40				
2015	1120001	1120212	40				
2016	1103002	1103204	40				
2017	1104003	1104505	40			2009	20
2018	1111002	1111307	40				
2019	1012002	1012214	40			5062	28
2020	1112005	1112308	40				
2021	1201002	1201309	30				
2022	1200501	1200804	30				
2023	1201503	1201812	40				
2024	1202004	1202405	40				
2025	1202802	1203106	40				
2026	1200902	1202618	40				
2027	1204002	1204209	40				
2028	1203303	1203510	40				
2029	1101802	1102618	40				
2030	1300002	1300303	40				
2031	1203705	1203904	40				
2032	1300903	1301118	40				
2033	1300604	1300807	40				
2034	1301303	1301504	40				
10001	4000100	4000108		2020-04-03 04:00:00	1		
10002	4000201	4000215		2020-04-04 04:00:00	1		
10003	4000301	4000309		2020-04-05 04:00:00	1		
10004	4000400	4000408		2020-04-06 04:00:00	1		
10005	4000500	4000506		2020-04-07 04:00:00	1		
10006	4111104	4111114					
10007	4111200	4111213					
10008	4111301	4111309					
10009	4111401	4111416					
20001					1		
10010	4121003	4121008					
10011	4121102	4121112					
10012	4121204	4121215					
10013	4121303	4121314					
10014	4121401	4121405					
10015							
10016							
10017							
10018	4131102	4131115					
10019	4131201	4131222					
10020	4131301	4131312					
10021	4141003	4141016					
10022	4141115	4141113					
10023	4141201	4141216					
10024	4141301	4141307					
10025							
10026							
10027	4001001	4001025					
10028	4001112	4001111					
10029	4001205	4001217					
10030	4001308	4001309					
10031							
101401			25				
103401			25				
103601			25				
103201			25				
103402			26				
103901			26				
102401			26				
105001			26				
105301			26				
105501			26				
106401			26				
102701			26				
106501			26				
105901			26				
10032							
10033							
10034							
10035							
10036							
10037							
10038	4002002	4002017					
10039	4002101	4002109					
10040	4002201	4002208					
10041							
10042	4001402	4001419					
10043	4001501	4001519					
10044							
10045	4002503	4002615					
10046	4002702	4002817					
10047	4002903	4002906					
10050	4004702	4005116					
10051							
10052	4003503	4003507					
10053	4003603	4003614					
10054	4003703	4003712					
10056							
10057							
10055							
10058							
10059							
10060							
10061			30				
10065	4005402	4005513					
10066	4005604	4005610					
10067	4005704	4005714					
10068	4005804	4005914					
10069							
10070							
10071							
10072							
10073	7300102						
10074							
10075							
10076	7302521	7303208					
10077							
10078							
10079	7303601						
10080							
10081							
10082	7303801	7303803					
10083							
10084							
10085							
10087	7305204	7305508					
10088	4006403	4006415					
10089	4006504	4006714					
10090	4006803	4007017					
10091	4007102	4007318					
10092	4007402	4007613					
10093	4007701	4007710					
10096							
10097	4007802	4007813					
10098	4007902	4007912					
10099	4008002	4008006					
10100	4008103	4008122					
10101	4008202	4008211					
10102	4008303	4008313					
10103	4008403	4008415					
10104	4008517	4008512					
10105	4008601	4008603					
10107	7308320	7311007					
