玩法编号,随机权重,玩法大类,galleryID,单机目标,联机目标,试用角色池
1,10,1,28001,240,440,6041
2,10,1,28002,200,340,6007
3,10,1,28003,200,350,6038
4,10,1,28004,220,350,6000
5,10,1,28005,180,500,6025
6,10,1,28006,180,420,6006
7,10,1,28007,250,800,6015
8,10,1,28008,220,700,6031
9,10,1,28009,35,75,6003#6044
10,10,1,28010,35,60,6043
11,10,1,28011,220,320,6035
12,10,1,28012,280,430,6055
13,10,2,28013,16,28,6028
14,10,2,28014,12,18,6019
15,10,2,28015,20,30,6056#6029
16,10,2,28016,20,25,6033#6039
17,7,2,28017,8,12,6022
18,7,2,28018,8,10,6037
