ID,编号,类型tag,解锁所需棋力等级,是否废弃,消耗点数,卡牌类型,品质,卡牌数量,效果目标类型,效果目标参数列表,效果类型,效果字符串参数,效果参数1,效果参数2,效果参数3,效果开始轮次,效果持续轮次,卡牌抽取权重,是否可被附加诅咒,选择后是否移除,是否在解签中显示,[额外效果]1目标类型,[额外效果]1目标参数列表,[额外效果]1类型,[额外效果]1字符串参数,[额外效果]1参数1,[额外效果]1参数2,[额外效果]1参数3,[额外效果]1开始轮次,[额外效果]1持续轮次
1,1,1,1,,300,3,0,3,2,70350281,1,SGV_AttackDamageLevel,1,,,,,100,1,,1,,,,,,,,,
2,2,1,3,,300,3,0,3,2,70350281,1,SGV_ElementMasteryLevel,1,,,,,100,1,,1,,,,,,,,,
3,3,1,1,,200,3,0,1,2,70350281,1,SGV_AttackSpeedLevel,1,,,,,100,1,1,1,,,,,,,,,
4,4,2,1,,300,3,0,3,2,70350282,1,SGV_AttackDamageLevel,1,,,,,100,1,,1,,,,,,,,,
5,5,2,3,,300,3,0,3,2,70350282,1,SGV_ElementMasteryLevel,1,,,,,100,1,,1,,,,,,,,,
6,6,2,1,,200,3,0,1,2,70350282,1,SGV_AttackSpeedLevel,1,,,,,100,1,1,1,,,,,,,,,
7,7,2,1,,200,3,0,2,2,70350282,1,SGV_RangeLevel,1,,,,,100,1,1,1,,,,,,,,,
8,8,3,1,,300,3,0,3,2,70350283,1,SGV_AttackDamageLevel,1,,,,,100,1,,1,,,,,,,,,
9,9,3,3,,300,3,0,3,2,70350283,1,SGV_ElementMasteryLevel,1,,,,,100,1,,1,,,,,,,,,
10,10,3,1,,200,3,0,1,2,70350283,1,SGV_AttackSpeedLevel,1,,,,,100,1,1,1,,,,,,,,,
11,11,3,1,,200,3,0,2,2,70350283,1,SGV_RangeLevel,1,,,,,100,1,1,1,,,,,,,,,
12,12,4,1,,300,3,0,3,2,70350284,1,SGV_AttackDamageLevel,1,,,,,100,1,,1,,,,,,,,,
13,13,4,3,,300,3,0,3,2,70350284,1,SGV_ElementMasteryLevel,1,,,,,100,1,,1,,,,,,,,,
14,14,4,1,,200,3,0,1,2,70350284,1,SGV_AttackSpeedLevel,1,,,,,100,1,1,1,,,,,,,,,
15,15,5,1,,300,3,0,3,2,70350285,1,SGV_AttackDamageLevel,1,,,,,100,1,,1,,,,,,,,,
16,16,5,3,,300,3,0,3,2,70350285,1,SGV_ElementMasteryLevel,1,,,,,100,1,,1,,,,,,,,,
17,17,5,1,,200,3,0,1,2,70350285,1,SGV_AttackSpeedLevel,1,,,,,100,1,1,1,,,,,,,,,
18,18,5,1,,200,3,0,2,2,70350285,1,SGV_RangeLevel,1,,,,,100,1,1,1,,,,,,,,,
19,19,6,1,,300,3,0,3,2,70350286,1,SGV_AttackDamageLevel,1,,,,,100,1,,1,,,,,,,,,
20,20,6,1,,200,3,0,1,2,70350286,1,SGV_AttackSpeedLevel,1,,,,,100,1,1,1,,,,,,,,,
21,21,6,1,,200,3,0,2,2,70350286,1,SGV_RangeLevel,1,,,,,100,1,1,1,,,,,,,,,
22,22,7,3,,300,3,0,3,2,70350298,1,SGV_AttackDamageLevel,1,,,,,100,1,,1,,,,,,,,,
23,23,7,4,,200,3,0,2,2,70350303,1,SGV_UpgradeAttackLevel,1,,,,,100,1,1,1,,,,,,,,,
24,24,7,4,,200,3,0,2,2,70350303,1,SGV_UpgradeMasteryLevel,1,,,,,100,1,1,1,,,,,,,,,
25,25,7,4,,200,3,0,2,2,70350294,1,SGV_AuroKillPointBonus,1,,,,,100,1,1,1,,,,,,,,,
26,26,1,1,,500,3,1,2,2,70350281,1,SGV_RangeLevel,1,,,,,100,1,1,1,,,,,,,,,
27,27,1,2,,500,3,1,2,2,70350281,1,SGV_Bubble,1,,,,,100,1,1,1,,,,,,,,,
28,28,1,5,,500,3,1,2,2,70350281,1,SGV_WaterImpulse,1,,,,,100,1,1,1,,,,,,,,,
29,29,1,3,,500,3,1,2,1,,1,SGV_Evaporate,1,,,,,100,1,1,1,,,,,,,,,
30,30,1,6,,500,3,1,2,2,70350281,1,SGV_Wet,1,,,,,100,1,1,1,,,,,,,,,
31,31,2,1,,500,3,1,2,2,70350282,1,SGV_Aoe,1,,,,,100,1,1,1,,,,,,,,,
32,32,2,2,,500,3,1,1,2,70350282,1,SGV_Enbreak,1,,,,,100,1,1,1,,,,,,,,,
33,33,2,5,,500,3,1,2,2,70350282,1,SGV_FireImpulse,1,,,,,100,1,1,1,,,,,,,,,
34,34,2,3,,500,3,1,2,1,,1,SGV_Melt,1,,,,,100,1,1,1,,,,,,,,,
35,35,2,6,,500,3,1,2,2,70350282,1,SGV_Defensedown,1,,,,,100,1,1,1,,,,,,,,,
36,36,3,1,,500,3,1,2,2,70350283,1,SGV_Explosion,1,,,,,100,1,1,1,,,,,,,,,
37,37,3,2,,500,3,1,2,2,70350283,1,SGV_Slowdown,1,,,,,100,1,1,1,,,,,,,,,
