最小等级	总索引	掉落ID	掉落次数	产出来源类型	类别
1	搜刮点解谜通用蒙德	20000000	1	24	搜刮点解谜
1	搜刮点解谜通用璃月	20000100	1	24	搜刮点解谜
1	搜刮点解谜通用稻妻	20000200	1	24	搜刮点解谜
1	搜刮点解谜通用须弥	20000300	1	24	搜刮点解谜
1	搜刮点解谜通用枫丹	20000400	1	24	搜刮点解谜
1	搜刮点解谜通用纳塔	20000500	1	24	搜刮点解谜
1	搜刮点解谜通用至冬	20000600	1	24	搜刮点解谜
1	搜刮点解谜通用群岛	20000700	1	24	搜刮点解谜
1	搜刮点解谜矿石蒙德	20001000	1	24	搜刮点解谜
1	搜刮点解谜矿石璃月	20001100	1	24	搜刮点解谜
1	搜刮点解谜矿石稻妻	20001200	1	24	搜刮点解谜
1	搜刮点解谜矿石须弥	20001300	1	24	搜刮点解谜
1	搜刮点解谜矿石枫丹	20001400	1	24	搜刮点解谜
1	搜刮点解谜矿石纳塔	20001500	1	24	搜刮点解谜
1	搜刮点解谜矿石至冬	20001600	1	24	搜刮点解谜
1	搜刮点解谜矿石群岛	20001700	1	24	搜刮点解谜
1	搜刮点解谜破损蒙德	20002000	1	24	搜刮点解谜
1	搜刮点解谜破损璃月	20002100	1	24	搜刮点解谜
1	搜刮点解谜破损稻妻	20002200	1	24	搜刮点解谜
1	搜刮点解谜破损须弥	20002300	1	24	搜刮点解谜
1	搜刮点解谜破损枫丹	20002400	1	24	搜刮点解谜
1	搜刮点解谜破损纳塔	20002500	1	24	搜刮点解谜
1	搜刮点解谜破损至冬	20002600	1	24	搜刮点解谜
1	搜刮点解谜破损群岛	20002700	1	24	搜刮点解谜
1	搜刮点解谜人文蒙德	20003000	1	24	搜刮点解谜
1	搜刮点解谜人文璃月	20003100	1	24	搜刮点解谜
1	搜刮点解谜人文稻妻	20003200	1	24	搜刮点解谜
1	搜刮点解谜人文须弥	20003300	1	24	搜刮点解谜
1	搜刮点解谜人文枫丹	20003400	1	24	搜刮点解谜
1	搜刮点解谜人文纳塔	20003500	1	24	搜刮点解谜
1	搜刮点解谜人文至冬	20003600	1	24	搜刮点解谜
1	搜刮点解谜人文群岛	20003700	1	24	搜刮点解谜
1	搜刮点解谜果蔬蒙德	20004000	1	24	搜刮点解谜
1	搜刮点解谜果蔬璃月	20004100	1	24	搜刮点解谜
1	搜刮点解谜果蔬稻妻	20004200	1	24	搜刮点解谜
1	搜刮点解谜果蔬须弥	20004300	1	24	搜刮点解谜
1	搜刮点解谜果蔬枫丹	20004400	1	24	搜刮点解谜
1	搜刮点解谜果蔬纳塔	20004500	1	24	搜刮点解谜
1	搜刮点解谜果蔬至冬	20004600	1	24	搜刮点解谜
1	搜刮点解谜果蔬群岛	20004700	1	24	搜刮点解谜
1	搜刮点解谜武器蒙德	20005000	1	24	搜刮点解谜
1	搜刮点解谜武器璃月	20005100	1	24	搜刮点解谜
1	搜刮点解谜武器稻妻	20005200	1	24	搜刮点解谜
1	搜刮点解谜武器须弥	20005300	1	24	搜刮点解谜
1	搜刮点解谜武器枫丹	20005400	1	24	搜刮点解谜
1	搜刮点解谜武器纳塔	20005500	1	24	搜刮点解谜
1	搜刮点解谜武器至冬	20005600	1	24	搜刮点解谜
1	搜刮点解谜武器群岛	20005700	1	24	搜刮点解谜
1	搜刮点解谜遗物蒙德	20006000	1	24	搜刮点解谜
1	搜刮点解谜遗物璃月	20006100	1	24	搜刮点解谜
1	搜刮点解谜遗物稻妻	20006200	1	24	搜刮点解谜
1	搜刮点解谜遗物须弥	20006300	1	24	搜刮点解谜
1	搜刮点解谜遗物枫丹	20006400	1	24	搜刮点解谜
1	搜刮点解谜遗物纳塔	20006500	1	24	搜刮点解谜
1	搜刮点解谜遗物至冬	20006600	1	24	搜刮点解谜
1	搜刮点解谜遗物群岛	20006700	1	24	搜刮点解谜
1	一次性搜刮点峭壁蒙德	19001000	1	17	一次性搜刮点
1	一次性搜刮点峭壁璃月	19001100	1	17	一次性搜刮点
1	一次性搜刮点峭壁稻妻	19001200	1	17	一次性搜刮点
1	一次性搜刮点峭壁须弥	19001300	1	17	一次性搜刮点
1	一次性搜刮点峭壁枫丹	19001400	1	17	一次性搜刮点
1	一次性搜刮点峭壁纳塔	19001500	1	17	一次性搜刮点
1	一次性搜刮点峭壁至冬	19001600	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色蒙德	19002000	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色璃月	19002100	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色稻妻	19002200	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色须弥	19002300	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色枫丹	19002400	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色纳塔	19002500	1	17	一次性搜刮点
1	一次性搜刮点峭壁深色至冬	19002600	1	17	一次性搜刮点
1	水上搜刮点蒙德	19000000	1	17	水上搜刮点
1	水上搜刮点璃月	19000100	1	17	水上搜刮点
1	水上搜刮点稻妻	19000200	1	17	水上搜刮点
1	水上搜刮点须弥	19000300	1	17	水上搜刮点
1	水上搜刮点枫丹	19000400	1	17	水上搜刮点
1	水上搜刮点纳塔	19000500	1	17	水上搜刮点
1	水上搜刮点至冬	19000600	1	17	水上搜刮点
1	水上搜刮点群岛	19000610	1	17	水上搜刮点
1	书页章节1稻妻	9000000	1	2001	书页
1	书页章节2稻妻	9000010	1	2001	书页
1	书页章节3稻妻	9000020	1	2001	书页
1	书页章节4稻妻	9000030	1	2001	书页
1	书页章节5稻妻	9000040	1	2001	书页
1	书页章节6稻妻	9000050	1	2001	书页
1	书页章节1须弥	9001000	1	2001	书页
1	书页章节2须弥	9001010	1	2001	书页
1	书页章节3须弥	9001020	1	2001	书页
1	灵龛蒙德	8000000	1	15	灵龛
1	灵龛璃月	8000100	1	15	灵龛
1	灵龛稻妻	8000200	1	15	灵龛
1	灵龛须弥	8000300	1	15	灵龛
1	摩拉石箱蒙德	8100000	1	19	摩拉石箱
1	摩拉石箱璃月	8100100	1	19	摩拉石箱
