合成ID,解锁等级,默认显示,解锁方式,解锁参数1,解锁参数2,合成类型,合成产物,产物数量,摩拉消耗,随机产物1ID,随机产物1数量,随机产物1权重,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,配方类型,特殊产物ID
11001,1,1,,,,1,112003,1,25,,1,0,112002,3,,,,,1,
11002,5,1,,,,1,112004,1,50,,1,0,112003,3,,,,,1,
11003,5,1,,,,1,112006,1,25,,1,0,112005,3,,,,,1,
11004,10,1,,,,1,112007,1,50,,1,0,112006,3,,,,,1,
11005,5,1,,,,1,112009,1,25,,1,0,112008,3,,,,,1,
11006,10,1,,,,1,112010,1,50,,1,0,112009,3,,,,,1,
11007,5,1,,,,1,112012,1,25,,1,0,112011,3,,,,,1,
11008,10,1,,,,1,112013,1,50,,1,0,112012,3,,,,,1,
11021,15,1,,,,1,112033,1,25,,1,0,112032,3,,,,,1,
11022,20,1,,,,1,112034,1,50,,1,0,112033,3,,,,,1,
11023,5,1,,,,1,112036,1,25,,1,0,112035,3,,,,,1,
11024,10,1,,,,1,112037,1,50,,1,0,112036,3,,,,,1,
11025,5,1,,,,1,112039,1,25,,1,0,112038,3,,,,,1,
11026,10,1,,,,1,112040,1,50,,1,0,112039,3,,,,,1,
11029,5,1,,,,1,112045,1,25,,1,0,112044,3,,,,,1,
11030,10,1,,,,1,112046,1,50,,1,0,112045,3,,,,,1,
11035,5,1,,,,1,112054,1,25,,1,0,112053,3,,,,,1,
11036,10,1,,,,1,112055,1,50,,1,0,112054,3,,,,,1,
11041,5,1,,,,1,112060,1,25,,1,0,112059,3,,,,,1,
11042,10,1,,,,1,112061,1,50,,1,0,112060,3,,,,,1,
11045,5,1,,,,1,112066,1,25,,1,0,112065,3,,,,,1,
11046,10,1,,,,1,112067,1,50,,1,0,112066,3,,,,,1,
11009,10,1,,,,1,112015,1,50,,1,0,112014,3,,,,,1,
11010,15,1,,,,1,112016,1,125,,1,0,112015,3,,,,,1,
11013,10,1,,,,1,112021,1,50,,1,0,112020,3,,,,,1,
11014,15,1,,,,1,112022,1,125,,1,0,112021,3,,,,,1,
11015,15,1,,,,1,112024,1,50,,1,0,112023,3,,,,,1,
11016,20,1,,,,1,112025,1,125,,1,0,112024,3,,,,,1,
11017,15,1,,,,1,112027,1,50,,1,0,112026,3,,,,,1,
11018,20,1,,,,1,112028,1,125,,1,0,112027,3,,,,,1,
11019,15,1,,,,1,112030,1,50,,1,0,112029,3,,,,,1,
11020,20,1,,,,1,112031,1,125,,1,0,112030,3,,,,,1,
11027,5,1,,,,1,112042,1,25,,1,0,112041,3,,,,,1,
11028,10,1,,,,1,112043,1,50,,1,0,112042,3,,,,,1,
11031,15,1,,,,1,112048,1,50,,1,0,112047,3,,,,,1,
11032,20,1,,,,1,112049,1,125,,1,0,112048,3,,,,,1,
11033,5,1,,,,1,112051,1,25,,1,0,112050,3,,,,,1,
11034,10,1,,,,1,112052,1,50,,1,0,112051,3,,,,,1,
11037,15,1,,,,1,112057,1,50,,1,0,112056,3,,,,,1,
11038,20,1,,,,1,112058,1,125,,1,0,112057,3,,,,,1,
11039,15,1,,,,1,112018,1,50,,1,0,112017,3,,,,,1,
11040,20,1,,,,1,112019,1,125,,1,0,112018,3,,,,,1,
11043,15,1,,,,1,112063,1,50,,1,0,112062,3,,,,,1,
11044,20,1,,,,1,112064,1,125,,1,0,112063,3,,,,,1,
11047,15,1,,,,1,112069,1,50,,1,0,112068,3,,,,,1,
11048,20,1,,,,1,112070,1,125,,1,0,112069,3,,,,,1,
11049,15,1,,,,1,112072,1,50,,1,0,112071,3,,,,,1,
11050,20,1,,,,1,112073,1,125,,1,0,112072,3,,,,,1,
12001,25,1,,,,2,114002,1,125,,1,0,114001,3,,,,,1,
12002,35,1,,,,2,114003,1,350,,1,0,114002,3,,,,,1,
12003,45,1,,,,2,114004,1,1075,,1,0,114003,3,,,,,1,
12004,25,1,,,,2,114006,1,125,,1,0,114005,3,,,,,1,
12005,35,1,,,,2,114007,1,350,,1,0,114006,3,,,,,1,
12006,45,1,,,,2,114008,1,1075,,1,0,114007,3,,,,,1,
12007,25,1,,,,2,114010,1,125,,1,0,114009,3,,,,,1,
12008,35,1,,,,2,114011,1,350,,1,0,114010,3,,,,,1,
12009,45,1,,,,2,114012,1,1075,,1,0,114011,3,,,,,1,
12010,25,1,,,,2,114014,1,125,,1,0,114013,3,,,,,1,
12011,35,1,,,,2,114015,1,350,,1,0,114014,3,,,,,1,
12012,45,1,,,,2,114016,1,1075,,1,0,114015,3,,,,,1,
12013,25,1,,,,2,114018,1,125,,1,0,114017,3,,,,,1,
12014,35,1,,,,2,114019,1,350,,1,0,114018,3,,,,,1,
12015,45,1,,,,2,114020,1,1075,,1,0,114019,3,,,,,1,
12016,25,1,,,,2,114022,1,125,,1,0,114021,3,,,,,1,
12017,35,1,,,,2,114023,1,350,,1,0,114022,3,,,,,1,
12018,45,1,,,,2,114024,1,1075,,1,0,114023,3,,,,,1,
12019,25,1,,,,2,114026,1,125,,1,0,114025,3,,,,,1,
12020,35,1,,,,2,114027,1,350,,1,0,114026,3,,,,,1,
12021,45,1,,,,2,114028,1,1075,,1,0,114027,3,,,,,1,
12022,25,1,,,,2,114030,1,125,,1,0,114029,3,,,,,1,
12023,35,1,,,,2,114031,1,350,,1,0,114030,3,,,,,1,
12024,45,1,,,,2,114032,1,1075,,1,0,114031,3,,,,,1,
12025,25,1,,,,2,114034,1,125,,1,0,114033,3,,,,,1,
12026,35,1,,,,2,114035,1,350,,1,0,114034,3,,,,,1,
12027,45,1,,,,2,114036,1,1075,,1,0,114035,3,,,,,1,
12028,25,1,,,,2,114038,1,125,,1,0,114037,3,,,,,1,
12029,35,1,,,,2,114039,1,350,,1,0,114038,3,,,,,1,
12030,45,1,,,,2,114040,1,1075,,1,0,114039,3,,,,,1,
12031,25,1,,,,2,114042,1,125,,1,0,114041,3,,,,,1,
12032,35,1,,,,2,114043,1,350,,1,0,114042,3,,,,,1,
12033,45,1,,,,2,114044,1,1075,,1,0,114043,3,,,,,1,
12034,25,1,,,,2,114046,1,125,,1,0,114045,3,,,,,1,
12035,35,1,,,,2,114047,1,350,,1,0,114046,3,,,,,1,
12036,45,1,,,,2,114048,1,1075,,1,0,114047,3,,,,,1,
13001,30,1,,,,3,104302,1,175,,1,0,104301,3,,,,,1,104304#104307
13002,40,1,,,,3,104303,1,550,,1,0,104302,3,,,,,1,104305#104308
13003,30,1,,,,3,104305,1,175,,1,0,104304,3,,,,,1,104301#104307
13004,40,1,,,,3,104306,1,550,,1,0,104305,3,,,,,1,104302#104308
13005,30,1,,,,3,104308,1,175,,1,0,104307,3,,,,,1,104301#104304
13006,40,1,,,,3,104309,1,550,,1,0,104308,3,,,,,1,104302#104305
13007,30,1,,,,3,104311,1,175,,1,0,104310,3,,,,,1,104313#104316
13008,40,1,,,,3,104312,1,550,,1,0,104311,3,,,,,1,104314#104317
13009,30,1,,,,3,104314,1,175,,1,0,104313,3,,,,,1,104310#104316
13010,40,1,,,,3,104315,1,550,,1,0,104314,3,,,,,1,104311#104317
13011,30,1,,,,3,104317,1,175,,1,0,104316,3,,,,,1,104310#104313
13012,40,1,,,,3,104318,1,550,,1,0,104317,3,,,,,1,104311#104314
13013,30,1,,,,3,104321,1,175,,1,0,104320,3,,,,,1,104323#104326
13014,40,1,,,,3,104322,1,550,,1,0,104321,3,,,,,1,104324#104327
13015,30,1,,,,3,104324,1,175,,1,0,104323,3,,,,,1,104320#104326
13016,40,1,,,,3,104325,1,550,,1,0,104324,3,,,,,1,104321#104327
13017,30,1,,,,3,104327,1,175,,1,0,104326,3,,,,,1,104320#104323
13018,40,1,,,,3,104328,1,550,,1,0,104327,3,,,,,1,104321#104324
13019,30,1,,,,3,104330,1,175,,1,0,104329,3,,,,,1,104332#104335
13020,40,1,,,,3,104331,1,550,,1,0,104330,3,,,,,1,104333#104336
13021,30,1,,,,3,104333,1,175,,1,0,104332,3,,,,,1,104329#104335
