组件ID,TypeID,BrickName,摆放GadgetID,SeverGadgetID,GadgetLevel,旋转,ComponentCost,最大摆放数,IsVisable,类型
1001,1,BaseCubeBrick_060505,70350354,70350355,90,2,0,1,1,2
1002,1,PropBrick_020202,70350344,70350345,90,,6,,1,1
1003,1,BaseCubeBrick_050505,70350426,70350426,90,,0,1,0,
1004,1,BaseCubeBrick_050505,70350427,70350427,90,,0,1,0,
2001,2,BaseCubeBrick_050505,70350320,70350321,90,,1,,1,
2002,2,BaseCubeBrick_050105,70350322,70350323,90,2,1,,1,
2003,2,BaseCubeBrick_050501,70350372,70350373,90,2,1,,1,
2004,2,BaseCubeBrick_050505,70350326,70350327,90,2,1,,1,
2005,2,BaseCubeBrick_050205,70350328,70350329,90,2,1,,1,
2006,2,BaseCubeBrick_200220,70350330,70350331,90,2,1,,1,
3001,3,WindCircleBrick_050505,70350332,70350333,90,1,4,,1,
3002,3,AirFlowBrick_051005,70350402,70350403,90,2,5,,1,
3003,3,BaseCubeBrick_050105,70350342,70350343,90,2,1,,1,
3004,3,BaseCubeBrick_050105,70350340,70350341,90,2,3,,1,
3005,3,AirBoostBrick_050205,70350368,70350369,90,2,6,,1,
3006,3,BaseCubeBrick_050105,70350370,70350371,90,2,3,,1,
3007,3,LightCoreBrick_050505,70350378,70350379,90,2,6,,1,
3008,3,ThunderCreaterBrick_040204,70350380,70350381,90,,12,,1,
4001,4,BaseCubeBrick_050505,70350389,70350390,90,2,2,,1,
4002,4,BaseCubeBrick_050505,70350391,70350392,90,2,2,,1,
4003,4,BaseCubeBrick_050505,70350393,70350394,90,2,2,,1,
4004,4,BaseCubeBrick_050505,70350395,70350396,90,2,2,,1,
4005,4,BaseCubeBrick_050105,70350404,70350405,90,2,3,,1,
4006,4,BaseCubeBrick_050105,70350406,70350407,90,2,3,,1,
4007,4,BaseCubeBrick_050105,70350408,70350409,90,2,3,,1,
4008,4,BaseCubeBrick_050105,70350410,70350411,90,2,3,,1,
4009,4,SpikeBrick_050105,70350334,70350335,90,,10,,1,
4010,4,SpikeBrick_050103,70350336,70350337,90,2,10,,1,
4011,4,BarrageBrick_050205,70350362,70350363,90,,16,,1,
4012,4,BarrageBrick_050205,70350360,70350361,90,,26,,1,
4013,4,BarrageBrick_050205,70350358,70350359,90,2,24,,1,
4014,4,BubbleBrick_020210,70350376,70350377,90,2,4,,1,
4015,4,BubbleBrick_020210,70350400,70350401,90,2,4,,1,
5001,5,PropBrick_020202,70350346,70350347,90,,3,,1,
5002,5,PropBrick_020202,70350348,70350349,90,,3,,1,
5003,5,PropBrick_020202,70350350,70350351,90,,3,,1,
