常量名	常量值1	常量值2	常量值3	常量值4	常量值5	常量值6
1	24					
2	7.31					
3	10000005	10000007				
4	1					
5	10	10				
6	18	18				
7	59	1	91	2	105	3
8	25					
118	0.8	0.002	0.00016	0.8	2	
119	20	0.12	20	30		
9	4					
10	1					
104	10.2					
11	3					
66	50					
71	18	18				
81	10					
67	1.5					
45	100					
52	200	100				
12	-24	0.1	-1	0.151		
13	30000					
14	2000					
15	100					
16	3					
17	2					
18	255					
19	10					
20	5	500	99999999			
21	0	1				
22	60	50	10			
23	30					
24	10					
25	2					
27	1					
28	0.5					
29	2					
30	0.5					
31	0.05					
32	30					
33	0.8					
34	0.8					
35	1.5	5	8	0.125	5	10
36	30	999				
37	40	5				
38	3					
39	35					
40	10					
41	1500	15				
42	1	10	0.3	0.1		
43	2					
44	3600	4				
46	50	100	1800			
47	200	300	50			
48	5					
49	16	16				
50	10					
53	5					
55	6					
54	14	6				
115	16					
56	5					
58	6	40	5	5	200	
59	50	6				
61	8	4	21010200	6	5	300
62	5	10	85			
114	0.25	0.5				
63	100					
64	6					
65	100161	100162	100163			
68	3	5	2			
69	5					
70	3					
72	1000	1000				
73	15					
74	120					
75	999					
76	10					
77	0.1	0.1	0.1	0.1	0.1	
78	1	1	1	1	1	
128	0.2	0.2	0.2			
79	5					
80	20					
82	300					
83	1					
84	70					
85	80					
86	20					
87	5					
26	1					
88	1					
89	1	1				
91	1					
92	10	0.4	4.2	2	1,0.9,1	
93	16.00	2000	2.78	1400	4.44	1400
423	5	1200				
94	4	4	2010137	4	5	
131	5					
133	10106,10107,10204,21700					
95	4					
101	1	14	60			
96	1	3600	7200	50	100	10
97	60	1.5	2	1.5	2.5	
105	40	80				
100	1	3600	102	1000		
98	1,1	1,0.8	1,0.7	1,0.6		
99	1					
102	2					
103	-15	15	60			
106	8					
109	1,15,25,20000,10000,4000,40,14000,10000					
110	5,3,1	5,3,1	5,3,1	5,3,1	5,3,1	5,3,1
111	10					
112	1					
113	10					
116	20501	20501	2050103			
117	200	80	1	8	8	60
120	10					
121	20					
122	10					
123	5					
124	9999					
125	200					
126	200004	2000	120	120	120	70800017
127	7	1000				
129	https://api-takumi.mihoyo.com/event/e20200203lantern/addbless?authkey_ver=1	https://webstatic.mihoyo.com/ys/event/sealamp/index.html?fullscreen=1#/ingame	https://api-os-takumi.mihoyo.com/event/e20200203lantern/addbless?authkey_ver=1	https://webstatic-sea.mihoyo.com/ys/event/sealamp_os/index.html?fullscreen=1#/ingame		
130	30000	200004	16001	30001	150	151
132	40001	40002	40003	40004	40005	
134	2000	160	8	60	50,100,100,150,200,200	
138	1					
139	2					
140	3					
141	47,FreshmeatRegion,48,GlobalOpenArea					
142	-492.42,203.78,285.7	-45	0,0,2	10		
144	70300001					
145	50	900				
146	35802					
147	0.44					
148	10					
149	3					
150	0.9					
151						
152	1					
153	5					
154	2					
156	3					
155	2.5					
157	30					
158	60	50	50	10	50	10
159	99					
160	2020-04-26 19:00:00	10	1	320000	1664319600	
161	100	0.3	30			
162	14					
163	搜刮点解谜	100				
164	6	18				
166	1000	40	40	40	40	40
174	140001					
169	40911					
170	70330039					
172	8					
175	210001					
173	900	Fire,Water,Grass,Electric,Ice,Frozen,Wind,Rock,AntiFire				
180	battlePass.usm	300015				
181	9					
182	20					
184	3	8				
185	100	#A6FF55FF				
186	200	#FFE14BFF				
187	999	#FF8080FF				
188	1					
189	2					
190	0.5					
191	300000					
192	240001					
193	hk4e_glb_pointcard_tierx	1	1			
176	2000	2400	1800			
177	1500	1700				
178	2000	2400				
270	2000	2400				
195	100					
194	4					
196	2003					
197	1	1				
201	1					
202	104013	104012	104011			
203	12	3	AbilityGroup_Reputation_Hunting	4043		
200	0	0	0			
204	250	5	300	5	300	
205	11413					
206	10					
208	3	3	6	9		
210	20					
209	209	2				
207	45	14	14			
211	10	50	17	0	200	
213	5000					
214	0.8					
215	20	1	100	5		
223	4	3				
217	597600					
218	5					
219	150					
216	7	200030001	8	30601	30602	30603
220	0.5					
221	104001,104002,104003,104011,104012,104013					
222	30					
227	71022	23	15160			
229	180	90	-180	90		
228	1	1				
230	1	1	2	6	100	
231	10	20				
234	1000	1000000	223:10,224:10	1	1	1
236	120	31001	1	41421	41422	220023
237	4	24	1			
238	41311					
235	3	133209029	29001	0	201	
239	4142205	4	9004	10010101,10010102,10010103,10010104,10010105	1,2,3,4,5	10010102,4142110
240	19000	19999				
253	2					
254	3					
260	70143	70141	25	15170		
261	11008	31201	5027			
266	3	0.5	3:133002259			
267	10					
268	2	20				
272	假吸附物;吸附物;角色卡;命星;宝箱;任务物品;蛐蛐;元素结晶;可批量使用宝箱;可选宝箱;海灯节花灯;导能原盘buff;名片;小功能道具;时装卡;家具套装图纸;家具图纸					
274	1					
275	10.2					
277	UI_AvatarIcon_Costume_Card					
400	1440					
401	60					
279	30	5	1	50	10	
412	990000	990010	990020	990030		
411	3,4,5	150				
410	1201					
416	8000	2000	SGV_AttackDamageLevel			
417	0	75	SGV_ElementMasteryLevel			
418	0.2					
419	8	2				
420	220007	20				
422	80					
425	0.5	0.2	12:0,14:0,15:0;12:102,1:0,3:0;69:0,4:0,6:0			
426	50	300				
431	16					
414	1202	2013	27			
281	0.6					
440	3	60,80				
282	1601258340					
353	377101					
428	10	10	30	50	1	
442	20					
446	999999999	0				
460	1641337200	300	201,202,203,223,224,140002,1062,15415,140003,11412			
462	1000					
450	600;100	200;1000	200;200	200;100	400	
451	600;100	200;1000	200;200	200;100	400	
452	20	1	6	4	4	600
463	100					
453	50	4				
464	29	5				
424	5					
429	1000					
470	50					
471	60000					
480	100					
481	1209600					
482	7257600					
483	101	0	0.5,0.5,0.5	0.3,0.3,0.3	0.4,0.4,0.4	102
484	5					
490	100	10				
485	1	1				
495	220060					
496	1					
600	0,3,1,1,3,3,3,3,3,2,2,4,3,3,0,0					
601	1000	3				
602	30					
498	1000					
499	0.15					
603	3	1.5	1.5			
