常量名	常量值1	常量值2	常量值3	常量值4	常量值5	常量值6
500	30					
501	3					
502	2					
503	300					
504	300					
506	16					
508	0	0				
507	1076					
509	15					
511	1:2,4:5	1:3,4:6				
512	999					
514	10					
515	4					
513	201076002					
518	600					
519	2	4				
505	2162					
516	30					
520	1301; 1103; 1501	311101; 311201; 311301; 311401; 311501; 312401; 312301; 312101; 312601; 312201; 312501; 312701; 322001; 321004; 321006; 332001; 332002; 333008; 332004; 332006; 332012; 332013; 332014; 332008; 332009; 333005; 332007; 332010; 332011; 332005				
3301	30					
510	107020					
521	107021					
522	1661184000					
3304	70526					
