角色ID	食谱ID	加成类型	加成参数1	加成参数2	复杂参数
10000021	1004	1	108010		10,15,20
10000015	1001	1	108014		10,15,20
10000006	2001	1	108018		10,10,15
10000014	2004	1	108040		10,10,15
10000003	3006	1	108044		5,10,15
10000020	3007	1	108048		5,10,15
10000016	3008	1	108058		5,10,15
10000041	2007	1	108114		10,10,15
10000029	2008	1	108115		10,10,15
10000032	1003	1	108116		10,15,20
10000031	3003	1	108117		5,10,15
10000034	2005	1	108118		10,10,15
10000022	3009	1	108113		5,10,15
10000039	1006	1	108134		10,15,20
10000023	3102	1	108135		5,10,15
10000025	2105	1	108136		10,10,15
10000026	2101	1	108137		10,10,15
10000024	1102	1	108138		10,15,20
10000027	1101	1	108139		10,15,20
10000035	3105	1	108140		5,10,15
10000036	2108	1	108144		10,10,15
10000043	3005	1	108146		5,10,15
10000042	1103	1	108145		10,15,20
10000030	3106	1	108173		5,10,15
10000044	2102	1	108174		10,10,15
10000033	3001	1	108175		5,10,15
10000037	3109	1	108213		5,10,15
10000038	3012	1	108214		5,10,15
10000046	2109	1	108200		10,10,15
10000045	2002	1	108234		10,10,15
10000048	2112	1	108244		10,10,15
10000051	4001	1	108245		5,5,10
10000002	3205	1	108300		5,10,15
10000047	1202	1	108301		10,15,20
10000049	3201	1	108302		5,10,15
10000053	2202	1	108303		10,10,15
10000062	1007	1	108339		10,15,20
10000054	1205	1	108340		10,15,20
10000056	1201	1	108341		10,15,20
10000050	1203	1	108354		10,15,20
10000057	2203	1	108364		10,10,15
10000055	3202	1	108365		5,10,15
10000063	3219	1	108372		5,10,15
10000064	2106	1	108373		10,10,15
10000058	2210	1	108380		10,10,15
10000066	3208	1	108387		5,10,15
10000065	3213	1	108388		5,10,15
10000060	3114	1	108389		5,10,15
10000059	2211	1	108390		10,10,15
10000067	3302	1	108437		5,10,15
10000068	3301	1	108438		5,10,15
10000069	2304	1	108436		10,10,15
10000070	3309	1	108466		5,10,15
10000071	3303	1	108467		5,10,15
10000072	2308	1	108468		10,10,15
10000073	3308	1	108474		5,10,15
10000074	2309	1	108473		10,10,15
10000075	3216	1	108479		5,10,15
10000076	3310	1	108478		5,10,15
