ID,章节ID,解锁节点ID,类型,解锁条件1类型,解锁条件1参数1,解锁条件1参数2,解锁条件2类型,解锁条件2参数1,解锁条件2参数2
10140101,101401,10140191,2,3,10140103,,,,
10140102,101401,10140192,2,3,10140113,,,,
10140103,101401,10140193,2,3,10140114,,,,
10140104,101401,10140194,2,3,10140116,,,,
10140105,101401,10140195,2,3,10140119,,,,
10140111,101401,10140191,1,3,10140103,,,,
10140112,101401,10140192,1,3,10140113,,,,
10140113,101401,10140193,1,3,10140114,,,,
10140114,101401,10140194,1,3,10140116,,,,
10140115,101401,10140195,1,3,10140119,,,,
10360101,103601,10360191,2,3,10360104,,,,
10360102,103601,10360192,2,3,10360108,,,,
10360103,103601,10360193,2,3,10360119,,,,
10360104,103601,10360195,2,3,10360109,,,,
10360105,103601,10360196,2,3,10360113,,,,
10360106,103601,10360197,2,3,10360197,,,,
10360111,103601,10360191,1,3,10360104,,,,
10360112,103601,10360192,1,3,10360108,,,,
10360113,103601,10360193,1,3,10360119,,,,
10360114,103601,10360195,1,3,10360109,,,,
10360115,103601,10360196,1,3,10360113,,,,
10360116,103601,10360197,1,3,10360197,,,,
10340101,103401,10340191,2,3,10340191,,,,
10340102,103401,10340192,2,3,10340104,,,,
10340103,103401,10340193,2,3,10340106,,,,
10340104,103401,10340194,2,3,10340107,,,,
10340105,103401,10340195,2,3,10340110,,,,
10340106,103401,10340196,2,3,10340112,,,,
10340111,103401,10340191,1,3,10340191,,,,
10340112,103401,10340192,1,3,10340104,,,,
10340113,103401,10340193,1,3,10340106,,,,
10340114,103401,10340194,1,3,10340107,,,,
10340115,103401,10340195,1,3,10340110,,,,
10340116,103401,10340196,1,3,10340112,,,,
10320101,103201,10320191,2,3,10320104,,,,
10320102,103201,10320192,2,3,10320107,,,,
10320103,103201,10320193,2,3,10320193,,,,
10320104,103201,10320194,2,3,10320194,,,,
10320105,103201,10320195,2,3,10320195,,,,
10320106,103201,10320196,2,3,10320196,,,,
10320111,103201,10320191,1,3,10320104,,,,
10320112,103201,10320192,1,3,10320107,,,,
10320113,103201,10320193,1,3,10320193,,,,
10320114,103201,10320194,1,3,10320194,,,,
10320115,103201,10320195,1,3,10320195,,,,
10320116,103201,10320196,1,3,10320196,,,,
10340201,103402,10340291,2,3,10340291,,,,
10340202,103402,10340292,2,3,10340292,,,,
10340203,103402,10340293,2,3,10340293,,,,
10340204,103402,10340294,2,3,10340294,,,,
10340205,103402,10340295,2,3,10340295,,,,
10340206,103402,10340296,2,3,10340296,,,,
10340211,103402,10340291,1,3,10340291,,,,
10340212,103402,10340292,1,3,10340292,,,,
10340213,103402,10340293,1,3,10340293,,,,
10340214,103402,10340294,1,3,10340294,,,,
10340215,103402,10340295,1,3,10340295,,,,
10340216,103402,10340296,1,3,10340296,,,,
10390101,103901,10390191,2,3,10390191,,,,
10390102,103901,10390192,2,3,10390192,,,,
10390103,103901,10390193,2,3,10390193,,,,
10390104,103901,10390194,2,3,10390194,,,,
10390105,103901,10390195,2,3,10390195,,,,
10390111,103901,10390191,1,3,10390191,,,,
10390112,103901,10390192,1,3,10390192,,,,
10390113,103901,10390193,1,3,10390193,,,,
10390114,103901,10390194,1,3,10390194,,,,
10390115,103901,10390195,1,3,10390195,,,,
10500101,105001,10500191,2,3,10500191,,,,
10500102,105001,10500192,2,3,10500192,,,,
10500103,105001,10500193,2,3,10500193,,,,
10500104,105001,10500194,2,3,10500194,,,,
10500105,105001,10500195,2,3,10500195,,,,
10500106,105001,10500196,2,3,10500196,,,,
10500111,105001,10500191,1,3,10500191,,,,
10500112,105001,10500192,1,3,10500192,,,,
10500113,105001,10500193,1,3,10500193,,,,
10500114,105001,10500194,1,3,10500194,,,,
10500115,105001,10500195,1,3,10500195,,,,
10500116,105001,10500196,1,3,10500196,,,,
10530101,105301,10530191,2,3,10530191,,,,
10530102,105301,10530192,2,3,10530192,,,,
10530103,105301,10530193,2,3,10530193,,,,
10530104,105301,10530194,2,3,10530194,,,,
10530105,105301,10530195,2,3,10530195,,,,
10530106,105301,10530196,2,3,10530196,,,,
10530111,105301,10530191,1,3,10530191,,,,
10530112,105301,10530192,1,3,10530192,,,,
10530113,105301,10530193,1,3,10530193,,,,
10530114,105301,10530194,1,3,10530194,,,,
10530115,105301,10530195,1,3,10530195,,,,
10530116,105301,10530196,1,3,10530196,,,,
10240101,102401,10240191,2,3,10240191,,,,
10240102,102401,10240192,2,3,10240192,,,,
10240103,102401,10240193,2,3,10240193,,,,
10240104,102401,10240194,2,3,10240194,,,,
10240105,102401,10240195,2,3,10240195,,,,
10240111,102401,10240191,1,3,10240191,,,,
10240112,102401,10240192,1,3,10240192,,,,
10240113,102401,10240193,1,3,10240193,,,,
10240114,102401,10240194,1,3,10240194,,,,
10240115,102401,10240195,1,3,10240195,,,,
10550101,105501,10550191,2,3,10550191,,,,
10550102,105501,10550192,2,3,10550192,,,,
10550103,105501,10550193,2,3,10550193,,,,
10550104,105501,10550194,2,3,10550194,,,,
10550105,105501,10550195,2,3,10550195,,,,
10550111,105501,10550191,1,3,10550191,,,,
10550112,105501,10550192,1,3,10550192,,,,
10550113,105501,10550193,1,3,10550193,,,,
10550114,105501,10550194,1,3,10550194,,,,
10550115,105501,10550195,1,3,10550195,,,,
10270101,102701,10270191,2,3,10270191,,,,
10270102,102701,10270192,2,3,10270192,,,,
10270103,102701,10270193,2,3,10270193,,,,
10270104,102701,10270194,2,3,10270194,,,,
