章节ID,角色ID,开启条件1类型,开启条件1参数1,开启条件1参数2,开启条件2类型,开启条件2参数1,开启条件2参数2,开启所需道具ID,开启的道具数量,开启时间
103201,10000032,1,39604,,2,26,,107,2,2021-03-16 00:00:00
103601,10000036,1,39604,,2,26,,107,2,2021-03-16 00:00:00
101401,10000014,1,39604,,2,26,,107,2,2021-03-16 00:00:00
103401,10000034,1,39604,,2,26,,107,2,2021-03-16 00:00:00
103402,10000034,1,102510,,5,103401,,107,2,2021-04-27 00:00:00
103901,10000039,1,39604,,2,26,,107,2,2021-04-27 00:00:00
105001,10000050,1,202102,,2,26,,107,2,2021-10-12 00:00:00
105301,10000053,1,202102,,2,26,,107,2,2021-10-12 00:00:00
102401,10000024,1,202102,,2,26,,107,2,2021-11-23 00:00:00
105501,10000055,1,1202405,,2,26,,107,2,2021-11-23 00:00:00
106401,10000064,1,1101505,,2,26,,107,2,2022-01-04 00:00:00
102701,10000027,1,1101505,,2,26,,107,2,2022-01-04 00:00:00
106501,10000065,1,1202618,,1,103106,,107,2,2022-06-21 18:00:00
105901,10000059,1,1204209,,1,1202618,,107,2,2022-01-04 00:00:00
