ID,备注,所属npcID,所属父任务ID,优先级,是否自动触发
1900102,奔狼领找到芭芭拉,501,19001,5,0
1900103,跟随芭芭拉躲避艾伯特,501,19001,5,0
1900104,采完药后去找芭芭拉,501,19001,5,0
1900201,和艾伯特对话,160201,19002,5,0
1900202,带领艾伯特回去找芭芭拉,160201,19002,5,0
1900203,劝走艾伯特后回去找芭芭拉,501,19002,5,0
1900301,在奔狼领入口讨论分开行动,501,19003,5,1
1900303,打扫完毕在教堂门口遇到芭芭拉,501,19003,5,1
1900306,请假：一起,147101,19003,5,0
1900401,派蒙担心还没回来的芭芭拉,1005,19004,5,1
1900402,芭芭拉发现了劫持商人的盗宝团,501,19004,5,0
1900501,商人奖励选择,10801,19005,5,1
1900502,在野外和芭芭拉喝饮料,501,19005,5,1
1900504,长椅坐下后芭芭拉回来,501,19005,5,1
1900601,芭芭拉治疗盗宝团,501,19006,5,1
1900701,击败盗宝团后和芭芭拉对话,501,19007,5,1
1900801,采完药和盗宝团对话,10802,19008,5,0
1900802,芭芭拉解释为什么帮助盗宝团,501,19008,5,1
1900901,粉丝围住芭芭拉要签名,501,19009,5,1
1900902,说服舒茨,163801,19009,5,0
1900903,说服赫尔曼,160401,19009,5,0
1900904,说服苏西,145301,19009,5,0
1900905,终于买到奶茶,501,19009,5,0
1900906,和芭芭拉聊为什么要做偶像,501,19009,5,1
1902101,主角在璃月港遇到重云,1023,19021,5,0
1902201,与小孩交谈,10901,19022,5,0
1902202,与重云交谈,1023,19022,5,0
1902301,重云邀请鉴别情报,1023,19023,5,0
1902302,跟着重云来到第一处邪祟之地,1023,19023,5,0
1902303,跟着重云来到第二处邪祟之地,10913,19023,5,0
1902304,跟着重云来到第三处邪祟之地,10914,19023,5,0
1902305,到达山顶,1023,19023,5,0
1902401,孩子拿走了重云剩下的所有冰棍，非常开心。主角提议做冰棍,1023,19024,5,1
1902403,重云吃下后觉得味道很不错，而且不适感明显消失了,1023,19024,5,1
1902404,重云吃下之后并无改善，觉得只是单纯的果味冰棍，不过还蛮好吃的。,1023,19024,5,1
1902405,收集材料并制作，重云吃下后觉得特别难受，当场倒下了,1023,19024,5,1
1902501,前往小孩家，妹妹邀请重云一起捉迷藏,10902,19025,5,1
1902502,前往小孩家，妹妹邀请重云一起做菜,10906,19025,5,0
1902503,做菜后交付,1023,19025,5,1
1902504,捉迷藏与重云对话,1023,19025,5,0
1903001,前往无妄坡试胆大会,10917,19030,5,0
1903002,进入无妄坡试胆大会,1023,19030,5,0
1903003,驱雾调查1,10903,19030,5,0
1903004,驱雾调查2,10913,19030,5,0
1903005,驱雾调查3,10908,19030,5,0
1903101,如果让重云激发阳气,1023,19030,5,0
1903102,寻到材料的时候，主角突然被人从后惊吓,10905,19031,5,0
1903109,碰上了人假扮的鬼,10918,19034,5,0
1903110,回复重云,1023,19034,5,0
1903201,如果没让重云激发阳气,10918,19033,5,0
1903202,回去告诉重云，重云显得有点失望,1023,19035,5,0
1903203,偶遇小九九,10907,19032,5,0
1903204,回复重云,1023,19032,5,1
1904101,偶遇班尼特,1024,19041,5,0
1904201,纪念品商店与班尼特对话,1024,19042,5,0
1904202,猎鹿人与班尼特对话,1024,19042,5,0
1904203,杂货店门口与班尼特对话,1024,19042,5,0
1904204,杂货店等待与班尼特对话01,1024,19042,5,0
1904205,杂货店等待与班尼特对话02,1024,19042,5,0
1904206,杂货店等待与班尼特对话03,1024,19042,5,0
1904207,杂货店与布兰琪对话,1024,19042,5,0
1904301,蒲公英田对话,1024,19043,5,0
1904302,空营地外对话,1024,19043,5,0
1904303,开完宝箱对话,1024,19043,5,0
1904304,滑翔翼对话,1024,19043,5,0
1904401,做完料理对话,1024,19044,8,0
1904402,房间1操作机关前对话,1024,19044,7,0
1904403,房间1操作机关后对话,1024,19044,6,0
1904404,房间2班尼特解释前团员对话,1024,19044,5,0
1904405,房间2班尼特吃黑暗料理对话,1024,19044,4,0
1904501,房间1对话,1024,19045,10,0
1904502,房间2班尼特要踩机关对话,1024,19045,8,0
1904503,房间3班尼特沮丧对话,1024,19045,7,0
1904504,房间3班尼特自愿踩机关对话,1024,19045,6,0
1904505,房间2解机关失败对话,1024,19045,5,0
1904506,房间2开宝箱后对话,1024,19045,4,0
1904507,房间1解机关成功对话,1024,19045,9,0
1904508,房间2解机关成功对话,1024,19045,5,0
1906101,偶遇诺艾尔三线分支,1027,19061,5,1
1906103,城外初见可疑人员对话,1027,19061,5,1
1906104,城外找不到盗宝团回报对话,1027,19061,5,0
1906201,蒙德城门口审问对话,143701,19062,5,0
1906203,招待喝酒对话,1027,19062,5,0
1906204,招待吃饭对话,1027,19062,5,0
1906205,招待纪念品对话分支带招待HE,143501,19062,5,0
1906206,送骗子出门对话,11001,19062,5,1
1906207,招待BE与诺艾尔对话,1027,19062,5,1
1906401,木桩与诺艾尔初始对话,1027,19064,5,0
1906402,木桩打完后诺艾尔对话分支,1027,19064,5,0
1906501,打怪分支对话,1027,19065,5,0
1906502,打怪HE与被救者对话,11002,19065,5,0
1906601,与石碓旁的西风骑士对话,11003,19066,5,0
1906602,挖矿HE与诺艾尔对话,1027,19066,5,0
1906701,约会与贝雅对话分支,140101,19067,5,0
1906801,约会错误选项与诺艾尔吃饭对话,1027,19068,5,0
1906802,约会错误选项与贝雅对话,140101,19068,5,0
1906803,约会BE与诺艾尔对话,1027,19068,5,1
1906901,约会正确与玛乔丽对话,143501,19069,5,0
