节点ID,章节ID,节点类型,完成任务,完成MainCoop,接取任务,后继节点
10140101,101401,1,1900103,,1900101,10140102#10140105
10140102,101401,2,1900201,,1900108,10140103#10140104
10140103,101401,2,1900203,,1900202,10140191
10140191,101401,3,,101401#101,,
10140104,101401,2,1900204,,1900204,10140107
10140105,101401,2,1900105,,1900104,10140106
10140106,101401,2,1900107,,1900106,10140107
10140107,101401,2,1900302,,1900301,10140108
10140108,101401,2,1900304,,1900303,10140109
10140109,101401,2,1900306#1900307#1900308,,1900305,10140110#10140115#10140118
10140110,101401,2,1900403,,1900401,10140111
10140111,101401,2,1900405,,1900404,10140112
10140112,101401,2,1900502,,1900501,10140113#10140114
10140113,101401,2,1900503,,1900503,10140192
10140192,101401,3,,101401#102,,
10140114,101401,2,1900505,,1900504,10140193
10140193,101401,3,,101401#103,,
10140115,101401,2,1900603,,1900601,10140116#10140117
10140116,101401,2,1900702,,1900701,10140194
10140194,101401,3,,101401#104,,
10140117,101401,2,1900804,,1900801,10140114
10140118,101401,2,1900905,,1900901,10140119
10140119,101401,2,1900907,,1900906,10140195
10140195,101401,3,,101401#105,,
10360101,103601,1,1902101,,1902101,10360102#10360110
10360102,103601,2,1902201,,1902201,10360103#10360105
10360103,103601,2,1902301,,1902301,10360104
10360104,103601,2,1902306,,1902302,10360191
10360191,103601,3,,103601#1902306,,
10360105,103601,2,1902401,,1902402,10360106#10360107#10360109
10360106,103601,2,1902403,,1902406,10360108
10360107,103601,2,1902404,,1902407,10360108
10360108,103601,2,1902505,,1902501,10360192
10360192,103601,3,,103601#1902505,,
10360109,103601,2,1902405,,1902408,10360195
10360195,103601,3,,103601#1902491,,
10360110,103601,2,1903001,,1903001,10360111#10360116
10360111,103601,2,1903006,,1903007,10360112#10360114#10360115
10360112,103601,2,1903401,,1903401,10360113
10360113,103601,2,1903402,,1903402,10360196
10360196,103601,3,,103601#1903110,,
10360114,103601,2,1903104,,1903102,10360118
10360115,103601,2,1903106,,1903103,10360118
10360116,103601,2,1903008,,1903002,10360117
10360117,103601,2,1903301,,1903301,10360118
10360118,103601,2,1903501,,1903501,10360119#10360197
10360119,103601,2,1903204,,1903203,10360193
10360193,103601,3,,103601#1903209,,
10360197,103601,3,,103601#1903205,,
10340101,103401,1,1906103,,1906102,10340102#10340105#10340108
10340102,103401,2,1906110,,1906105,10340103
10340103,103401,2,1906209,,1906201,10340191#10340104
10340191,103401,3,,103401#190620502,,
10340104,103401,2,1906213,,1906211,10340192
10340192,103401,3,,103401#190620701,,
10340105,103401,2,1906404,,1906401,10340106#10340107
10340106,103401,2,1906509,,1906510,10340193
10340193,103401,3,,103401#190650201,,
10340107,103401,2,1906610,,1906601,10340194
10340194,103401,3,,103401#190660201,,
10340108,103401,2,1906702,,1906701,10340109#10340111
10340109,103401,2,1906809,,1906801,10340110
10340110,103401,2,1906811,,1906811,10340195
10340195,103401,3,,103401#190680301,,
10340111,103401,2,1906908,,1906901,10340112
10340112,103401,2,1906911,,1906910,10340196
10340196,103401,3,,103401#190690401,,
10320101,103201,1,1904101,,1904101,10320102#10320105#10320108#10320110
10320102,103201,2,1904202,,1904201,10320103
10320103,103201,2,1904204,,1904203,10320104
10320104,103201,2,1904207,,1904205,10320191
10320191,103201,3,,103201#101,,
10320105,103201,2,1904302,,1904301,10320106
10320106,103201,2,1904306,,1904303,10320107
10320107,103201,2,1904308,,1904307,10320192
10320192,103201,3,,103201#201,,
10320108,103201,2,1904402,,1904401,10320109
10320109,103201,2,1904412#1904411,,1904403,10320193#10320194
10320193,103201,3,,103201#301,,
10320194,103201,3,,103201#302,,
10320110,103201,2,1904519#1904518,,1904501,10320195#10320196
10320195,103201,3,,103201#401,,
10320196,103201,3,,103201#402,,
10340201,103402,1,1908101,,1908101,10340202#10340206#10340210
10340202,103402,2,1908206,,1908201,10340203
10340203,103402,2,1908205,,1908204,10340204#10340205
10340204,103402,2,1908310,,1908301,10340291
10340291,103402,3,,103402#1908306,,
10340205,103402,2,1908409,,1908408,10340292
10340292,103402,3,,103402#1908406,,
10340206,103402,2,1908501,,1908501,10340207
10340207,103402,2,1908705,,1908502,10340208#10340209
10340208,103402,2,1908702,,1908702,10340293
10340293,103402,3,,103402#1908702,,
10340209,103402,2,1908709,,1908712,10340294
10340294,103402,3,,103402#1908708,,
10340210,103402,2,1909008,,1909002,10340211#10340212
10340211,103402,2,1909104,,1909106,10340295
10340295,103402,3,,103402#1909104,,
10340212,103402,2,1909208,,1909209,10340296
10340296,103402,3,,103402#1909205,,
10390101,103901,1,1910103#1910104#1910105,,1910101,10390102#10390105#10390111
10390102,103901,2,1910205,,1910201,10390103
10390103,103901,2,1910211#1910214,,1910206,10390104#10390192
10390192,103901,3,,103901#101,,
10390104,103901,2,1910213,,1910212,10390191
10390191,103901,3,,103901#102,,
10390105,103901,2,1910305#1910306,,1910301,10390106#10390107
10390106,103901,2,1910406,,1910401,10390107
10390107,103901,2,1910408,,1910407,10390108#10390109
10390108,103901,2,1910410,,1910409,10390193
10390193,103901,3,,103901#103,,
10390109,103901,2,1910411,,1910411,10390110
10390110,103901,2,1910502,,1910501,10390194
10390194,103901,3,,103901#104,,
10390111,103901,2,1910604,,1910601,10390112
10390112,103901,2,1910608,,1910605,10390113
10390113,103901,2,1910706,,1910701,10390195
10390195,103901,3,,103901#105,,
10500101,105001,1,1911101,,1911101,10500102#10500113
