索引ID,AbilityGroupName
1,ActivityAbility_CrystalLink_Trigger_UltimateSkillHitDamage
2,ActivityAbility_CrystalLink_Trigger_UseSkill
3,ActivityAbility_CrystalLink_Trigger_OnAvatarIn
4,ActivityAbility_CrystalLink_Trigger_UseSkill_Level2
5,ActivityAbility_CrystalLink_Trigger_NormalAttackLanded_Counter
6,ActivityAbility_CrystalLink_Trigger_NormalAttackElementalDamage
7,ActivityAbility_CrystalLink_Trigger_ElectricReaction
8,ActivityAbility_CrystalLink_Trigger_UseSkill_Level3
9,ActivityAbility_CrystalLink_Trigger_ElectricDamage
10,ActivityAbility_CrystalLink_Trigger_BeingHealed
11,ActivityAbility_CrystalLink_Trigger_HPDown
12,ActivityAbility_CrystalLink_Trigger_UseSkill_Level5
13,ActivityAbility_CrystalLink_Trigger_RockDamage
14,ActivityAbility_CrystalLink_Trigger_Crystallize
15,ActivityAbility_CrystalLink_Trigger_UseSkill_Level4
16,ActivityAbility_CrystalLink_Trigger_HitFrozenTarget
17,ActivityAbility_CrystalLink_Trigger_UseSkill_Level6
18,ActivityAbility_CrystalLink_Trigger_Frozen
