索引ID,AbilityGroupName
1,ActivityAbility_CrystalLink_Action_UltimateSkillDamageUp
2,ActivityAbility_CrystalLink_Action_IncreaseElemMastery
3,ActivityAbility_CrystalLink_Action_ChargeEfficiencyUp
4,ActivityAbility_CrystalLink_Action_NormalAttackDamageUp
5,ActivityAbility_CrystalLink_Action_AllElementalDamageUp
6,ActivityAbility_CrystalLink_Action_AttackSpeedUp
7,ActivityAbility_CrystalLink_Action_SkillDamageUp
8,ActivityAbility_CrystalLink_Action_IncreaseElemMastery_Level3
9,ActivityAbility_CrystalLink_Action_UltimateSkillDamageUp_Level3
10,ActivityAbility_CrystalLink_Action_MaxHPUp
11,ActivityAbility_CrystalLink_Action_AttackUp
12,ActivityAbility_CrystalLink_Action_WaterDamageUp
13,ActivityAbility_CrystalLink_Action_RockDamageUp
14,ActivityAbility_CrystalLink_Action_AttackUp_Level4
15,ActivityAbility_CrystalLink_Action_CriticalUp
16,ActivityAbility_CrystalLink_Action_WaterDamageUp_Level6
17,ActivityAbility_CrystalLink_Action_IceDamageUp
18,ActivityAbility_CrystalLink_Action_FrozenDamageUp
