ConfigID,道具ID,GadgetID,组件内名称$text_name_Name,部件类型$text_name_Type
373701,373701,77215027,,
373702,373702,77215028,,
373703,373703,77215029,,
373801,373801,77306001,,
373802,373802,77306002,,
373803,373803,77306003,,
373804,373804,77306004,,
373805,373805,77306005,,
373806,373806,77306006,,
373807,373807,77306007,,
373808,373808,77306008,,
373809,373809,77306009,,
373810,373810,77306010,,
373811,373811,77306011,,
373812,373812,77306012,,
373813,373813,77306013,,
373814,373814,77306014,,
373815,373815,77306015,,
373816,373816,77306016,,
373817,373817,77306017,,
373818,373818,77306018,,
373819,373819,77306019,,
373820,373820,77306020,,
373821,373821,77306021,,
374001,374001,77215044,,
374002,374002,77215045,,
374003,374003,77215046,,
374004,374004,77215047,,
374005,374005,77306022,,
374006,374006,77306023,,
374007,374007,77306024,,
374008,374008,77306025,,
374009,374009,77306030,,
374010,374010,77306031,,
374011,374011,77306032,,
374012,374012,77306033,,
374013,374013,77306034,,
374014,374014,77306035,,
374015,374015,77306036,,
374016,374016,77306037,,
374017,374017,77306042,,
374018,374018,77306043,,
374019,374019,77306044,,
374020,374020,77306045,,
374021,374021,77306026,,
374022,374022,77306027,,
374023,374023,77306028,,
374024,374024,77306029,,
374025,374025,77306038,,
374026,374026,77306039,,
374027,374027,77306040,,
374028,374028,77306041,,
10001,373831,77306046,,
10002,373832,77306047,,
10003,373833,77306048,,
10004,373834,77306049,,
10005,373835,77306050,,
10006,373836,77306051,,
10007,373837,77306052,,
10008,373838,77306053,,
10009,373841,77306054,高位,调节高度
10010,373841,77306066,中位,调节高度
10011,373841,77306078,低位,调节高度
10012,373842,77306055,高位,调节高度
10013,373842,77306067,中位,调节高度
10014,373842,77306079,低位,调节高度
10015,373843,77306056,高位,调节高度
10016,373843,77306068,中位,调节高度
10017,373843,77306080,低位,调节高度
10018,373844,77306057,高位,调节高度
10019,373844,77306069,中位,调节高度
10020,373844,77306081,低位,调节高度
10021,373845,77306058,高位,调节高度
10022,373845,77306070,中位,调节高度
10023,373845,77306082,低位,调节高度
10024,373846,77306059,高位,调节高度
10025,373846,77306071,中位,调节高度
10026,373846,77306083,低位,调节高度
10027,373847,77306060,高位,调节高度
10028,373847,77306072,中位,调节高度
10029,373847,77306084,低位,调节高度
10030,373848,77306061,高位,调节高度
10031,373848,77306073,中位,调节高度
10032,373848,77306085,低位,调节高度
10033,373849,77306062,高位,调节高度
10034,373849,77306074,中位,调节高度
10035,373849,77306086,低位,调节高度
10036,373850,77306063,高位,调节高度
10037,373850,77306075,中位,调节高度
10038,373850,77306087,低位,调节高度
10039,373851,77306064,高位,调节高度
10040,373851,77306076,中位,调节高度
10041,373851,77306088,低位,调节高度
10042,373852,77306065,高位,调节高度
10043,373852,77306077,中位,调节高度
10044,373852,77306089,低位,调节高度
10051,374031,77215060,,
10052,374032,77215061,,
10053,374033,77215062,,
10054,374034,77215063,,
10055,374035,77215064,,
10056,374036,77215065,,
10057,374037,77215066,,
10058,374038,77215067,,
10059,374039,77215068,,
10060,374040,77215069,,
10061,374041,77215070,,
10062,374042,77215071,,
10063,374051,77306090,,
10064,374052,77306091,,
10065,374053,77306092,,
10066,374054,77306093,,
10067,374055,77306094,,
10068,374056,77306095,,
10069,374057,77306096,,
10070,374058,77306097,,
10071,374059,77306098,,
10072,374060,77306099,,
10073,374061,77306100,,
10074,374062,77306101,,
10075,374071,77306102,,
10076,374072,77306103,,
10077,374073,77306104,,
10078,374074,77306105,,
10079,374081,77306106,,
10080,374082,77306107,,
10081,374083,77306108,,
10082,374084,77306109,,
10083,374085,77306110,,
10084,374091,77306111,,
10085,374092,77306112,,
10086,374093,77306113,,
10091,374700,77320021,,
10092,374701,77320023,,
10093,374702,77320024,,
10094,374703,77320025,,
10095,374704,77320026,,
10096,374705,77320027,,
10097,374706,77320028,,
10098,374707,77320029,,
10099,374708,77320030,,
10100,374709,77320031,,
10101,374710,77320032,,
10102,374711,77320033,,
10103,374712,77320034,,
10104,374713,77320035,,
10105,374714,77320036,,
10106,374715,77320037,,
