附加值ID	groupId列表	宝箱gadgetId
1	133309117	70330366,70330369,70330374,70330378,70330391
2	133309132	70330366,70330381,70330383,70330384,70330387
3	133309136	70330366,70330374,70330376,70330378,70330383
4	133309137	70330366,70330370,70330372,70330373,70330374,70330379
5	133309138	70330366,70330369,70330373,70330381,70330384
6	133309341	70330366,70330369,70330374,70330387,70330389
7	133307029	70330366,70330367,70330374,70330377
8	133308058	70330366,70330374,70330379,70330383,70330387
9	133310080	70330366,70330374,70330379,70330383,70330391
10	133310081	70330366,70330367,70330379,70330381,70330384
11	133313081	70330387,70330379,70330381,70330383,70330391
12	133314130	70330373,70330384,70330366,70330383,70330378
13	133314134	70330383,70330391,70330366,70330384,70330373
14	133314135	70330387,70330389,70330366,70330383
15	133313090	70330374,70330373,70330383,70330379,70330384
16	133307176	70330378,70330369,70330366,70330383,70330387
17	133307177	70330376,70330369,70330366,70330379,70330367,70330386
18	133314164	70330368,70330379,70330384,70330374,70330372
