台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	情绪模组ID	动作ID	眼睛表情路径	是否眨眼
210010101			1	20019				
210010201			1	20022				
210010301			1	20023				
210010401	210010402		1	20044				
210010402	210010403		1	1005				
210010403			1	1005				
210010501	210010502		1	20045				
210010502	210010503		1	20045				
210010503			1	20045				
210020101			1	20042				
210020201			1	20028				
210039990			1	2429				
210030101	210030102		1	2429				
210030102	210030103	1	2					
210030103	210030104		1	2429				
210030104	210030105		1	2429				
210030105	210030114		1	2429				
210030114	210030106	1	1	2429				
210030106	210030107		1	2429				
210030107	210030108		1	2429				
210030108	210030109		1	2429				
210030109	210030110		1	2429				
210030110			1	2429				
210030111	210030112		1	2429				
210030112	210030113		1	2429				
210030113			1	2429				
210030201	210030202		2					
210030202			1	2429				
210030301	210030302		2					
210030302			1	2429				
210030303	210030304		1	2429				
210030304	210030305		1	2429				
210030305			1	2429				
210031101	210031102		1	2429				
210031102			1	2429				
210032001	210032002		1	2429				
210032002			1	2429				
210032003	210032004		1	2429				
210032004			1	2429				
210033001	210033002		1	2429				
210033002	210033003	1	2					
210033003	210033004		1	2429				
210033004	210033005		1	2429				
210033005	210033015		1	2429				
210033015	210033006	1	1	2429				
210033006	210033007		1	2429				
210033007	210033008		1	2429				
210033008	210033009		1	2429				
210033009	210033010	1	2					
210033010	210033011		1	2429				
210033011	210033012		1	2429				
210033012	210033013		1	2429				
210033013	210033014		1	2429				
210033014			1	2429				
210033101	210033102		1	2429				
210033102	210033103		1	2429				
210033103	210033104	1	2					
210033104	210033105		1	2429				
210033105	210033106		1	2429				
210033106	210033107		1	2429				
210033107	210033108		1	2429				
210033108			1	2429				
210039901	210039902		1	2429				
210039902	210039903	1	2					
210039903	210039904		1	2429				
210039904	210039905		1	2429				
210039905	210039906		1	2429				
210039906	210039907		1	2429				
210039907	210039908		1	2429				
210039908			1	2429				
210039909	210039910		2					
210039910	210039911		1	2429				
210039911	210039912		1	2429				
210039912			1	2429				
210048101	210048102		1	1005				
210048102			1	1005				
210048103	210048104		1	1005				
210048104	210048105		1	1005				
210048105			1	1005				
210040101	210040102,210040104		1	2211				
210040102	210040103	1	2					
210040103	210040106		1	2211				
210040104	210040105		2					
210040105	210040106		1	2211				
210040106	210040107		1	2211				
210040107	210040108		1	2211				
210040108	210040109		1	2211				
210040109	210040110		1	2211				
210040110	210040111		1	2211				
210040111	210040112,210040116,210040122		1	2211				
210040112	210040113		2					
210040113	210040114		1	2211				
210040114	210040115		1	2211				
210040115	210040129		1	2211				
210040116	210040117		2					
210040117	210040118		1	2211				
210040118	210040119		1	2211				
210040119	210040120		1	2211				
210040120	210040121		1	2211				
210040121	210040129		1	2211				
210040122	210040123		2					
210040123	210040124		1	2211				
210040124	210040125		1	2211				
210040125	210040126		1	2211				
210040126	210040127		1	2211				
210040127	210040128		1	2211				
210040128	210040129		1	2211				
210040129	210040130		1	2211				
210040130	210040131		1	2211				
210040131	210040132		1	2211				
210040132			1	2211				
210049001	210049002		1	221101				
210049002	210049003	1	2					
210049003	210049004		1	221101				
210049004	210049005		1	221101				
210049005	210049006		1	221101				
210049006	210049007		1	221101				
210049007	210049008		1	221101				
210049008	210049009		1	221101				
210049009	210049010		1	2211				
210049010			1	2211				
210040201	210040202		2					
210040202	210040203		1	2211				
210040203			1	2211				
210040901	210040902		2					
210040902			1	2211				
210040301			1	2211				
210049201	210049202		2					
210049202	210049203		1	2211				
210049203			1	2211				
210049301	210049302		2					
210049302	210049303		1	2211				
210049303	210049304		1	2211				
210049304			1	2211				
210049401	210049402		2					
210049402	210049403		1	2211				
210049403	210049404		1	2211				
210049404			1	2211				
210049501	210049502		2					
210049502	210049503		1	2211				
210049503	210049504		1	2211				
210049504			1	2211				
210049601	210049602		2					
210049602	210049603		1	2211				
210049603	210049604		1	2211				
210049604			1	2211				
210049701	210049702		2					
210049702			1	2211				
210042001	210042002		1	2211				
210042002	210042003	1	2					
210042003	210042004		1	2211				
210042004	210042005		1	2211				
210042005	210042006		1	2211				
210042006	210042007		1	2211				
210042007	210042008	1	2					
210042008	210042009		1	2211				
210042009	210042010		1	2211				
210042010	210042011		1	2211				
210042011	210042012		1	2211				
210042012	210042013		1	2211				
210042013			1	2211				
210042201	210042202		1	2211				
210042202	210042203		1	2211				
210042203			1	2211				
210043001			1	2211				
210044001			1	2211				
210045001	210045003		1	2211				
210045002	210045003		1	2211				
210045003	210045004	1	2					
210045004	210045005		1	2211				
210045005	210045006		1	2211				
210045006	210045007		1	2211				
210045007	210045008		1	2211				
210045008	210045009,210045016,210045021		1	2211				
210045009	210045010	1	2					
210045010	210045011		1	2211				
210045011	210045012		1	2211				
210045012	210045013		1	2211				
210045013	210045014		1	2211				
210045014	210045015		1	2211				
210045015	210045028		1	2211				
210045028	210045029		1	2211				
210045016	210045017		2					
210045017	210045018		1	2211				
210045018	210045019		1	2211				
210045019	210045020		1	2211				
210045020	210045029		1	2211				
210045029	210045030		1	2211				
210045030			1	2211				
210045021	210045022		2					
210045022	210045023		1	2211				
210045023	210045024		1	2211				
210045024	210045025		1	2211				
210045025	210045026		1	2211				
210045026	210045027		1	2211				
210045027			1	2211				
