台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	情绪模组ID	动作ID	眼睛表情路径	是否眨眼
10000001			1	202301				
10000002			1	203601				
10000003			1	201301				
10000101	10000102		1	1005				
10000102	10000103,10000105		1	1005				
10000103	10000104		2					
10000104	10000107		1	1005				
10000105	10000106		2					
10000106	10000107		1	1005				
10000107	10000108		1	1005				
10000108	10000109		1	1005				
10000109	10000110		1	1005				
10000110	10000111		1	1005				
10000111			1	1005				
10000201	10000202		1	203601				
10000202	10000203		1	203601				
10000203	10000204		1	203601				
10000204			1	203601				
10000221	10000222		1	1005				
10000222	10000223		1	203601				
10000223	10000224		1	203601				
10000224			1	203601				
10000231	10000232		1	203601				
10000232			1	203601				
10000301	10000302		1	202301				
10000302	10000303		1	202301				
10000303	10000304,10000305		1	202301				
10000304	10000306		2					
10000305	10000306		2					
10000306	10000307		1	1005				
10000307	10000308		1	1005				
10000308	10000309		1	1005				
10000309	10000310		1	202301				
10000310	10000311		1	202301				
10000311	10000312		1	202301				
10000312	10000313		1	202301				
10000313			1	202301				
10000321	10000322		1	1005				
10000322			1	202301				
10000331	10000332		1	202301				
10000332			1	202301				
10000333	10000334		1	200901				
10000334			1	200901				
10000401	10000402		1	201301				
10000402	10000403		1	201301				
10000403	10000404		1	201301				
10000404	10000405		1	201301				
10000405	10000406		1	201301				
10000406	10000407		1	1005				
10000407	10000408		1	201301				
10000408	10000409		1	201301				
10000409	10000410		1	201301				
10000410			1	201301				
10000411	10000412		1	201301				
10000412			1	201301				
10000413			1	201101				
10000414	10000415		1	162501				
10000415			1	162501				
10000421	10000422		1	1005				
10000422	10000423		1	201301				
10000423	10000424		1	201301				
10000424			1	201301				
10000701			1	1005				
10002101	10002102		1	209001				
10002102	10002103		1	209001				
10002103	10002104		1	209001				
10002104	10002105		1	1005				
10002105		1	2					
10002111	10002112		1	1005				
10002112			1	1005				
10002113			1	209001				
10002201	10002202		1	207201				
10002202	10002203		1	207201				
10002203	10002204		1	207201				
10002204	10002205		1	207201				
10002205	10002206		1	207201				
10002206	10002207		1	207201				
10002207		1	2					
10002208			1	207201				
10002221	10002222		1	2003007				
10002222			1	2003007				
10002211	10002212		1	1005				
10002212			1	1005				
10010101	10010102		1	2002901				
10010102			1	1005				
10010103	10010104		1	2003001				
10010104			1	1005				
10010111	10010112		1	2003013				
10010112			1	1005				
10010121	10010122		1	2003014				
10010122			1	1005				
10000801			1	1005				
10000802			1	1005				
10000803			1	10211				
10000804			1	10211				
10000805			1	10211				
10000806			1	10211				
10000807			1	10211				
10000808			1	10211				
10000809			1	10211				
10000810			1	10211				
10000811			1	10211				
10000812			1	10211				
10000813			1	10211				
10000814			1	10211				
10000815			1	10211				
10000816			1	10211				
10000817			1	10211				
10000818			1	10211				
10000819			1	10211				
10000820			1	10211				
10000821			1	10211				
10000822			1	10211				
10000823			1	10211				
10000824			1	10211				
10000825			1	10211				
10000826			1	10211				
10001501	10001502		1	1005				
10001502	10001503		1	1005				
10001503	10001504		1	1005				
10001504	10001505		1	1005				
10001505	10001506		1	1005				
10001506	10001507		1	1005				
10001507	10001508,10001509		1	1005				
10001508			2					
10001509			2					
10001521	10001522		1	1005				
10001522	10001523		1	1005				
10001523			1	1005				
10001051			1	1005				
10001001			1	10061				
10001002			1	10062				
10001003			1	10063				
10001004			1	10064				
10001021			1	20038				
10001022			1	20038				
10001023			1	20038				
10001024			1	20038				
10001201			1	10061				
10001202			1	10200				
10001203			2					
10001204			1	10200				
10001205			1	10061				
10001206			1	10061				
10001207			1	10061				
10001208			1	10061				
10001209			1	10061				
10001210			1	10061				
10001211			1	10061				
10001212			1	10061				
10001213			1	10061				
10001214			1	10061				
10001215			1	10061				
10001216			1	10061				
10001217			1	10061				
10001218			1	10061				
10001219			1	10061				
10001220			1	10061				
10001221			1	10061				
10001222			1	10061				
10001223			1	10061				
10001224			1	10061				
10001225			1	10061				
10001226			1	10061				
10001227			1	10061				
10001228			1	10061				
10001229			1	10061				
10001230			1	10061				
10001231			1	10061				
10001232			1	10061				
10001233			1	10061				
10001234			1	10061				
10001235			1	10061				
10001236			1	10061				
10001237			1	10061				
10001238			1	10061				
10001239			1	10061				
10001301	10001302,10001303		1	1005				
10001302	10001304		2					
10001303	10001304		2					
10001304	10001305		1	1005				
10001305	10001306		1	1005				
10001306	10001307		1	10200				
10001307	10001308		1	1005				
10001308	10001309		1	10200				
10001309	10001310		1	10200				
10001310	10001311		1	1005				
10001311	10001312		1	1005				
10001312	10001313		1	10200				
10001313	10001314		1	10200				
10001314	10001315,10001317,10001319		1	10200				
10001315	10001316		2					
10001316	10001321		1	10200				
10001317	10001318		2					
10001318	10001321		1	10200				
10001319	10001320		2					
10001320	10001321		1	10200				
10001321	10001322		1	10200				
10001322	10001323		1	10200				
10001323	10001324		1	10200				
10001324	10001325		1	10200				
10001325	10001326		1	10200				
10001326	10001327		1	10200				
10001327	10001328		1	10200				
10001328	10001329		1	1005				
10001329	10001330		1	10200				
10001330	10001331		1	10200				
10001331	10001332		1	10200				
10001332			1	10200				
10001401	10001402		1	1005				
10001402	10001403		1	10200				
10001403	10001404		1	10200				
10001404	10001405		1	1005				
10001405	10001406		1	10200				
10001406	10001407		1	10200				
10001407	10001408		1	1005				
10001408	10001409		1	10200				
10001409	10001410		1	10200				
10001410	10001411		1	1005				
10001411	10001412		1	10200				
10001412	10001413,10001414		1	10200				
10001413	10001415		2					
10001414	10001415		2					
10001415	10001416		1	10200				
10001416	10001417		1	10200				
10001417	10001418		1	1005				
10001418	10001419		1	10200				
10001419	10001420		1	10200				
10001420	10001421		1	1005				
10001421	10001422		1	10200				
10001422	10001423		1	10200				
10001423	10001424,10001426		1	10200				
10001424	10001425		2					
10001425	10001428		1	10200				
10001426	10001427		2					
10001427	10001428		1	10200				
10001428	10001429		1	10200				
10001429	10001430		1	10200				
10001430	10001431		1	10200				
10001431			1	10200				
10020201	10020202,10020203		1	2002801				
10020202	10020203		2					
10020203	10020204		2					
10020204	10020205		1	2002801				
10020205	10020206		1	2002801				
10020206	10020207		1	1005				
10020207	10020208		1	2003004				
10020208	10020209		1	2003005				
10020209	10020210		1	2003004				
10020210	10020211		1	2002801				
10020211			1	2002801				
10020501	10020502		1	2002801				
10020502	10020503		1	1005				
10020503	10020504		1	2002801				
10020504	10020505		1	2002801				
10020505	10020506		1	2002801				
10020506	10020507		1	2002801				
10020507	10020508		1	2002801				
10020508	10020509		1	2002801				
10020509	10020510		1	2002801				
10020510	10020511		1	2002801				
10020511	10020512,10020513		1	2002801				
10020512	10020513		2					
10020513	10020514		2					
10020514	10020515		1	2002801				
10020515			1	2002801				
10030101			1	1005				
10030102			1	1005				
10030103			1	1005				
10030104			1	1005				
10030105			1	10204				
10030106			2					
10030107			2					
10030108			2					
10030109			2					
10030110			2					
10030111			2					
10030112			2					
10030113			2					
10030114			2					
10030301	10030302		1	10204				
10030302	10030303		1	1005				
10030303	10030308		1	10204				
10030304	10030305		1	10204				
10030305	10030306		1	10204				
10030306	10030307		1	1005				
10030307	10030308		1	10204				
10030308	10030309		1	10204				
10030309	10030310		1	10204				
10030310	10030311		1	1005				
10030311	10030312		1	1005				
10030312	10030313		1	1005				
10030313			1	1005				
10030401	10030402	1	2					
10030402	10030403		1	220801				
10030403	10030404		1	220801				
10030404	10030405		1	1005				
10030405	10030406		1	220801				
10030406	10030407		1	220801				
10030407	10030408		1	220801				
10030408	10030409		1	220801				
10030409	10030410		1	1005				
10030410	10030411		1	220801				
10030411	10030412		1	220801				
10030412	10030413		1	220801				
10030413	10030414		1	1005				
10030414	10030415		1	220801				
10030415	10030416		1	220801				
10030416	10030417		1	220801				
10030417	10030418		1	220801				
10030418	10030419,10030421		1	1005				
10030419	10030420		2					
10030420	10030423		1	1005				
10030421	10030422		2					
10030422	10030423		1	1005				
10030423			1	1005				
10030601	10030602		1	220401				
10030602	10030603	1	2					
10030603	10030604		1	220401				
10030604	10030605		1	1005				
10030605	10030606	1	2					
10030606	10030607		1	220401				
10030607	10030608		1	220401				
10030608	10030609		1	220401				
10030609	10030610		1	1005				
10030610	10030611		1	220401				
10030611	10030612		1	220401				
10030612	10030613		1	220401				
10030613	10030614		1	220401				
10030614	10030615		1	1005				
10030615	10030616		1	220401				
10030616			1	1005				
10030801	10030802		1	1005				
10030802	10030803		1	1005				
10030803	10030804		1	1005				
10030804			1	1005				
10030901	10030902		1	220401				
10030902	10030903		1	220401				
10030903	10030904		1	1005				
10030904			1	1005				
10031001	10031002		1	220801				
10031002	10031003		1	1005				
10031003	10031004		1	220801				
10031004	10031005		1	1005				
10031005	10031006		1	220801				
10031006	10031007		1	220801				
10031007	10031008		1	220801				
10031008	10031009		1	220801				
10031009	10031010,10031012		1	220801				
10031010	10031011		2					
10031011	10031013		1	1005				
10031012	10031013		2					
10031013	10031014		1	220801				
10031014			1	220801				
10031101			1	1005				
10031201			1	1005				
10031202			1	1005				
10031203			1	1005				
10031401			1	1005				
10031402			1	1005				
10031501	10031502		1	231101				
10031502	10031503		1	1005				
10031503	10031504		1	231101				
10031504	10031505		1	1005				
10031505	10031506		1	231101				
10031506	10031507		1	1005				
10031507	10031508		1	231101				
10031508	10031509		1	231101				
10031509	10031510		1	231101				
10031510	10031511		1	231101				
10031511			1	231101				
10031601	10031602		1	220401				
10031602	10031603		1	220401				
10031603	10031604		1	220401				
10031604	10031605		1	220401				
10031605			1	220401				
10031701	10031702		1	10204				
10031702	10031703		1	1005				
10031703	10031704		1	10204				
10031704	10031705		1	1005				
10031705	10031706		1	1005				
10031706	10031707		1	10204				
10031707	10031708		1	10204				
10031708	10031709		1	10204				
10031709	10031710		1	10204				
10031710	10031711,10031712		1	10204				
10031711	10031713		2					
10031712	10031713		2					
10031713	10031714		1	10204				
10031714	10031715		1	10204				
10031715	10031716		1	10204				
10031716	10031717		1	1005				
10031717	10031718		1	10204				
10031718	10031719		1	1005				
10031719	10031720		1	10204				
10031720	10031721		1	10204				
10031721			1	1005				
10031801	10031802		1	10200				
10031802			1	10200				
10031803	10031804		1	10200				
10031804	10031805		1	10200				
10031805	10031809		1	10200				
10031806	10031807		1	10200				
10031807	10031808		1	10200				
10031808	10031809		1	10200				
10031809	10031810		1	10200				
10031810	10031811		1	10200				
10031811	10031812		1	10200				
10031812	10031813		1	1005				
10031813	10031814		1	10200				
10031814	10031815		1	10200				
10031815	10031816		1	10200				
10031816	10031817		1	1005				
10031817	10031818		1	10200				
10031818	10031819		1	10200				
10031819	10031820,10031821		1	10200				
10031820	10031822		2					
10031821	10031822		2					
10031822	10031823		1	1005				
10031823	10031824		1	1005				
10031824	10031825		1	1005				
10031825	10031826,10031827		1	10200				
10031826	10031828		2					
10031827	10031828		2					
10031828	10031829		1	10200				
10031829	10031830		1	10200				
10031830	10031831		1	10200				
10031831	10031832		1	1005				
10031832	10031833		1	10200				
10031833	10031834		1	10200				
10031834	10031835		1	10200				
10031835	10031836		1	10200				
10031836			1	10200				
10039501			1	2208				
10039401	10039402		2					
10039402	10039403		1	2208				
10039403	10039404		1	2208				
10039404	10039405,10039410		1	2208				
10039405	10039406		2					
10039406	10039407		1	2208				
10039407	10039408		1	2208				
10039408	10039409		1	2208				
10039409			1	2208				
10039410	10039411		2					
10039411	10039412		1	2208				
10039412	10039413		1	2208				
10039413			1	2208				
10039301	10039302		2					
10039302	10039303		1	2208				
10039303	10039304		1	2208				
10039304	10039305		1	2208				
10039305			1	2208				
10039201	10039202		2					
10039202			1	2208				
10039101			1	220401				
10039001			1	220401				
10038901			1	220401				
10038801			1	220801				
10038701			1	220801				
10080201	10080202		1	10259				
10080202	10080203	1	2					
10080203	10080204		1	10259				
10080204	10080205		1	1005				
10080205	10080206		1	10259				
10080206	10080207		1	10259				
10080207	10080208		1	1005				
10080208	10080209		1	10259				
10080209	10080210		1	10259				
10080210	10080211		1	10259				
10080211	10080212		1	10259				
10080212	10080213		1	10259				
10080213	10080214		1	1005				
10080214	10080215		1	10259				
10080215	10080216,10080218		1	10259				
10080216	10080217		2					
10080217			1	10259				
10080218	10080219		2					
10080219	10080220		1	1005				
10080220			1	10259				
10080221			1	1005				
10080222			1	1005				
10080223			1	1005				
10089901	10089902		1	10259				
10089902	10089903		1	10259				
10089903			1	10259				
10080501	10080502		1	10260				
10080502	10080503		1	10260				
10080503	10080504		1	10260				
10080504	10080505,10080507		1	10260				
10080505	10080506		2					
10080506	10080509		1	10260				
10080507	10080508		2					
10080508	10080509		1	10260				
10080509	10080510		1	10260				
10080510			1	10260				
10089801	10089802		1	10260				
10089802	10089803		1	10260				
10089803	10089804		1	10260				
10089804	10089805		1	10260				
10089805	10089806		1	10260				
10089806	10089807	1	2					
10089807	10089808		1	10260				
10089808			1	10260				
10080601	10080602		1	10259				
10080602	10080603		2					
10080603	10080604		1	10259				
10080604	10080605		1	10259				
10080605	10080606		1	10259				
10080606	10080607		1	10259				
10080607	10080608		1	10260				
10080608	10080609		1	1005				
10080609	10080610		1	1005				
10080610	10089601		1	1005				
10089701	10089702		1	10259				
10089702	10089703		1	10259				
10089703	10089704		1	10260				
10089704	10089705		1	10260				
10089705	10089706,10089709		1	10259				
10089706	10089707		2					
10089707	10089708		1	10259				
10089708	10089712		1	10260				
10089709	10089710		2					
10089710	10089711		1	1005				
10089711	10089712		1	10259				
10089712	10089713		1	10259				
10089713	10089714		1	10259				
10089714	10089715		1	10260				
10089715	10089716		1	1005				
10089716	10089717		1	1005				
10089717	10089601		1	1005				
10089601	10089602		1	10257				
10089602			1	10257				
10080701	10080702		1	10257				
10080702	10080703		1	10257				
10080703	10080704,10080706		1	1005				
10080704	10080705		2					
10080705	10080708		1	10257				
10080706	10080707		2					
10080707	10080708		1	10257				
10080708	10080709		1	10257				
10080709	10080710		1	10257				
10080710	10080711		1	10257				
10080711	10080712		1	10257				
10080712	10080713		1	10257				
10080713	10080714		1	10257				
10080714	10080715		1	10257				
10080715	10080716		1	10257				
10080716	10080717		1	10257				
10080717	10080718		1	10257				
10080718	10080719		1	10257				
10080719	10080720	1	2					
10080720	10080721		1	1005				
10080721	10080722,10080723		1	1005				
10080722	10080724		2					
10080723	10080724		2					
10080724	10080725		1	10257				
10080725	10080726		1	10257				
10080726	10080727		1	10257				
10080727	10080728		1	1005				
10080728	10080729		1	10257				
10080729			1	10257				
10091501	10091502		1	1005				
10091502	10091510		1	1005				
10091510	10091503		1	1005				
10091503	10091504		1	1005				
10091504	10091505		1	1005				
10091505	10091506		1	1005				
10091506	10091507		1	1005				
10091507	10091508		1	1005				
10091508	10091509		1	1005				
10091509			1	1005				
10090201	10090202		1	1005				
10090202	10090203		1	1005				
10090203	10090204		1	1005				
10090204			1	1005				
10099901			1	1005				
10090301	10090302		1	1005				
10090302	10090303		1	1005				
10090303	10090304		1	1005				
10090304	10090305		1	1005				
10090305	10090306		1	1005				
10090306			1	1005				
10099801			1	1005				
10090401	10090402		1	1005				
10090402	10090403		1	1005				
10090403	10090404		1	1005				
10090404			1	1005				
10099701			1	1005				
10091301			1	10258				
10091401	10091402		1	10258				
10091402	10091403,10091405		1	10258				
10091403	10091404		2					
10091404	10091407		1	10258				
10091405	10091406		2					
10091406	10091407		1	10258				
10091407	10091408		1	10258				
10091408	10091409		1	1005				
10091409	10091410		1	1005				
10091410	10091411		1	1005				
10091411	10091412		1	10258				
10091412	10091413		1	10258				
10091413	10091414		1	10258				
10091414	10091415		1	10258				
10091415	10091416		1	10258				
10091416	10091417		1	10258				
10091417	10091418		1	10258				
10091418	10091419	1	2					
10091419	10091420		1	1005				
10091420	10091421,10091423		1	10258				
10091421	10091422		2					
10091422	10091425		1	10258				
10091423	10091424		2					
10091424	10091425		1	10258				
10091425	10091426		1	10258				
10091426	10091427		1	1005				
10091427	10091428	1	2					
10091428	10091429		1	1005				
10091429	10091430		1	1005				
10091430	10091431		1	1005				
10091431	10091432		1	10258				
10091432	10091433		1	10258				
10091433	10091434		1	10258				
10091434	10091435		1	10258				
10091435	10091436		1	10258				
10091436	10091437		1	10258				
10091437	10091438		1	10258				
10091438			1	10258				
10099601	10099602		1	10305				
10099602	10099603		1	10305				
10099603	10099604		1	10305				
10099604			1	10305				
10099301			1	10311				
10099201			1	10312				
10099101			1	10313				
10099001			1	10314				
10098901			1	10315				
10100201	10100202,10100203		1	10235				
10100202	10100204		2					
10100203	10100204		2					
10100204	10100205		1	10235				
10100205	10100206		1	10235				
10100206	10100207		1	1005				
10100207	10100208		1	10235				
10100208	10100209		1	1005				
10100209	10100210		1	10235				
10100210	10100211	1	2					
10100211	10100212		1	1005				
10100212	10100213		1	1005				
10100213	10100214,10100215		1	1005				
10100214	10100216		2					
10100215	10100216		2					
10100216			1	1005				
10100221			1	10235				
10100301	10100302		1	10200				
10100302	10100303		1	10200				
10100303	10100304		1	1005				
10100304	10100305		1	10200				
10100305			1	10200				
10100401			1	10236				
10100402			1	10236				
10100403			1	2022				
10100404			1	10232				
10100405			1	10200				
10100406			1	1005				
10100407			2					
10100408			1	10232				
10100409			1	10232				
10100410			1	10200				
10100501	10100502,10100503		1	10200				
10100502	10100504		2					
10100503	10100504		2					
10100504	10100505		1	10200				
10100505	10100506		1	10200				
10100506	10100507		1	1005				
10100507	10100508		1	10232				
10100508	10100509		1	1005				
10100509	10100510		1	10232				
10100510	10100511		1	1005				
10100511	10100512		1	10232				
10100512	10100513		1	1005				
10100513	10100514		1	10200				
