台词ID,下一句台词ID,显示类型,[对话角色]类型,[对话角色]ID,情绪模组ID,动作ID,眼睛表情路径,是否眨眼
710010101,710010102,,1,20048,,,,
710010102,710010103,,1,1005,,,,
710010103,,,1,1005,,,,
710020101,,,1,20039,,,,
710020201,,,1,20040,,,,
710020301,,,1,20041,,,,
210220101,,,1,2211,,,,
210229001,210229002,1,2,,,,,
210229002,,,1,2211,,,,
210229101,210229102,1,2,,,,,
210229102,,,1,2211,,,,
210228001,210228002,,1,2211,,,,
210228002,210228003,,1,2211,,,,
210228003,210228004,,1,2211,,,,
210228004,210228005,,1,2211,,,,
210228005,210228006,,1,2211,,,,
210228006,210228007,,1,2211,,,,
210228007,,,1,2211,,,,
210229201,210229202,1,2,,,,,
210229202,210229203,,1,2211,,,,
210229203,210229204,,1,2211,,,,
210229204,,,1,2211,,,,
210229301,210229302,1,2,,,,,
210229302,210229303,,1,2211,,,,
210229303,210229304,,1,2211,,,,
210229304,210229305,,1,2211,,,,
210229305,,,1,2211,,,,
210229401,210229402,1,2,,,,,
210229402,210229403,,1,2211,,,,
210229403,210229404,,1,2211,,,,
210229404,210229405,,1,2211,,,,
210229405,,,1,2211,,,,
210220201,,,1,2211,,,,
210220301,210229501,,1,2211,,,,
210229501,210229502,1,2,,,,,
210229502,210220302,,1,2211,,,,
210220302,210220303,,1,2211,,,,
210220303,210220304,,1,2211,,,,
210220304,210220305,,1,2211,,,,
210220305,210220306,,1,2211,,,,
210220306,210220307,,1,2211,,,,
210220307,210220308,,1,2211,,,,
210220308,210220309,,1,2211,,,,
210220309,210220310,,1,2211,,,,
210220310,210220311,,1,2211,,,,
210220311,210220312,,1,2211,,,,
210220312,210220313,,1,2211,,,,
210220313,210220314,,1,2211,,,,
210220314,210220315,,1,2211,,,,
210220315,210220316,,1,2211,,,,
210220316,210220317,,1,2211,,,,
210220317,210220318,,1,2211,,,,
210220318,,,1,2211,,,,
210220401,,,1,2211,,,,
210220501,210229601,,1,2211,,,,
210229601,210229602,1,2,,,,,
210229602,210229603,,1,2211,,,,
210229603,210229604,,1,2211,,,,
210229604,210229605,,1,2211,,,,
210229605,210229606,,1,2211,,,,
210229606,210229607,,1,2211,,,,
210229607,210220502,1,2,,,,,
210220502,210220503,,1,2211,,,,
210220503,210220504,,1,2211,,,,
210220504,210220505,,1,2211,,,,
210220505,210220506,,1,2211,,,,
210220506,,,1,2211,,,,
210229901,,,,,,,,
210210101,210210102,,1,20076,,,,
210210102,,,1,20076,,,,
210210103,,,1,20076,,,,
210210301,,,1,20073,,,,
210210401,,,1,20074,,,,
210210501,210210502,,1,20075,,,,
210210502,,,1,20075,,,,
210210801,210210802,,1,2306,,,,
210210802,210210803,,1,2306,,,,
210210803,210210804,,1,2306,,,,
210210804,210210805,,1,2306,,,,
210210805,210210806,,1,2306,,,,
210210806,210210807,,1,2306,,,,
210210807,210210808,1,2,,,,,
210210808,210210809,,1,2306,,,,
210210809,210210810,,1,2306,,,,
210210810,210210811,1,2,,,,,
210210811,210210812,,1,2306,,,,
210210812,210210813,,1,2306,,,,
210210813,210210814,,1,2306,,,,
210210814,210210815,,1,2306,,,,
210210815,210210816,,1,2306,,,,
210210816,210210817,,1,2306,,,,
210210817,210210818,,1,2306,,,,
210210818,,,1,2306,,,,
210211101,210211102,1,2,,,,,
210211102,210211103,,1,2306,,,,
210211103,210211104,,1,2306,,,,
210211104,210211105,,1,2306,,,,
210211105,210211106,1,2,,,,,
210211106,210211107,,1,2306,,,,
210211107,210211108,,1,2306,,,,
210211108,210211109,,1,2306,,,,
210211109,210211110,,1,2306,,,,
210211110,210211111,1,2,,,,,
210211111,210211112,,1,2306,,,,
210211112,210211113#210211116,,1,2306,,,,
210211113,210211114,1,2,,,,,
210211114,210211115,,1,2306,,,,
210211115,210211119,,1,2306,,,,
210211116,210211117,1,2,,,,,
210211117,210211118,,1,2306,,,,
210211118,210211119,,1,2306,,,,
210211119,210211120,,1,2306,,,,
210211120,210211121,,1,2306,,,,
210211121,210211122#210211123,,1,2306,,,,
210211122,210211124,,2,,,,,
210211123,210211124,,2,,,,,
210211124,210211125,,1,2306,,,,
210211125,,,1,2306,,,,
210212301,210212302,,1,2306,,,,
210212302,210212303,,1,2306,,,,
210212303,,,1,2306,,,,
210211401,210211402#210211406,,1,2306,,,,
210211402,210211403,,2,,,,,
210211403,210211404,,1,2306,,,,
210211404,210211405,,1,2306,,,,
210211405,,,1,2306,,,,
210211406,210211407,,2,,,,,
210211407,210211408,,1,2306,,,,
210211408,210211409,,1,2306,,,,
210211409,210211410,,1,2306,,,,
210211410,210211411,,1,2306,,,,
210211411,,,1,2306,,,,
210212501,210212502,,1,2306,,,,
210212502,210212503,1,2,,,,,
210212503,210212504,,1,2306,,,,
210212504,210212505#210212507,,1,2306,,,,
210212505,210212506,,2,,,,,
210212506,210212511,,1,2306,,,,
210212507,210212508,,2,,,,,
210212508,210212509,,1,2306,,,,
210212509,210212510,,1,2306,,,,
210212510,210212511,,1,2306,,,,
210212511,210212512,,1,2306,,,,
210212512,210212513#210212514,,1,2306,,,,
210212513,210212515,,2,,,,,
210212514,210212515,,2,,,,,
210212515,210212516,,1,1005,,,,
210212516,210212517,,1,2306,,,,
210212517,,,1,2306,,,,
210211301,,,1,20077,,,,
210211302,,,1,20077,,,,
210211303,,,1,20077,,,,
210211501,,,1,2306,,,,
210211502,,,1,2306,,,,
210211503,,,1,2306,,,,
210210601,210210602,,1,20082,,,,
210210602,210210603,1,2,,,,,
210210603,210210604,,1,20082,,,,
210210604,210210605,,1,20082,,,,
210210605,210210606#210210608,,1,20082,,,,
210210606,210210607,,2,,,,,
210210607,210210610,,1,20082,,,,
210210608,210210609,,2,,,,,
210210609,210210610,,1,20082,,,,
210210610,210210611,,1,20082,,,,
210210611,210210612,,1,20082,,,,
210210612,210210613,,1,20082,,,,
210210613,210210614,,1,20082,,,,
210210614,210210616#210210621#210210624,,1,20082,,,,
210210615,,,1,20082,,,,
210210616,210210617,,2,,,,,
210210617,210210618,,1,20082,,,,
210210618,210210619,,1,20082,,,,
210210619,210210620,,1,20082,,,,
210210620,210210625,,1,20082,,,,
210210621,210210622,,2,,,,,
210210622,210210623,,1,20082,,,,
210210623,210210625,,1,20082,,,,
210210624,210210625,,2,,,,,
210210625,210210626,,1,20082,,,,
210210626,210210627,,1,20082,,,,
210210627,210210628,,1,20082,,,,
210210628,210210629,,1,20082,,,,
210210629,210210630,,1,20082,,,,
210210630,210210631,,1,20082,,,,
210210631,210210632,,1,20082,,,,
210210632,,,1,20082,,,,
210210633,,,1,20082,,,,
210210634,,,1,20082,,,,
210210701,210210702,,1,20082,,,,
210210702,210210703,,1,20082,,,,
210210703,,,1,20082,,,,
210213301,210213302,,1,2310,,,,
210213302,210213303,,1,2310,,,,
210213303,210213304,,1,2310,,,,
210213304,,,1,2310,,,,
210214401,210214402,,1,2305,,,,
210214402,210214403,,1,2305,,,,
210214403,210214404,,1,2305,,,,
210214404,,,1,2305,,,,
210214501,210214502,,1,2139,,,,
210214502,210214503,,1,2139,,,,
210214503,,,1,2139,,,,
210215501,210215502,,1,2303,,,,
210215502,210215503,,1,2303,,,,
210215503,,,1,2303,,,,
210215504,,,1,2303,,,,
210216601,210216602,,1,2308,,,,
210216602,210216603,,1,2308,,,,
210216603,,,1,2308,,,,
210216604,,,1,2308,,,,
210217701,210217702,,1,2309,,,,
210217702,210217703,,1,2309,,,,
