台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	情绪模组ID	动作ID	眼睛表情路径	是否眨眼
201020101	201020102		1	1537				
201020102	201020103	1	2					
201020103	201020104		1	1537				
201020104	201020105,201020107		1	1537				
201020105	201020106		2					
201020106			1	1537				
201020107	201020108		2					
201020108	201020109		1	1537				
201020109	201020110		1	1537				
201020110			1	1537				
201020201	201020202,201020205		1	1537				
201020202	201020203	1	2					
201020203	201020204		1	1537				
201020204			1	1537				
201020205	201020206	1	2					
201020206	201020207		1	1537				
201020207	201020208		1	1537				
201020208			1	1537				
201020301	201020302		1	1429				
201020302	201020303	1	2					
201020303	201020304		1	1429				
201020304	201020305		1	1429				
201020305	201020306		1	1429				
201020306	201020307	1	2					
201020307	201020308		1	1429				
201020308	201020309		1	1429				
201020309	201020310		1	1429				
201020310	201020311	1	2					
201020311	201020312,201020313		1	1429				
201020312	201020316		2					
201020313	201020314		2					
201020314	201020315		1	1429				
201020315	201020316		1	1429				
201020316	201020317		1	1429				
201020317	201020318		1	1429				
201020318	201020319		1	1429				
201020319	201020320		1	1429				
201020320	201020321		1	1429				
201020321	201020322		1	1429				
201020322	201020323		1	1429				
201020323	201020324		1	1429				
201020324	201020325		1	1429				
201020325	201020326,201020332,201020336		1	1429				
201020326	201020327		2					
201020327	201020328		1	1429				
201020328	201020329		1	1429				
201020329	201020330		1	1429				
201020330	201020331		1	1429				
201020331	201020341		1	1429				
201020332	201020333		2					
201020333	201020334		1	1429				
201020334	201020335		1	1429				
201020335	201020341		1	1429				
201020336	201020337		2					
201020337	201020338		1	1429				
201020338	201020339		1	1429				
201020339	201020340		1	1429				
201020340	201020341		1	1429				
201020341	201020342		1	1429				
201020342	201020343		1	1429				
201020343	201020344		1	1429				
201020344	201020345		1	1429				
201020345	201020346,201020348		1	1429				
201020346	201020347		2					
201020347			1	1429				
201020348	201020349		2					
201020349	201020350		1	1429				
201020350	201020351		1	1429				
201020351	201020352		1	1429				
201020352	201020353		1	1429				
201020353			1	1429				
201020801	201020802		1	1429				
201020802			1	1429				
201020401	201020402,201020405		1	1567				
201020402	201020403		2					
201020403	201020404		1	1567				
201020404	201020407		1	1567				
201020405	201020406		2					
201020406	201020407		1	1567				
201020407	201020408		1	1567				
201020408	201020409		1	1567				
201020409	201020410		1	1567				
201020410	201020411		1	1567				
201020411	201020412,201020414		1	1567				
201020412	201020413		2					
201020413			1	1567				
201020414	201020415		2					
201020415	201020416		1	1567				
201020416			1	1567				
201020501			1	1567				
201020601	201020602		1	1567				
201020602	201020603	1	2					
201020603	201020604		1	1567				
201020604	201020605		1	1567				
201020605	201020606		1	1567				
201020606	201020607		1	1567				
201020607	201020608		1	1567				
201020608	201020609		1	1567				
201020609	201020610		1	1567				
201020610			1	1567				
201020901	201020902		1	1567				
201020902	201020903		1	1567				
201020903	201020904		1	1567				
201020904			1	1567				
201020701	201020702		1	1537				
201020702	201020703	1	2					
201020703	201020704		1	1537				
201020704	201020705,201020708,201020712		1	1537				
201020705	201020706		2					
201020706	201020707		1	1537				
201020707	201020717		1	1537				
201020708	201020709		2					
201020709	201020710		1	1537				
201020710	201020711		1	1537				
201020711	201020717		1	1537				
201020712	201020713		2					
201020713	201020714		1	1537				
201020714	201020715		1	1537				
201020715	201020716		1	1537				
201020716	201020717		1	1537				
201020717	201020718		1	1537				
201020718	201020719		1	1537				
201020719			1	1537				
201030101	201030102		1	1565				
201030102	201030103		1	1565				
201030103	201030104		1	1565				
201030104	201030105		1	1565				
201030105	201030106,201030111		1	1565				
201030106	201030107		2					
201030107	201030108		1	1565				
201030108	201030109		1	1565				
201030109	201030110		1	1565				
201030110			1	1565				
201030111	201030112		2					
201030112	201030113		1	1565				
201030113	201030114		1	1565				
201030114	201030115		1	1565				
201030115			1	1565				
201031501	201031502,201031509,201031515		1	1565				
201031502	201031503		2					
201031503	201031504		1	1565				
201031504	201031505		1	1565				
201031505	201031506		1	1565				
201031506	201031507		1	1565				
201031507	201031508		1	1565				
201031508			1	1565				
201031509	201031510		2					
201031510	201031511		1	1565				
201031511	201031512		1	1565				
201031512	201031513		1	1565				
201031513	201031514		1	1565				
201031514			1	1565				
201031515	201031516		2					
201031516	201031517		1	1565				
201031517	201031518		1	1565				
201031518	201031519		1	1565				
201031519			1	1565				
201030201	201030202		1	1005				
201030202	201030203		1	1005				
201030203			1	1005				
201030301		1	2					
201030401		1	2					
201030501		1	2					
201030601		1	2					
201030701		1	2					
201030801	201030802		1	1005				
201030802			1	1005				
201030901	201030902		1	1005				
201030902			1	1005				
201031001	201031002		1	1005				
201031002			1	1005				
201031101	201031102		1	1565				
201031102	201031103	1	2					
201031103	201031104		1	1565				
201031104	201031105	1	2					
201031105	201031106		1	1565				
201031106	201031107		1	1565				
201031107	201031108		1	1565				
201031108	201031109		1	1565				
201031109			1	1565				
201031201	201031202		1	1565				
201031202	201031203	1	2					
201031203	201031204		1	1565				
201031204	201031205	1	2					
201031205	201031206		1	1565				
201031206	201031207		1	1565				
201031207			1	1565				
201031301			1	1005				
201031401			1	1005				
201031601			1	1005				
201031602			1	1005				
201031701			1	20025				
201031801			1	20102				
201031901			1	20103				
