台词ID,下一句台词ID,显示类型,[对话角色]类型,[对话角色]ID,情绪模组ID,动作ID,眼睛表情路径,是否眨眼
4860200,,,1,1419,,,,
4860201,,,1,1005,,,,
4860202,4860203,,1,1419,,,,
4860203,4860204,,2,,,,,
4860204,4860205,,2,,,,,
4860205,4860206,,1,1419,,,,
4860206,4860207,,1,1419,,,,
4860207,4860208,,1,1005,,,,
4860208,4860209,,1,1419,,,,
4860209,4860210,,2,,,,,
4860210,4860211,,1,1419,,,,
4860211,4860212,,2,,,,,
4860212,4860213,,1,1419,,,,
4860213,4860214,,2,,,,,
4860214,4860215,,1,1419,,,,
4860215,4860216,,1,1005,,,,
4860216,4860217,,1,1005,,,,
4860217,4860218,,1,1419,,,,
4860218,4860219,,1,1419,,,,
4860219,4860220,,1,1419,,,,
4860220,4860221,,2,,,,,
4860221,4860222,,1,1419,,,,
4860222,4860223,,2,,,,,
4860223,4860224,,1,1005,,,,
4860224,4860225,,1,1419,,,,
4860225,4860226,1,2,,,,,
4860226,4860227,,1,1419,,,,
4860227,4860228,,1,1005,,,,
4860228,4860229,,1,1419,,,,
4860229,4860230,,1,1419,,,,
4860230,,,1,1005,,,,
4860301,4860302,,1,10030,,,,
4860302,4860303,,1,1005,,,,
4860303,4860304,,1,10030,,,,
4860304,4860305,,1,1005,,,,
4860305,4860306,,1,10030,,,,
4860306,4860307,,1,10030,,,,
4860307,4860308,,2,,,,,
4860308,4860309,,2,,,,,
4860309,4860310,,1,10030,,,,
4860310,4860311,,1,1005,,,,
4860311,4860312,,1,10030,,,,
4860312,4860313,,1,10030,,,,
4860313,4860314,,1,1005,,,,
4860314,4860315,,1,10030,,,,
4860315,4860316,,1,10030,,,,
4860316,4860317,,1,1005,,,,
4860317,4860318,,1,10030,,,,
4860318,4860319,,1,10030,,,,
4860319,4860320,,1,1005,,,,
4860320,,,1,1005,,,,
4860501,4860502,,1,1431,,,,
4860502,4860503,,1,1005,,,,
4860503,4860504,,1,1431,,,,
4860504,4860505,,2,,,,,
4860505,4860506,,2,,,,,
4860506,4860507,,1,1431,,,,
4860507,4860508,,1,1431,,,,
4860508,4860509,,1,1005,,,,
4860509,4860510,,1,1431,,,,
4860510,4860511,,2,,,,,
4860511,4860512,,1,1005,,,,
4860512,4860513,,2,,,,,
4860513,4860514,,1,1005,,,,
4860514,4860515,,1,1005,,,,
4860515,4860516,,1,1431,,,,
4860516,4860517,,1,1005,,,,
4860517,4860518,,1,1431,,,,
4860518,4860519,,1,1005,,,,
4860519,4860520,,1,1431,,,,
4860520,4860521,,1,1431,,,,
4860521,4860522,,2,,,,,
4860522,4860523,,2,,,,,
4860523,4860524,,1,1431,,,,
4860524,4860525,,1,1005,,,,
4860525,,,1,1005,,,,
4860701,4860702,,1,1006,,,,
4860702,4860703,,1,1005,,,,
4860703,4860704,,1,1006,,,,
4860704,4860705,,1,1005,,,,
4860705,4860706,,1,1006,,,,
4860706,4860707,,2,,,,,
4860707,4860708,,2,,,,,
4860708,4860709,,2,,,,,
4860709,4860710,,1,1006,,,,
4860710,4860711,,1,1006,,,,
4860711,4860712,,1,1005,,,,
4860712,4860713,,1,1006,,,,
4860713,4860714,,1,1006,,,,
4860714,4860715,,1,1006,,,,
4860715,4860716,,1,1005,,,,
4860716,4860717,,1,1005,,,,
4860717,4860718,,1,1005,,,,
4860718,4860719,,1,1005,,,,
4860719,,,1,1005,,,,
4860801,4860802,,1,1005,,,,
4860802,4860803,,1,1008,,,,
4860803,4860804,,1,1008,,,,
4860804,4860805,,1,1005,,,,
4860805,4860806,,1,1008,,,,
4860806,4860807,,1,1008,,,,
4860807,4860808,,2,,,,,
4860808,4860809,,2,,,,,
4860809,4860810,,1,1008,,,,
4860810,4860811,,1,1008,,,,
4860811,4860812,,1,1005,,,,
4860812,4860813,,1,1008,,,,
4860813,4860814,,1,1008,,,,
4860814,4860815,,1,1005,,,,
4860815,4860816,,1,1008,,,,
4860816,4860817,,1,1008,,,,
4860817,4860818,,1,1005,,,,
4860818,4860819,,1,1008,,,,
4860819,,,1,1005,,,,
4861001,4861002,,1,1005,,,,
4861002,4861003,,1,1004,,,,
4861003,4861004,,1,1004,,,,
4861004,4861005,,1,1005,,,,
4861005,4861006,,1,1004,,,,
4861006,4861007,,1,1004,,,,
4861007,4861008,,2,,,,,
4861008,4861009,,1,1004,,,,
4861009,4861010,,2,,,,,
4861010,4861011,,1,1004,,,,
4861011,4861012,,1,1004,,,,
4861012,4861013,,1,1005,,,,
4861013,4861014,,1,1004,,,,
4861014,4861015,,1,1004,,,,
4861015,4861016,,1,1004,,,,
4861016,4861017,,1,1004,,,,
4861017,4861018,,1,1005,,,,
4861018,4861019,,1,1004,,,,
4861019,4861020,,1,1005,,,,
4861020,,,1,1004,,,,
4861101,,,1,1419,,,,
4861201,,,1,10030,,,,
4861301,,,1,10031,,,,
4861401,,,1,1008,,,,
4870001,,,1,1005,,,,
4870002,,,1,1005,,,,
4870003,,,1,1005,,,,
4870004,,,1,1005,,,,
4870005,,,1,1005,,,,
4870006,,,1,1005,,,,
4870101,4870102,,1,1001,,,,
4870102,4870103,,1,1005,,,,
4870103,4870104,,1,1001,,,,
4870104,4870105,,1,1005,,,,
4870105,4870106,,1,1001,,,,
4870106,4870107,,1,1001,,,,
4870107,4870108,,1,10031,,,,
4870108,4870109,,2,,,,,
4870109,4870110,,1,1005,,,,
4870110,4870111,,1,1001,,,,
4870111,4870112,,1,1001,,,,
4870112,4870113,,1,1005,,,,
4870113,4870114,,1,10031,,,,
4870114,4870115,,1,1005,,,,
4870115,4870116,,1,1001,,,,
4870116,4870117,,1,1001,,,,
4870117,4870118,,1,1005,,,,
4870118,,,1,1005,,,,
4870119,,,1,1005,,,,
4870120,,,1,10031,,,,
4870121,,,1,10031,,,,
4870201,,,1,10007,,,,
4870301,4870302,,1,10031,,,,
4870302,4870303,,1,1005,,,,
4870303,4870304,,1,10031,,,,
4870304,4870305,,1,1005,,,,
4870305,4870306,,1,1005,,,,
4870306,4870307,,1,1001,,,,
4870307,4870308,,1,1001,,,,
4870308,4870309,,1,1005,,,,
4870309,4870310,,1,1001,,,,
4870310,4870311,,1,1001,,,,
4870311,4870312,,1,1005,,,,
4870312,,,1,1001,,,,
4870401,,,1,10031,,,,
4870501,4870502,,1,1005,,,,
4870502,4870503,,1,1005,,,,
4870503,4870504,,1,1005,,,,
4870504,4870505,,1,1005,,,,
4870505,,,1,1005,,,,
4870601,4870602,,1,1005,,,,
4870602,4870603,,1,1005,,,,
4870603,,,1,1005,,,,
4871001,,,1,10031,,,,
4871002,,,1,1005,,,,
4871003,,,1,10031,,,,
4871004,,,1,1005,,,,
4871005,,,1,1001,,,,
4871006,,,1,1001,,,,
4871007,,,1,1001,,,,
4871008,,,1,1001,,,,
4871009,,,1,1005,,,,
4871010,,,1,1001,,,,
4871011,,,1,1001,,,,
4871012,,,1,1005,,,,
4871013,,,1,1001,,,,
4871101,4871102,,1,10031,,,,
4871102,,,1,10031,,,,
4871201,4871202,,1,1005,,,,
4871202,,,1,1005,,,,
4880001,4880002,,1,1005,,,,
4880002,4880003,,1,1007,,,,
4880003,4880004,,1,1005,,,,
4880004,4880005,,1,1007,,,,
4880005,4880006,,1,10030,,,,
4880006,4880007,,1,10030,,,,
4880007,4880008,,1,10030,,,,
4880008,4880009,,1,1005,,,,
4880009,4880010,,1,10030,,,,
4880010,4880011,,1,1007,,,,
4880011,4880012,,2,,,,,
4880012,4880013,,2,,,,,
4880013,4880014,,1,10030,,,,
4880014,,,1,1005,,,,
4880101,4880102,,1,1005,,,,
4880102,4880103,,1,153501,,,,
4880103,4880104,,1,153501,,,,
4880104,4880105,,1,153501,,,,
4880105,4880106,,1,1005,,,,
4880106,4880107,,1,153501,,,,
4880107,4880108,,1,153501,,,,
4880108,4880109,,1,153501,,,,
4880301,4880302,,1,153501,,,,
4880302,,,1,153501,,,,
4880401,,,1,10030,,,,
4890001,,,1,1419,,,,
4890002,,,1,1419,,,,
4890003,,,1,1419,,,,
4890004,,,1,1419,,,,
4890005,,,1,1419,,,,
4890101,4890102,,1,1002,,,,
4890102,4890103,,1,1005,,,,
4890103,4890104,,1,1002,,,,
4890104,4890105,,1,1419,,,,
4890105,4890106,,1,1002,,,,
4890106,4890107,,1,1419,,,,
4890107,4890108,,1,1419,,,,
4890108,4890109,,1,1002,,,,
4890109,4890110,,2,,,,,
4890110,4890111,,2,,,,,
4890111,4890112,,1,1419,,,,
4890112,4890113,,1,1419,,,,
4890113,4890114,,1,1002,,,,
4890114,4890115,,1,1419,,,,
4890115,4890116,,1,1005,,,,
4890116,4890117,,1,1419,,,,
4890117,4890118,,1,1005,,,,
4890118,4890119,,1,1419,,,,
4890119,4890120,,1,1419,,,,
4890120,,,1,1002,,,,
4890201,4890202,,1,1419,,,,
4890202,4890203,,1,1419,,,,
4890203,4890204,,1,1419,,,,
4890204,4890205,,1,1005,,,,
4890205,,,1,1419,,,,
4890301,4890302,,1,1419,,,,
4890302,4890303,,1,1419,,,,
4890303,4890304,,1,1419,,,,
4890304,4890305,,1,1005,,,,
4890305,4890306,,1,1419,,,,
4890306,4890307,,1,1419,,,,
