台词ID,下一句台词ID,显示类型,[对话角色]类型,[对话角色]ID,情绪模组ID,动作ID,眼睛表情路径,是否眨眼
615170101,,,1,1517,,,,
615170201,615170202,,2,,,,,
615170202,615170203,,1,1517,,,,
615170203,615170204,,1,1517,,,,
615170204,615170205,,1,1517,,,,
615170205,615170206,,1,1517,,,,
615170206,615170207,1,2,,,,,
615170207,615170208,,1,1517,,,,
615170208,615170209,,1,1517,,,,
615170209,615170210,,1,1517,,,,
615170210,615170211,,1,1517,,,,
615170211,,,1,1517,,,,
615170301,615170302,,2,,,,,
615170302,615170303,,1,1517,,,,
615170303,615170304,,1,1517,,,,
615170304,615170305,,1,1517,,,,
615170305,,,1,1517,,,,
615170401,615170402,,2,,,,,
615170402,615170403,,1,1517,,,,
615170403,,,1,1517,,,,
615170501,615170502,,2,,,,,
615170502,615170503,,1,1517,,,,
615170503,615170504,,1,1517,,,,
615170504,,,1,1517,,,,
615190101,615190102,,1,1519,,,,
615190102,,,1,1519,,,,
615190201,615190202,,2,,,,,
615190202,615190203,,1,1519,,,,
615190203,615190204,,1,1519,,,,
615190204,,,1,1519,,,,
615190301,615190302,,2,,,,,
615190302,615190303,,1,1519,,,,
615190303,615190304,,1,1519,,,,
615190304,615190305,,1,1519,,,,
615190305,615190306,,1,1519,,,,
615190306,615190307,,1,1519,,,,
615190307,615190308,1,2,,,,,
615190308,615190309,,1,1519,,,,
615190309,615190310,,1,1519,,,,
615190310,615190311,,1,1519,,,,
615190311,,,1,1519,,,,
615190401,615190402,,2,,,,,
615190402,615190403,,1,1519,,,,
615190403,,,1,1519,,,,
615190501,,,1,1519,,,,
615190601,615190602,,2,,,,,
615190602,615190603,,1,1519,,,,
615190603,615190604,,1,1519,,,,
615190604,,,1,1519,,,,
615190701,615190702,,2,,,,,
615190702,615190703,,1,1519,,,,
615190703,615190704,,1,1519,,,,
615190704,615190705,,1,1519,,,,
615190705,615190706,,1,1519,,,,
615190706,,,1,1519,,,,
615190801,615190802,,2,,,,,
615190802,615190803,,1,1519,,,,
615190803,615190804,,1,1519,,,,
615190804,615190805,,1,1519,,,,
615190805,615190806,,1,1519,,,,
615190806,,,1,1519,,,,
615210101,615210102,,1,1521,,,,
615210102,,,1,1521,,,,
615210201,615210202,,2,,,,,
615210202,615210203,,1,1521,,,,
615210203,615210204,,1,1521,,,,
615210204,615210205#615210209,,1,1521,,,,
615210205,615210206,,2,,,,,
615210206,615210207,,1,1521,,,,
615210207,615210208,,1,1521,,,,
615210208,,,1,1521,,,,
615210209,615210210,,2,,,,,
615210210,615210211,,1,1521,,,,
615210211,615210212,,1,1521,,,,
615210212,615210213,,1,1521,,,,
615210213,,,1,1521,,,,
615210301,615210302,,2,,,,,
615210302,615210303,,1,1521,,,,
615210303,615210304,,1,1521,,,,
615210304,615210305,,1,1521,,,,
615210305,,,1,1521,,,,
615210401,615210402,,2,,,,,
615210402,615210403,,1,1521,,,,
615210403,,,1,1521,,,,
615210501,615210502,,2,,,,,
615210502,615210503,,1,1521,,,,
615210503,615210504,,1,1521,,,,
