ID,类型,重量,排序权重,物件ID,可丢弃,使用等级,全局产出上限,数值用类型,阶数,展示类型,参数
410001,5,,,,,,,,1,1,0
410002,5,,,,,,,,1,1,0
410003,5,,,,,,,,1,1,0
410004,5,,,,,,,,1,1,1
410005,5,,,,,,,,1,1,1
410006,5,,,,,,,,1,1,1
410007,5,,,,,,,,1,1,1
410008,5,,,,,,,,1,1,1
410009,5,,,,,,,,1,1,1
410010,5,,,,,,,,4,100,0
400000,5,,,,,,,,1,0,10001
400001,5,,,,,,,,2,0,10001
400002,5,,,,,,,,3,0,10001
400003,5,,,,,,,,4,0,10001
400004,5,,,,,,,,5,0,10001
400005,5,,,,,,,,1,0,10002
400006,5,,,,,,,,2,0,10002
400007,5,,,,,,,,3,0,10002
400008,5,,,,,,,,4,0,10002
400009,5,,,,,,,,5,0,10002
400010,5,,,,,,,,1,0,10003
400011,5,,,,,,,,2,0,10003
400012,5,,,,,,,,3,0,10003
400013,5,,,,,,,,4,0,10003
400014,5,,,,,,,,5,0,10003
400015,5,,,,,,,,1,0,10004
400016,5,,,,,,,,2,0,10004
400017,5,,,,,,,,3,0,10004
400018,5,,,,,,,,4,0,10004
400019,5,,,,,,,,5,0,10004
400020,5,,,,,,,,1,0,10005
400021,5,,,,,,,,2,0,10005
400022,5,,,,,,,,3,0,10005
400023,5,,,,,,,,4,0,10005
400024,5,,,,,,,,5,0,10005
400025,5,,,,,,,,1,0,10006
400026,5,,,,,,,,2,0,10006
400027,5,,,,,,,,3,0,10006
400028,5,,,,,,,,4,0,10006
400029,5,,,,,,,,5,0,10006
400030,5,,,,,,,,1,0,10007
400031,5,,,,,,,,2,0,10007
400032,5,,,,,,,,3,0,10007
400033,5,,,,,,,,4,0,10007
400034,5,,,,,,,,5,0,10007
400035,5,,,,,,,,1,0,10008
400036,5,,,,,,,,2,0,10008
400037,5,,,,,,,,3,0,10008
400038,5,,,,,,,,4,0,10008
400039,5,,,,,,,,5,0,10008
400040,5,,,,,,,,1,0,10009
400041,5,,,,,,,,2,0,10009
400042,5,,,,,,,,3,0,10009
400043,5,,,,,,,,4,0,10009
400044,5,,,,,,,,5,0,10009
400045,5,,,,,,,,1,0,10010
400046,5,,,,,,,,2,0,10010
400047,5,,,,,,,,3,0,10010
400048,5,,,,,,,,4,0,10010
400049,5,,,,,,,,5,0,10010
400050,5,,,,,,,,1,0,10011
400051,5,,,,,,,,2,0,10011
400052,5,,,,,,,,3,0,10011
400053,5,,,,,,,,4,0,10011
400054,5,,,,,,,,5,0,10011
400055,5,,,,,,,,1,0,10012
400056,5,,,,,,,,2,0,10012
400057,5,,,,,,,,3,0,10012
400058,5,,,,,,,,4,0,10012
400059,5,,,,,,,,5,0,10012
400060,5,,,,,,,,1,0,10013
400061,5,,,,,,,,2,0,10013
400062,5,,,,,,,,3,0,10013
400063,5,,,,,,,,4,0,10013
400064,5,,,,,,,,5,0,10013
400065,5,,,,,,,,1,0,14001
400066,5,,,,,,,,2,0,14001
400067,5,,,,,,,,3,0,14001
400068,5,,,,,,,,4,0,14001
400069,5,,,,,,,,5,0,14001
400070,5,,,,,,,,1,0,14002
400071,5,,,,,,,,2,0,14002
400072,5,,,,,,,,3,0,14002
400073,5,,,,,,,,4,0,14002
400074,5,,,,,,,,5,0,14002
400075,5,,,,,,,,1,0,14003
400076,5,,,,,,,,2,0,14003
400077,5,,,,,,,,3,0,14003
400078,5,,,,,,,,4,0,14003
400079,5,,,,,,,,5,0,14003
400080,5,,,,,,,,1,0,14004
400081,5,,,,,,,,2,0,14004
400082,5,,,,,,,,3,0,14004
400083,5,,,,,,,,4,0,14004
400084,5,,,,,,,,5,0,14004
400085,5,,,,,,,,1,0,15001
400086,5,,,,,,,,2,0,15001
400087,5,,,,,,,,3,0,15001
400088,5,,,,,,,,4,0,15001
400089,5,,,,,,,,5,0,15001
400090,5,,,,,,,,1,0,15002
400091,5,,,,,,,,2,0,15002
400092,5,,,,,,,,3,0,15002
400093,5,,,,,,,,4,0,15002
400094,5,,,,,,,,5,0,15002
400095,5,,,,,,,,1,0,15003
400096,5,,,,,,,,2,0,15003
400097,5,,,,,,,,3,0,15003
400098,5,,,,,,,,4,0,15003
400099,5,,,,,,,,5,0,15003
400100,5,,,,,,,,1,0,15004
400101,5,,,,,,,,2,0,15004
400102,5,,,,,,,,3,0,15004
400103,5,,,,,,,,4,0,15004
400104,5,,,,,,,,5,0,15004
400105,5,,,,,,,,1,0,15005
400106,5,,,,,,,,2,0,15005
400107,5,,,,,,,,3,0,15005
400108,5,,,,,,,,4,0,15005
400109,5,,,,,,,,5,0,15005
400110,5,,,,,,,,1,0,15006
400111,5,,,,,,,,2,0,15006
400112,5,,,,,,,,3,0,15006
400113,5,,,,,,,,4,0,15006
400114,5,,,,,,,,5,0,15006
400115,5,,,,,,,,1,0,15007
400116,5,,,,,,,,2,0,15007
400117,5,,,,,,,,3,0,15007
400118,5,,,,,,,,4,0,15007
400119,5,,,,,,,,5,0,15007
400120,5,,,,,,,,1,0,15008
400121,5,,,,,,,,2,0,15008
400122,5,,,,,,,,3,0,15008
400123,5,,,,,,,,4,0,15008
400124,5,,,,,,,,5,0,15008
400125,5,,,,,,,,1,0,15009
400126,5,,,,,,,,2,0,15009
400127,5,,,,,,,,3,0,15009
400128,5,,,,,,,,4,0,15009
400129,5,,,,,,,,5,0,15009
400130,5,,,,,,,,1,0,15010
400131,5,,,,,,,,2,0,15010
400132,5,,,,,,,,3,0,15010
400133,5,,,,,,,,4,0,15010
400134,5,,,,,,,,5,0,15010
400135,5,,,,,,,,1,0,15011
400136,5,,,,,,,,2,0,15011
400137,5,,,,,,,,3,0,15011
400138,5,,,,,,,,4,0,15011
400139,5,,,,,,,,5,0,15011
400140,5,,,,,,,,1,0,15012
400141,5,,,,,,,,2,0,15012
400142,5,,,,,,,,3,0,15012
400143,5,,,,,,,,4,0,15012
400144,5,,,,,,,,5,0,15012
400145,5,,,,,,,,1,0,15013
400146,5,,,,,,,,2,0,15013
400147,5,,,,,,,,3,0,15013
400148,5,,,,,,,,4,0,15013
400149,5,,,,,,,,5,0,15013
400150,5,,,,,,,,1,0,15014
400151,5,,,,,,,,2,0,15014
400152,5,,,,,,,,3,0,15014
400153,5,,,,,,,,4,0,15014
400154,5,,,,,,,,5,0,15014
400155,5,,,,,,,,1,0,15015
400156,5,,,,,,,,2,0,15015
400157,5,,,,,,,,3,0,15015
400158,5,,,,,,,,4,0,15015
400159,5,,,,,,,,5,0,15015
400160,5,,,,,,,,1,0,15016
400161,5,,,,,,,,2,0,15016
400162,5,,,,,,,,3,0,15016
400163,5,,,,,,,,4,0,15016
400164,5,,,,,,,,5,0,15016
400165,5,,,,,,,,1,0,15017
400166,5,,,,,,,,2,0,15017
400167,5,,,,,,,,3,0,15017
400168,5,,,,,,,,4,0,15017
400169,5,,,,,,,,5,0,15017
400170,5,,,,,,,,1,0,15018
400171,5,,,,,,,,2,0,15018
400172,5,,,,,,,,3,0,15018
400173,5,,,,,,,,4,0,15018
400174,5,,,,,,,,5,0,15018
400175,5,,,,,,,,1,0,15019
400176,5,,,,,,,,2,0,15019
400177,5,,,,,,,,3,0,15019
400178,5,,,,,,,,4,0,15019
400179,5,,,,,,,,5,0,15019
400180,5,,,,,,,,1,0,15020
400181,5,,,,,,,,2,0,15020
400182,5,,,,,,,,3,0,15020
400183,5,,,,,,,,4,0,15020
400184,5,,,,,,,,5,0,15020
400185,5,,,,,,,,1,0,15021
400186,5,,,,,,,,2,0,15021
400187,5,,,,,,,,3,0,15021
400188,5,,,,,,,,4,0,15021
400189,5,,,,,,,,5,0,15021
400190,5,,,,,,,,1,0,15022
400191,5,,,,,,,,2,0,15022
400192,5,,,,,,,,3,0,15022
400193,5,,,,,,,,4,0,15022
400194,5,,,,,,,,5,0,15022
400195,5,,,,,,,,1,0,15023
400196,5,,,,,,,,2,0,15023
400197,5,,,,,,,,3,0,15023
400198,5,,,,,,,,4,0,15023
400199,5,,,,,,,,5,0,15023
400200,5,,,,,,,,1,0,15024
400201,5,,,,,,,,2,0,15024
400202,5,,,,,,,,3,0,15024
400203,5,,,,,,,,4,0,15024
400204,5,,,,,,,,5,0,15024
400205,5,,,,,,,,1,0,15025
400206,5,,,,,,,,2,0,15025
400207,5,,,,,,,,3,0,15025
400208,5,,,,,,,,4,0,15025
400209,5,,,,,,,,5,0,15025
400210,5,,,,,,,,1,0,15026
400211,5,,,,,,,,2,0,15026
400212,5,,,,,,,,3,0,15026
400213,5,,,,,,,,4,0,15026
400214,5,,,,,,,,5,0,15026
419000,5,,,,,,,,5,,
419001,5,,,,,,,,5,,
419002,5,,,,,,,,5,,
419003,5,,,,,,,,5,,
419004,5,,,,,,,,5,,
419005,5,,,,,,,,5,,
419006,5,,,,,,,,5,,
419007,5,,,,,,,,5,,
419008,5,,,,,,,,5,,
419009,5,,,,,,,,5,,
419010,5,,,,,,,,5,,
419011,5,,,,,,,,5,,
419012,5,,,,,,,,5,,
419013,5,,,,,,,,5,,
