ID	[传送]1GroupID	[传送]1ConfigID	[传送]2GroupID	[传送]2ConfigID	[传送]3GroupID	[传送]3ConfigID	[传送]4GroupID	[传送]4ConfigID	SceneID	执行	执行子类型	参数	可多人	需要全员确认	确认倒计时	联机最少人数	二次确认	二次确认倒计时	倒计时结束开启	邀请类型	主机开启限制类型
1001	133003788	788171	133003788	788172	133003788	788173	133003788	788174	3	1		1001	1	1	20	2	1	20	0		
1003	133003789	789159	133003789	789160	133003789	789161	133003789	789162	3	1		1003	1	1	20	2	1	20	0		
1004	133002479	479209	133002479	479210	133002479	479211	133002479	479212	3	1		1004	1	1	20	2	1	20	0		
1005	133004460	460152	133004460	460153	133004460	460154	133004460	460155	3	1		1005	1	1	20	2	1	20	0		
2001	133001591	591001	133001591	591014	133001591	591015	133001591	591016	3	1		2001	1	1	20	2	1	20	0		
2002	133001585	585001	133001585	585014	133001585	585015	133001585	585016	3	1		2002	1	1	20	2	1	20	0		
2003	133004465	465001	133004465	465014	133004465	465015	133004465	465016	3	1		2003	1	1	20	2	1	20	0		
2004	133004453	453001	133004453	453014	133004453	453015	133004453	453016	3	1		2004	1	1	20	2	1	20	0		
3001									3	2			1	1	20	2	0	20	0		
4001	144003005	5031	144003005	5032	144003005	5031	144003005	5032	4	1		7006	1	1	20	1	0	20	0		
4002	144003005	5031	144003005	5032	144003005	5031	144003005	5032	4	1		7013	1	1	20	1	0	20	0		
4003	144003005	5031	144003005	5032	144003005	5031	144003005	5032	4	1		7014	1	1	20	1	0	20	0		
5001									9	3	1	21100	1	1	20	2	0	20	0	2	
5002									9	3	1	21101	1	1	20	2	0	20	0	2	
5003									9	3	1	21200	1	1	20	2	0	20	0	2	
5004									9	3	1	21201	1	1	20	2	0	20	0	2	
5005									9	3	1	21300	1	1	20	2	0	20	0	2	
5006									9	3	1	21301	1	1	20	2	0	20	0	2	
6001										4		1	1	1	30	2	0	20	0	2	2
6002										4		2	1	1	30	2	0	20	0	2	2
6003										4		3	1	1	30	2	0	20	0	2	2
6004										4		4	1	1	30	2	0	20	0	2	2
6005										4		5	1	1	30	2	0	20	0	2	2
