活动任务ID,章节ID,WatcherId,[完成执行]1类型,[完成执行]1参数1,[完成执行]1参数2,[完成执行]2类型,[完成执行]2参数1,[完成执行]2参数2
1,1,1300111,,,,,,
2,1,1300112,1,DropTag:史莱姆#ClimateAreaID:1#DropTag:大史莱姆#ClimateAreaID:1#DropTag:雷萤#ClimateAreaID:1#DropTag:盗宝团#ClimateAreaID:1#DropTag:丘丘人#ClimateAreaID:1#DropTag:远程丘丘人#ClimateAreaID:1#DropTag:丘丘萨满#ClimateAreaID:1#DropTag:先遣队#ClimateAreaID:1#DropTag:骗骗花#ClimateAreaID:1,,2,200101,
3,1,1300113,,,,,,
4,1,1300114,1,DropTag:丘丘岩盔王#ClimateAreaID:1#DropTag:丘丘暴徒#ClimateAreaID:1#DropTag:深渊法师#ClimateAreaID:1#DropTag:召唤师#ClimateAreaID:1#DropTag:遗迹守卫#ClimateAreaID:1,,2,200102,
5,1,1300115,,,,,,
6,1,1300116,,,,,,
7,2,1300121,,,,,,
8,2,1300122,,,,,,
9,2,1300123,,,,,,
10,2,1300124,,,,,,
11,2,1300125,,,,,,
12,2,1300126,,,,,,
13,3,1300131,,,,,,
14,3,1300132,,,,,,
15,3,1300133,,,,,,
16,3,1300134,,,,,,
17,3,1300135,,,,,,
18,3,1300136,,,,,,
19,4,1300141,,,,,,
20,4,1300142,,,,,,
22,4,1300144,,,,,,
23,4,1300145,,,,,,
25,4,1300147,,,,,,
26,4,1300148,,,,,,
