掉落ID	最小等级	最大等级	随机方式	掉落层级	子掉落1ID	子掉落1数量区间	子掉落1权重	子掉落2ID	子掉落2数量区间	子掉落2权重	子掉落3ID	子掉落3数量区间	子掉落3权重	子掉落4ID	子掉落4数量区间	子掉落4权重	子掉落5ID	子掉落5数量区间	子掉落5权重	子掉落6ID	子掉落6数量区间	子掉落6权重	子掉落7ID	子掉落7数量区间	子掉落7权重	子掉落8ID	子掉落8数量区间	子掉落8权重	子掉落9ID	子掉落9数量区间	子掉落9权重	子掉落10ID	子掉落10数量区间	子掉落10权重	子掉落11ID	子掉落11数量区间	子掉落11权重	子掉落12ID	子掉落12数量区间	子掉落12权重	子掉落13ID	子掉落13数量区间	子掉落13权重	子掉落14ID	子掉落14数量区间	子掉落14权重	子掉落15ID	子掉落15数量区间	子掉落15权重	子掉落16ID	子掉落16数量区间	子掉落16权重	子掉落17ID	子掉落17数量区间	子掉落17权重	子掉落18ID	子掉落18数量区间	子掉落18权重	子掉落19ID	子掉落19数量区间	子掉落19权重	子掉落20ID	子掉落20数量区间	子掉落20权重	子掉落21ID	子掉落21数量区间	子掉落21权重	子掉落22ID	子掉落22数量区间	子掉落22权重	子掉落23ID	子掉落23数量区间	子掉落23权重	子掉落24ID	子掉落24数量区间	子掉落24权重	子掉落25ID	子掉落25数量区间	子掉落25权重	节点类型	是否掉落地面	产出来源类型	每日产出次数上限	历史产出次数上限	活动产出次数上限
500000			0	1	11101	1	1000	12101	1	1000	13101	1	1000	14101	1	1000	15101	1	1000																																																													0					
500001			0	1	11201	1	1000	12201	1	1000	13201	1	1000	14201	1	1000	15201	1	1000																																																													0					
500002			0	1	11303	1	1000	12303	1	1000	14303	1	1000	15303	1	1000																																																																0					
500003			0	1	11305	1	1000	12306	1	1000	13301	1	1000	13302	1	1000	14305	1	1000	15305	1	1000																																																										0					
500010			0	1	101101	1	1000	101102	1	1000	101103	1	1000	101104	1	1000	101105	1	1000																																																													0					
500011			0	1	101111	1	1000	101112	1	1000	101113	1	1000	101114	1	1000	101115	1	1000																																																													0					
500100			0	1	100061	1	1000	100064	1	1000																																																																						0					
500120			0	1	201	5	1000																																																																									0					
500121			0	1	201	5	1000																																																																									0					
500122			0	1	201	5	1000																																																																									0					
500123			0	1	201	5	1000																																																																									0					
500200			0	1	104111	1	1000	104121	1	1000	104131	1	1000	104141	1	1000	104151	1	1000	104161	1	1000	104171	1	1000																																																							0					
500201			0	1	104111	1	1000	104121	1	1000	104141	1	1000	104151	1	1000	104161	1	1000	104171	1	1000																																																										0					
500202			0	1	104112	1	1000	104122	1	1000	104132	1	1000	104142	1	1000	104152	1	1000	104162	1	1000	104172	1	1000																																																							0					
500203			0	1	104112	1	1000	104122	1	1000	104142	1	1000	104152	1	1000	104162	1	1000	104172	1	1000																																																										0					
500210			0	1	100052	1	1000	100053	1	1000	100054	1	1000	100057	1	1000	100058	1	1000																																																													0					
500211			0	1	100052	1	1000	100053	1	1000	100054	1	1000	100057	1	1000	100058	1	1000																																																													0					
500220			0	1	100022	1	1000	100023	1	1000	100024	1	1000	100025	1	1000	100055	1	1000	100056	1	1000																																																										0					
500300			0	1	101001	1	8000	101002	1	1900	101003	1	100																																																																			0					
500301			0	1	100001	1	1000	100002	1	1000	100013	1	1000	100014	1	1000	100018	1	1000																																																													0					
500302			0	0	500000	1	7000	500001	1	3000																																																																						0					
500303			0	0	520000	1	2000	520050	1	2000	520100	1	2000	520005	1	1000	520055	1	1000	520105	1	1000	520006	1	300	520056	1	300	520106	1	300																																																	0					
501000			0	1	100001	1;2	3000	100011	1	2000	100013	1	1500	100017	1	2000	100018	1	1500																																																													0					
501001			0	1	100001	2;3	3000	100011	2;3	2000	100013	2;3	1500	100017	2;3	2000	100018	2;3	1500																																																													0					
501002			0	1	100020	2;3	2500	100051	2;3	2500	100061	1;3	2000	100062	1;3	1000	100064	1;3	2000																																																													0					
510000			0	1	104301	1	1000	104304	1	1000	104307	1	1000																																																																			0					
510001			0	1	104302	1	1000	104305	1	1000	104308	1	1000																																																																			0					
510002			0	1	104303	1	1000	104306	1	1000	104309	1	1000																																																																			0					
510010			0	1	104310	1	1000	104313	1	1000	104316	1	1000																																																																			0					
510011			0	1	104311	1	1000	104314	1	1000	104317	1	1000																																																																			0					
510012			0	1	104312	1	1000	104315	1	1000	104318	1	1000																																																																			0					
510020			0	1	104320	1	1000	104323	1	1000	104326	1	1000																																																																			0					
510021			0	1	104321	1	1000	104324	1	1000	104327	1	1000																																																																			0					
510022			0	1	104322	1	1000	104325	1	1000	104328	1	1000																																																																			0					
510030			0	1	104329	1	1000	104332	1	1000	104335	1	1000																																																																			0					
510031			0	1	104330	1	1000	104333	1	1000	104336	1	1000																																																																			0					
510032			0	1	104331	1	1000	104334	1	1000	104337	1	1000																																																																			0					
510100			0	1	114001	1	1000	114005	1	1000	114009	1	1000																																																																			0					
510101			0	1	114002	1	1000	114006	1	1000	114010	1	1000																																																																			0					
510102			0	1	114003	1	1000	114007	1	1000	114011	1	1000																																																																			0					
510103			0	1	114004	1	1000	114008	1	1000	114012	1	1000																																																																			0					
510110			0	1	114013	1	1000	114017	1	1000	114021	1	1000																																																																			0					
510111			0	1	114014	1	1000	114018	1	1000	114022	1	1000																																																																			0					
510112			0	1	114015	1	1000	114019	1	1000	114023	1	1000																																																																			0					
510113			0	1	114016	1	1000	114020	1	1000	114024	1	1000																																																																			0					
510120			0	1	114025	1	1000	114029	1	1000	114033	1	1000																																																																			0					
510121			0	1	114026	1	1000	114030	1	1000	114034	1	1000																																																																			0					
510122			0	1	114027	1	1000	114031	1	1000	114035	1	1000																																																																			0					
510123			0	1	114028	1	1000	114032	1	1000	114036	1	1000																																																																			0					
510130			0	1	114037	1	1000	114041	1	1000	114045	1	1000																																																																			0					
510131			0	1	114038	1	1000	114042	1	1000	114046	1	1000																																																																			0					
510132			0	1	114039	1	1000	114043	1	1000	114047	1	1000																																																																			0					
510133			0	1	114040	1	1000	114044	1	1000	114048	1	1000																																																																			0					
510200			0	1	113003	1	1000	113004	1	1000	113005	1	1000																																																																			0					
510201			0	1	113006	1	1000	113007	1	1000	113008	1	1000																																																																			0					
510202			0	1	113013	1	1000	113014	1	1000	113015	1	1000																																																																			0					
510203			0	1	113017	1	1000	113018	1	1000	113019	1	1000																																																																			0					
510204			0	1	113025	1	1000	113026	1	1000	113027	1	1000																																																																			0					
510205			0	1	113032	1	1000	113033	1	1000	113034	1	1000																																																																			0					
510206			0	1	113041	1	1000	113042	1	1000	113043	1	1000																																																																			0					
520000			0	1	60110	1	1000	60120	1	1000	60130	1	1000	60140	1	1000	60150	1	1000																																																													0					
520001			0	1	60111	1	1000	60121	1	1000	60131	1	1000	60141	1	1000	60151	1	1000																																																													0					
520002			0	1	60112	1	1000	60122	1	1000	60132	1	1000	60142	1	1000	60152	1	1000																																																													0					
520003			0	1	60113	1	1000	60123	1	1000	60133	1	1000	60143	1	1000	60153	1	1000																																																													0					
