ID	类型	细分类型	动态难度	序列编号	玩法类型	场景ID	脚本定时事件间隔	联机类型	显示等级	是否限制角色等级	限制等级	等级修正	前置副本	需求角色	通关条件	通关跳转地城	复活间隔时间	复活次数上限	每天准入次数	[进入消耗]1ID	[进入消耗]1数量	首通奖励RewardID	结算倒计时	失败后退出等待时间	主动退出倒计时	结算显示1	结算显示2	结算显示3	结算显示4	结算后是否拦截主动复活	开启神像消耗道具	消耗数量	神像奖励	挑战因子组合	城市ID	地城状态
1	1	0				20008		1	5	0	1	4			8			10	1			0	999	30	3				4		0	0	0		1	1
2	2	0				20008		1	20	11	1	19			2			5	10			0	60	30	3	1	2	3			0	0	0	1000:100,1001:100,1002:100	1	2
3	2	0				20008		1	30	21	1	29			2			5	10			0	60	30	3	1	2	3			0	0	0	1000:100,1001:100,1002:100	1	2
4	2	0				20007		1	15	6	1	14			21			5	10			0	60	30	3	1	2	3			0	0	0		1	2
5	2	0				20007		1	25	16	1	24			21			5	10			0	60	30	3	1	2	3			0	0	0		1	2
6	2	0				20007		1	35	26	1	34			21			5	10			0	60	30	3	1	2	3			0	0	0		1	2
7	1	0	1			20006		1	15	0	1	14			5			5	10			0	60	30	3	1					0	0	0		1	2
8	2	0				20006		1	20	11	1	19			21			5	10			0	60	30	3	1	2	3			0	0	0		1	2
9	2	0				20006		1	30	21	1	29			21			5	10			0	60	30	3	1	2	3			0	0	0		1	2
10	1	0	1			1006		1	18	0	1	17			22			10	1			0	999	30	3						0	0	0		1	1
11	1	0	1			1017		1	35		1	34			68			10	10			0	999	30	3						0	0	0		2	1
12	2	0				1019		1	5	1	1	4			21			10	10			0	60	30	3	1	2	3			0	0	0		2	2
13	2	0				1011		1	1	1	1	0			9			10	10			0	120	30	3						0	0	0		1	2
15	2	0				50002		1	9	1	1	8			9			10	10			0	120	30	3						0	0	0		1	2
16	2	0				1001		1	1	1	1	0			9			10	10			0	120	30	3						0	0	0		1	2
17	2	0				50003		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		1	2
18	2	0				50004		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		1	2
19	2	0				50027		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		1	2
20	2	0				50025		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0	1070:100	1	2
21	2	0				50026		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0	1071:100	1	2
24	2	0				1024		1	5	1	1	4			33			10	99			0	120	30	3						0	0	0		1	2
25	2	0				50009		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		1	2
26	2	0				50010		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		1	2
27	2	0				50014		1	10	1	1	9			21			10	99			0	120	30	3						0	0	0		1	2
28	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0		1	2
29	2	0				50018		1	1	1	1	0			53			10	99			0	120	30	3						0	0	0		1	2
30	1	0	1			20031		1	30	0	1	29			55			10				230012	999	30	3						0	0	0		1	1
31	2	0				50019		1	1	1	1	0			52			10	99			0	120	30	3						0	0	0		1	2
32	2	0				50020		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		1	2
33	2	0				1031		1	35	26	1	34			51			10	99			0	120	30	3						0	0	0		1	2
34	2	0				1032		1	35	26	1	34			51			10	99			0	120	30	3						0	0	0		2	2
35	2	0				50022		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		1	2
36	2	0				50023		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0	1050:100	1	2
37	2	0				50024		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0	1051:100	1	2
38	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1161:100	1	2
39	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1162:100	1	2
40	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1163:100	1	2
41	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1164:100	1	2
42	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1165:100	1	2
43	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1166:100	1	2
44	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1052:100	1	2
45	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1053:100	1	2
46	2	0				50017		1	1	1	1	0			21			10	99			0	120	30	3						0	0	0	1369:100	1	2
47	2	0				50017		1	90	81	1	89			21			10	99			0	120	30	3						0	0	0	1748:100	1	2
48	2	0				50017		1	90	81	1	89			21			10	99			0	120	30	3						0	0	0	1749:100	1	2
50	2	0				1050		1	5	1	1	4			21			10	10			0	60	30	3	1	2	3			0	0	0		1	2
55	2	0				40016		1	5	1	1	4			21			10	10			0	60	30	3						0	0	0		2	2
56	2	0	1			50029		1	5	1	1	4			21			10	10			0	60	30	3						0	0	0		1	2
57	11	0	1			50030		1	5	1	1	4			99			10	10			0	60	30	3						0	0	0		2	2
58	2	0	1			50031		1	5	1	1	4			21			10	10			0	60	30	3						0	0	0		2	2
59	2	0				50043		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		1	2
60	2	0				50044		1	1	1	1	0			5			10	99			0	120	30	3						0	0	0		1	2
61	2	0				35800		2	1	1	1	0			0			10	99			0	120	30	3						0	0	0		1	2
62	2	0	1			50017		1	5	1	1	4			21			10	10			0	60	30	3						0	0	0		1	2
63	2	0				50050		1	1	1	1	0			21			10	10			0	60	30	3						0	0	0		1	2
64	2	0				50051		1	1	1	1	0			21			10	10			0	60	30	3						0	0	0		1	2
65	2	0	1			50058		1	30	21	1	29			199			10	10			0	60	30	3						0	0	0		3	2
66	2	0	1			50061		1	1	1	1	0			21			10	10			0	60	30	3						0	0	0		1	2
67	2	0	1			50072		1	5	1	1	4			21			10	10			0	60	30	3						0	0	0		1	2
68	2	0	1			20128		1	30	21	1	29			21			10	10			0	60	30	3						0	0	0		2	2
71	2	0				20152		1	90	0	1	89			173			0	10			0	999	30	30						0	0	0		4	2
72	31	0				50092		1	90	0	1	89			173			0	10			0	999	30	30						0	0	0		4	2
73	31	0				50093		1	90	0	1	89			173			0	10			0	999	30	30						0	0	0		4	2
74	2	0				20153		1	90	0	1	89			173			0	10			0	999	30	30						0	0	0		4	2
81	2					51000		1	100	0	1	99			229			0	10			0	5	30	3						0	0	0	1701:100	1	2
82	2					51001		1	100	0	1	99			229			0	10			0	5	30	3						0	0	0	1701:100	1	2
83	2					51002		1	100	0	1	99			229			0	10			0	5	30	3						0	0	0	1701:100	1	2
88	36	0				51008		2	1	0	1	0			173			10	99			0	999	30	30						0	0	0	1745:100	2	2
101	1	0	1			20101		1	30	0	1	29			0			0	0			0	999	30	3						0	0	0		2	1
102	1	0	1			1051		1	35	0	1	34			0			0	0			0	999	30	3						0	0	0		2	1
103	7	4		1003		20034		2	60	0	35	59			85			0	0			0	999	30	30						0	0	0		2	1
104	7	4		1003		20034		2	70	0	40	69			85			0	0			0	999	30	30						0	0	0		2	1
105	7	4		1003		20034		2	80	0	45	79			85			0	0			0	999	30	30						0	0	0		2	1
106	7	4		1003		20034		2	90	0	50	89			85			0	0			0	999	30	30						0	0	0		2	1
107	1	0	1			20107		1	35	0	1	34			150			0	0			230053	999	30	3						0	0	0		2	1
110	7	4		1004		20106		2	60	0	35	59			161			0	0			0	999	30	30						0	0	0	1386:100	2	1
111	7	4		1004		20106		2	70	0	40	69			161			0	0			0	999	30	30						0	0	0	1386:100	2	1
112	7	4		1004		20106		2	80	0	45	79			161			0	0			0	999	30	30						0	0	0	1386:100	2	1
113	7	4		1004		20106		2	90	0	50	89			161			0	0			0	999	30	30						0	0	0	1386:100	2	1
114	7	4		1004		20108		2	60	0	35	59			162			0	0			0	999	30	30						0	0	0	1386:100	2	1
115	7	4		1004		20108		2	70	0	40	69			162			0	0			0	999	30	30						0	0	0	1386:100	2	1
116	7	4		1004		20108		2	80	0	45	79			162			0	0			0	999	30	30						0	0	0	1386:100	2	1
117	7	4		1004		20108		2	90	0	50	89			162			0	0			0	999	30	30						0	0	0	1386:100	2	1
118	7	4		1004		20109		2	60	0	35	59			163			0	0			0	999	30	30						0	0	0	1386:100	2	1
119	7	4		1004		20109		2	70	0	40	69			163			0	0			0	999	30	30						0	0	0	1386:100	2	1
120	7	4		1004		20109		2	80	0	45	79			163			0	0			0	999	30	30						0	0	0	1386:100	2	1
121	7	4		1004		20109		2	90	0	50	89			163			0	0			0	999	30	30						0	0	0	1386:100	2	1
122	7	4		1004		20110		2	60	0	35	59			164			0	0			0	999	30	30						0	0	0	1386:100	2	1
123	7	4		1004		20110		2	70	0	40	69			164			0	0			0	999	30	30						0	0	0	1386:100	2	1
124	7	4		1004		20110		2	80	0	45	79			164			0	0			0	999	30	30						0	0	0	1386:100	2	1
125	7	4		1004		20110		2	90	0	50	89			164			0	0			0	999	30	30						0	0	0	1386:100	2	1
126	1	0	1			20114		1	30	0	1	29			196			0	0			0	999	30	3						0	0	0		3	1
127	7	4		1005		20115		2	60	0	35	59			197			0	0			0	999	30	30						0	0	0	1619:100	3	1
128	7	4		1005		20115		2	70	0	40	69			197			0	0			0	999	30	30						0	0	0	1619:100	3	1
129	7	4		1005		20115		2	80	0	45	79			197			0	0			0	999	30	30						0	0	0	1619:100	3	1
130	7	4		1005		20115		2	90	0	50	89			197			0	0			0	999	30	30						0	0	0	1619:100	3	1
131	7	4		1006		20125		2	60	0	35	59			217			0	0			0	999	30	30						0	0	0	1688:100	3	1
132	7	4		1006		20125		2	70	0	40	69			217			0	0			0	999	30	30						0	0	0	1688:100	3	1
133	7	4		1006		20125		2	80	0	45	79			217			0	0			0	999	30	30						0	0	0	1688:100	3	1
134	7	4		1006		20125		2	90	0	50	89			217			0	0			0	999	30	30						0	0	0	1688:100	3	1
135	7	4		1007		20154		2	60	0	35	59			272			0	0			0	999	30	30						0	0	0	1750:100	4	1
136	7	4		1007		20154		2	70	0	40	69			272			0	0			0	999	30	30						0	0	0	1750:100	4	1
137	7	4		1007		20154		2	80	0	45	79			272			0	0			0	999	30	30						0	0	0	1750:100	4	1
138	7	4		1007		20154		2	90	0	50	89			272			0	0			0	999	30	30						0	0	0	1750:100	4	1
1000	2	0				20000		1	9	0	1	8			9			10	10			0	120	30	3						0	0	0		1	2
1001	1	0				20009		1	4	0	1	3			7			10	1			0	999	30	3						0	0	0		1	1
1002	1	0	1			20010		1	19	0	1	18			15			10	10			0	999	30	3						0	0	0		1	1
1003	1	0				20011		1	5	0	1	4			9			10	1			225001	999	30	3						0	0	0		1	1
1004	1	0	1			20012		1	16	0	1	15			16			5	10			0	60	30	3	1	3				0	0	0		1	2
1005	1	0	1			20013		1	10	0	1	9			12			0	10			0	60	30	3						0	0	0		1	2
1006	1	0	1			20014		1	10	0	1	9			11			0	10			0	60	30	3						0	0	0		1	2
1007	2	0				20015		1	7	1	1	6			9			10	10			0	120	30	3	1					0	0	0		1	2
1008	1	0	1			20022		1	30	0	1	29			34			10	10			230013	999	30	3	1					0	0	0		1	1
1009	1	0	1			20023		1	17	0	1	16			40			10	10			0	999	30	3	1					0	0	0		1	1
1010	1	0	1			20005		1	16	0	1	15			54			10	10			230015	999	30	3	1					0	0	0		1	1
1011	1	0	1			20032		1	28		1	27			76			10	10			230014	999	30	3						0	0	0		1	1
1012	1	0	1			20102		1	35		1	34			79			10	99			230030	999	30	3						0	0	0		2	1
1101	2	0				50008		1	9	1	1	8			9			10	10			0	120	30	3						0	0	0		1	2
1102	1	0	1			1032		1	26	0	1	25			88			10	99			230050	999	30	3						0	0	0		2	1
1103	1	0	1			1052		1	26		1	25			77			10	10			0	999	30	3						0	0	0		2	1
1104	1	0	1			1053		1	35		1	34			78			10	10			0	999	30	3						0	0	0		2	2
1105	1	0	1			1054		1	35		1	34			68			10	10			0	999	30	3						0	0	0		2	2
1106	1	0	1			1055		1	35		1	34			81			10	10			230031	999	30	3						0	0	0		2	1
1107	1	0	1			1056		1	35		1	34			83			10	10			230032	999	30	3						0	0	0		2	1
1108	1	0	1			1058		1	35		1	34			80			10	10			0	120	30	3						0	0	0		2	1
1109	1	0	1			1032		1	35	0	1	34			67			10	99			0	999	30	3						0	0	0		2	2
1110	1	0	1			1059		1	35	0	1	34			97			10	99			230051	999	30	3						0	0	0		2	1
1111	1	0	1			20035		1	35	0	1	34			153			0	99			0	10	10	3						0	0	0		1	1
