序号,场景ID,地城入口ID,类型,是否在冒险之证显示,对应地城ID,是否默认开启,条件组合,[条件]1类型,[条件]1参数1,[条件]1参数2,[条件]2类型,[条件]2参数1,[条件]2参数2,系统开放界面ID,奖励ID
1,3,48,4,1,,0,2,1,22,,2,39604,,4,220404
2,3,50,2,1,,0,2,1,16,,2,38406,,8,220402
3,3,135,2,1,,0,2,1,16,,2,38406,,,220407
4,3,117,7,0,,0,,,,,,,,,220406
6,3,42,4,1,,0,2,1,22,,2,39604,,,220405
7,3,137,4,1,,0,2,1,22,,2,39604,,,220409
8,3,107,4,1,,0,2,1,22,,2,39604,,,220410
9,3,139,4,1,,0,2,1,22,,2,39604,,,220411
10,3,44,3,1,,0,2,1,27,,2,101801,,6,220403
11,3,131,3,1,,0,2,1,27,,2,101801,,,220408
12,3,221,4,1,,0,2,1,22,,2,39604,,,220414
13,3,282,4,1,,0,2,1,22,,2,39604,,,220415
14,3,368,2,1,,0,2,1,30,,2,201310,,,220416
15,3,310,3,1,,0,2,1,30,,2,201310,,,220417
16,3,361,4,1,,0,2,1,30,,2,201310,,,220418
17,3,433,4,1,,0,2,1,30,,2,201310,,,220419
18,3,516,4,1,,0,2,1,22,,2,39604,,,220420
19,3,505,3,1,,0,2,1,22,,2,101801,,,220422
20,3,507,4,1,,0,2,1,22,,2,39604,,,220423
21,3,509,2,1,,0,2,1,22,,2,38406,,,220421
1001,3,45,6,0,,0,,1,20,,,,,3,220412
1002,3,1,7,0,,0,,,,,,,,,
1003,3,20,7,0,,0,,,,,,,,,
1004,3,22,7,0,,0,,,,,,,,,
1005,3,40,7,0,,0,,,,,,,,,
1006,3,38,8,1,2020#2021#2022#2023#2024#2025,1,,,,,,,,,
1007,3,52,7,0,,0,,,,,,,,,
1008,3,113,7,0,,0,,,,,,,,,
1009,3,102,7,0,,0,,,,,,,,,
1010,3,89,7,0,,0,,,,,,,,,
1011,3,119,7,0,,0,,,,,,,,,
1012,3,125,7,0,,0,,,,,,,,,
1013,3,129,7,0,,0,,,,,,,,,
1014,3,146,7,0,,0,,,,,,,,,
1015,3,133,7,0,,0,,,,,,,,,
1016,3,218,8,1,103#104#105#106,1,,,,,,,,,
1017,3,223,9,0,,1,,,,,,,,,
1018,3,265,10,0,5310,1,,,,,,,,,
1019,3,274,12,0,7202,1,,,,,,,,,
1020,3,276,12,0,7203,1,,,,,,,,,
1021,3,278,12,0,7201,1,,,,,,,,,
1022,3,280,11,0,7204,1,,,,,,,,,
1023,3,271,8,1,110#111#112#113#114#115#116#117#118#119#120#121#122#123#124#125,1,,,,,,,,,
1024,3,294,9,0,,1,,,,,,,,,
1025,3,334,13,0,7301,1,,,,,,,,,
1026,3,357,14,0,3011,1,,,,,,,,,
1027,3,350,7,0,,0,,,,,,,,,
1028,3,308,7,0,,0,,,,,,,,,
1029,3,359,7,0,,0,,,,,,,,,
1030,3,396,8,1,127#128#129#130,1,,,,,,,,,
1031,3,351,7,0,,0,,,,,,,,,
1032,3,417,15,0,,1,,,,,,,,,
1033,3,426,16,0,7310,1,,,,,,,,,
1034,3,424,7,0,,0,,,,,,,,,
1035,3,436,11,0,7221,1,,,,,,,,,
1036,3,447,15,0,2150,1,,,,,,,,,
1037,3,449,15,0,2154,1,,,,,,,,,
1038,3,451,15,0,2158,1,,,,,,,,,
1039,3,457,15,0,7302,1,,,,,,,,,
1040,3,469,14,0,3027,1,,,,,,,,,
1041,3,512,15,0,2122#2120#2121#2119#2123,1,,,,,,,,,
1042,3,520,15,0,,1,,,,,,,,,
1043,3,503,8,1,131#132#133#134,1,,,,,,,,,
1045,9,9,15,0,,0,,,,,,,,,
1046,9,48,15,0,,0,,,,,,,,,
1047,9,50,15,0,,0,,,,,,,,,
1048,9,52,15,0,,0,,,,,,,,,
1049,9,54,15,0,,0,,,,,,,,,
1050,9,11,15,0,,0,,,,,,,,,
1051,9,13,15,0,,0,,,,,,,,,
1052,9,15,15,0,,0,,,,,,,,,
1053,9,17,15,0,,0,,,,,,,,,
1054,9,19,15,0,,0,,,,,,,,,
1055,9,27,15,0,,0,,,,,,,,,
1056,9,29,15,0,,0,,,,,,,,,
1057,3,613,15,0,,1,,,,,,,,,
1058,3,620,15,0,,1,,,,,,,,,
1059,3,627,14,0,3033,1,,,,,,,,,
1060,3,656,15,0,,1,,,,,,,,,
1061,3,607,7,0,4044,0,,,,,,,,,
1062,3,646,7,0,4045,0,,,,,,,,,
1063,3,618,7,0,4046,0,,,,,,,,,
1064,3,600,7,0,4047,0,,,,,,,,,
1065,3,699,9,0,,1,,,,,,,,,
1066,3,704,15,0,8101#8102#8103#8104#8105,0,,,,,,,,,
1067,3,675,7,0,1158,0,,,,,,,,,
1068,3,671,7,0,1159,0,,,,,,,,,
1069,3,674,7,0,1160,0,,,,,,,,,
1070,3,682,15,0,,0,,,,,,,,,
1072,3,731,8,1,135#136#137#138,1,,,,,,,,,
