ID	[条件]组合	[条件]1类型	[条件]1参数1	[条件]1参数2	[条件]1参数3	[条件]2类型	[条件]2参数1	[条件]2参数2	[条件]2参数3	[条件]3类型	[条件]3参数1	[条件]3参数2	[条件]3参数3	[条件]4类型	[条件]4参数1	[条件]4参数2	[条件]4参数3
1		5	220017001														
2		5	220008004														
3		5	220009003														
4		7	2	2													
5		9	99902														
6	1	9	99902			13	60										
7		9	30610														
8		9	30713														
9		9	30803														
10		5	220011003														
11		5	220014007														
12	1	9	30610			13	480										
13	1	11	100			13	240										
14		5	240001004														
15		9	1010108														
16		5	220012007														
17	2	14	1002														
18		14	4														
19		14	2														
20		5	240007003														
21		9	46305														
22		9	38105														
23		5	240007003														
24		5	220013005														
25		9	46510														
26		9	39403														
27		9	35724														
28		5	220017001														
29		14	1003														
30		14	2														
31		14	2														
32		14	2														
33		14	2														
34		9	49006														
35		9	48512														
36		14	2														
37		9	48506														
38		5	240010007														
39		14	1														
40		9	2010151														
41		5	201024010														
42	1	5	240014002			13	480										
43		5	220025005														
44		5	220026005														
45		5	220027005														
46		5	220028005														
47	1	5	240013002			13	480										
48		5	220029005														
49		5	220030005														
50		14	2														
51		14	1														
52		14	101														
53		14	101														
54		9	1100403														
55		9	1020111														
56		14	1														
57		14	1														
58		14	1														
59		14	1														
60		14	1														
61		14	1														
62		14	2														
63		5	220025001														
64		5	240009005														
65		5	240008003														
66		14	2														
67		5	201032007														
68		9	101408														
69		14	100														
70		14	100														
71		5	240015008														
72		14	100														
73		5	240019001														
74		5	240020001														
75		14	2														
76		9	1011106														
77		9	100914														
78		9	7180004														
79		9	1120111														
80		9	7180206														
81		9	1101208														
82		9	102405														
83		9	1102311														
84		3	29030103														
85		3	29030106														
86		14	1														
87		14	110104														
88		9	1110205														
89		14	110107														
90		14	110110														
91		14	110113														
92		14	110116														
93		14	110119														
94		14	110122														
95		14	110126														
96		9	1800018														
97		9	1111305														
98		9	800008														
99		15	250030011	999													
100		15	242006031	999													
101		15	242002001	999													
102		15	242001001	999													
103		15	242007017	999													
104		15	242003010	999													
105		15	242005001	999													
106		15	242004001	999													
107		9	800311														
108		15	242009001	999													
109		15	242010001	999													
110		15	242012017	999													
111		15	242013010	999													
112		15	242011001	999													
113		15	242014031	999													
114		14	1														
115		15	242008001	999													
116		14	1														
117		14	1														
118		14	1														
119		14	1														
120		14	1														
121		14	1														
122		14	1														
123		14	1														
124		14	1														
125		14	1														
126		14	1														
127		14	1														
128		14	1														
129		14	1														
130		14	1														
131		14	1														
132		14	1														
133		14	1														
134		14	1														
135		14	1														
136		14	1														
137		14	1														
138		14	1														
139		14	1														
140		14	1														
141		14	1														
142		14	1														
143		14	1														
144		14	1														
145		14	1														
146		14	1														
147	2	5	235800008			5	235800007			5	235800012			5	235800013		
148		9	1012214														
149		14	999														
150		9	1112306														
151		5	244001007														
152		5	244003005														
153	2	9	1904412			9	1904411										
154	2	9	1904519			9	1904518										
155		14	6														
156		14	1														
157		5	244006003														
158		5	244007002														
159		14	101														
160		14	1														
161		3	29040101														
162		3	29040102														
163		3	29040103														
164		3	29040104														
165		14	1														
166		14	1														
167		9	200705														
170		5	220112001														
171		14	101														
173		14	1														
174		14	1														
175		14	1														
176		9	1201807														
177		9	1201510														
178		15	245000001	999	1												
179		15	245002001	999													
180		15	245003031	999													
181		15	245001001	999													
182		15	245004017	999													
183		15	245005001	999													
184		15	245009001	999													
185		15	245010031	999													
186		15	245008001	999													
187		15	245011017	999													
188		15	245012001	999													
189		9	201505														
190		9	201804														
191		14	1														
192		14	1														
193		14	1														
194		9	7281202														
195		14	999														
196		9	201504														
197		3	29050104														
198		9	202005														
199		5	250058001														
200		9	4002021														
201		9	4002108														
202		9	4002206														
203		14	1														
204	2	5	246101003			9	4003409										
205		14	1														
206		14	1														
207		14	1														
208		9	1101318														
209		14	101														
210		5	220120001														
211		14	1														
212		14	1														
213		9	1203005														
214		14	1														
215		9	102808														
216		9	1204210														
217		3	29060203														
218		15	245007001	999													
219		15	245013001	999	1												
220		15	245014001	999	1												
221		15	245015001	999	1												
222		15	245016001	999	1												
223		14	1														
224		15	245017001	999	1												
225		15	245018001	999	1												
226		15	245019001	999	1												
227		15	245020001	999	1												
228		9	4005818														
229		14	1														
230		9	1203914														
231		9	103026														
232		9	1102615														
233		14	1														
234		14	1														
235		14	1														
236		9	1300213														
237		9	103026														
238		14	1														
239		14	1														
240		14	1														
241		14	1														
242		14	1														
243		5	220145008														
244		5	220146003														
245		5	220147011														
246		5	220159005														
247		5	240051011														
248		5	240052009														
249		14	2														
250		14	1														
251		14	2010074														
252		14	2010075														
253		14	1														
254		14	1														
255		14	1														
256		14	1														
257		9	302106														
258		9	1301114														
259		9	4008207														
260		9	4008316														
261		9	4008317														
262		9	4008414														
263		9	4008413														
264		9	4008510														
265		9	302804														
266		14	1														
267		9	302816														
268		14	1														
269		14	1														
272		3	29070104														
