ID,海螺类型,StoryID,reminder列表,进度绑定地城ID
1,,1,,
2,,1,,
3,,1,,
4,,1,,
5,,1,,
6,,2,,
7,,2,,
8,,3,,
9,,3,,
10,,3,,
11,,4,,
12,,4,,
13,,4,,
14,,5,,
15,,5,,
16,,5,,
17,,5,,
18,,5,,
19,,6,,
20,,6,,
21,,6,,
22,,6,,
23,,7,,
24,,7,,
25,,7,,
26,,7,,
27,,7,,
28,,7,,
29,,7,,
30,,7,,
31,,7,,
32,,7,,
33,1,0,,1139
34,1,0,,1144
35,1,0,,1137
36,1,0,,1142
37,3,3,1111259#1111260#1111261#1111262,
38,3,3,1111263#1111264#1111265,
39,2,3,1111266#1111267#1111268#1111269#1111270,
40,3,3,1111271#1111272#1111273#1111274#1111275,
41,2,1,1111276#1111277,
42,2,1,1111278,
43,2,2,1111279#1111280,
44,2,2,1111281#1111282,
45,1,1,,
46,1,1,,
47,1,2,,
48,1,1,,
49,1,2,,
50,1,1,,
51,1,1,,
52,1,2,,
53,4,3,,
