id	AbilityName
1	ActivityAbility_BossChallenge_Water_FreezeTriggerCJB
2	ActivityAbility_BossChallenge_Water_ElementAddHurt_Ice
3	ActivityAbility_BossChallenge_Water_ElementAddHurt_Elec
4	ActivityAbility_BossChallenge_Water_KillMonsterHealHp
5	ActivityAbility_BossChallenge_Fire_ElementAddHurt_Water
6	ActivityAbility_BossChallenge_Fire_Rain
7	ActivityAbility_BossChallenge_Fire_KillMonsterAttackUp
8	ActivityAbility_BossChallenge_Fire_SubHurtDeltaDown
9	ActivityAbility_BossChallenge_Ice_DoubleDestoryShield
10	ActivityAbility_BossChallenge_Ice_DestoryWall
11	ActivityAbility_BossChallenge_Ice_ElementAddHurt_Fire
12	ActivityAbility_BossChallenge_Ice_HealHp
13	ActivityAbility_BossChallenge_Grass_ChangeTriggerDamageUp
14	ActivityAbility_BossChallenge_Grass_HealHp
