限制条件编号	限制条件类型	限制条件参数1	限制条件参数2	互斥组	互斥组是否使用行显示	完成积分
1	2	1324				80
2	2	1325				100
3	2	1326				100
4	2	1327				100
5	2	1328				120
6	2	1329				120
7	2	1330				-100
8	2	1331				-100
9	2	1332				80
10	2	1333				100
11	2	1334				100
12	2	1335				120
13	2	1336				-100
14	2	1337				80
15	2	1338				-100
16	2	1339				80
17	2	1340				80
18	2	1341				-100
19	2	1342				120
20	2	1343				120
21	1	300		1	0	50
22	1	210		1	0	150
23	1	120		1	0	250
24	2	1345				80
25	2	1346				100
26	2	1347				100
27	2	1348				120
28	2	1349				-100
29	2	1350				-100
30	2	1351				-100
31	1	900		2	0	50
32	1	735		2	0	150
33	1	480		2	0	250
34	2	1332				100
35	2	1337				100
36	2	1345				100
37	2	1334				100
38	2	1340				100
39	2	1335				120
40	2	1327				120
41	2	1328				120
42	2	1342				120
43	2	1343				120
44	2	1329				120
45	2	1326				120
46	2	1347				120
47	2	1339				120
48	2	1350				-100
49	2	1351				-100
50	2	1349				-100
51	2	1339				100
52	2	1335				120
53	2	1334				80
54	2	1328				100
55	2	1501		3	0	50
56	2	1502		3	0	150
57	2	1503		3	0	250
58	3	5014	15001,15002,15004,15005,15013,15014			100
59	3	5016	15001,15004,15013	11	1	60
60	3	5017	15001,15004,15013	11	1	80
61	3	5018	15001,15004,15013	11	1	100
62	3	5020	15002,15005,15014	12	1	60
63	3	5021	15002,15005,15014	12	1	80
64	3	5022	15002,15005,15014	12	1	100
65	3	5029	15001,15002,15004,15005,15013,15014			60
66	3	5030	15007,15008,15011			60
67	3	5031	15007,15008,15011			60
68	3	5032	15007,15008,15011			60
69	3	5033	15007,15008,15011			60
70	3	5034	15007,15008,15011			60
71	3	5035	15007,15008,15011			60
72	3	5036	15007,15008,15011	9	0	60
73	3	5024	15009,15010,15012			60
74	3	5025	15009,15010,15012			60
75	3	5026	15009,15010,15012	13	1	60
76	3	5027	15009,15010,15012	13	1	80
77	3	5028	15009,15010,15012	13	1	100
78	2	1504				40
79	2	1505				40
80	2	1506				40
81	2	1507				40
82	2	1508				100
83	2	1509				40
84	2	1510				40
85	2	1511		4	0	20
86	2	1512		4	0	30
87	2	1513		4	0	50
88	2	1514		5	0	20
89	2	1515		5	0	30
90	2	1516		5	0	50
91	2	1517				40
92	2	1518				40
93	2	1519				40
94	2	1520				40
95	2	1521				40
96	2	1522				40
97	2	1523		6	0	20
98	2	1524		6	0	30
99	2	1525		6	0	50
100	2	1526				40
101	2	1527				40
102	2	1528				40
103	2	1529				40
104	2	1530				40
105	2	1531		10	0	20
106	2	1532		10	0	30
107	2	1533		10	0	50
108	2	1534				40
109	2	1535				40
110	2	1536				40
111	2	1537				40
112	2	1538				40
113	2	1539				40
114	2	1540				40
115	2	1541		7	0	20
116	2	1542		7	0	30
117	2	1543		7	0	50
118	2	1544		8	0	20
119	2	1545		8	0	30
120	2	1546		8	0	50
121	3	5037	15009,15010,15012			60
122	3	5038	15009,15010,15012			60
123	3	5039	15004,15005			60
124	2	1547				40
125	2	1548				40
126	3	5014	15001,15004,15013			60
127	3	5014	15002,15005,15014			60
128	2	1549				40
129	2	1550				40
130	2	1555				40
131	3	5042	15007,15008,15011	9	0	80
132	3	5043	15007,15008,15011	9	0	100
133	3	5040	15009,15010,15012			60
134	3	5041	15009,15010,15012			60
