ID	难度	GroupId	GalleryID	WatcherID	类型	我方Entity配置ID	敌方Entity配置ID
1	1	133209107	32002	1511801	1	38050590	28050502
2	2	133209107	32002	1511802	1	38050590	28050502
3	3	133209107	32002	1511803	1	38050590	28050502
4	1	133209108	32003	1511804	1	38050590	28050503
5	2	133209108	32003	1511805	1	38050590	28050503
6	3	133209108	32003	1511806	1	38050590	28050503
7	1	133209109	32004	1511807	1	38050590	28050504
8	2	133209109	32004	1511808	1	38050590	28050504
9	3	133209109	32004	1511809	1	38050590	28050504
10	1	133209110	32005	1511810	1	38050590	28050505
11	2	133209110	32005	1511811	1	38050590	28050505
12	3	133209110	32005	1511812	1	38050590	28050505
13	1	133209111	32006	1511813	1	38050590	28050506
14	2	133209111	32006	1511814	1	38050590	28050506
15	3	133209111	32006	1511815	1	38050590	28050506
16		133209106	32001		2	38050590	28050501
